lvl,sec,voen,vojp,s,en,cn,jp
3,27,vocs_over_over_convoy_briefing_n00,vocs_convoy_briefing_n00_jp,NINJA,Alright. That must be the transport. Wonder why it's stopped.,嗯，那一定是运输车队。奇怪，它怎么停下了。,よし。あれが輸送車か。何故止まっているんだ。
3,27,vocs_over_over_convoy_briefing_n01,vocs_convoy_briefing_n01_jp,NINJA,Hmm … looks like the bridge gave in. That's fine with me ...,嗯……看起来是卡在桥上了，好机会……,ふむ…どうやら橋が壊れてしまったようだ。丁度良い…。
3,27,vocs_over_over_convoy_briefing_n02,vocs_convoy_briefing_n02_jp,NINJA,"The ones with the flags are the officers. Think I'll kill at least four, just to be safe.",身上背旗的那些人就是军官。为了保险起见，我至少得杀四名军官。,旗付きのが士官か。念のため四人は仕留めておくか。
3,27,vocs_over_over_convoy_briefing_n03,vocs_convoy_briefing_n03_jp,NINJA,I'll signal Mugen when I'm done. That statue looks like a good spot.,搞定之后就给无限发信号。那个雕像位置不错。,終わったら武源に合図を送るとしよう。あの像の辺りが丁度いい。
3,27,vocs_over_over_convoy_briefing_n04,vocs_convoy_briefing_n04_jp,NINJA,Hm ... they are looking for something. Or someone. Better keep my head down.,嗯……他们正在找啥东西，也许是找某个人。看来要小心行事。,ふむ…奴らは何かを探しているようだ。誰かを、かもしれないな。目立たぬように行動せねば。
3,28,vo_hint_hint_convoy_search_n00,vo_convoy_search_n00_jp,ENEMY,She must be hiding here somewhere!,她肯定藏在这附近！,この辺りに隠れたはずだ！
3,28,vo_hint_hint_convoy_search_n01,vo_convoy_search_n01_jp,ENEMY,Keep searching!,继续给我找！,探せ！
3,28,vo_hint_hint_convoy_search_n02,vo_convoy_search_n02_jp,ENEMY,"She's here, I know it!",她就藏这了，我知道！,そこにいるのは分かっている！
3,29,vocs_over_over_convoy_trapper_n00,vocs_convoy_trapper_n00_jp,NINJA,Huh …?,嗯……？,ん…?
3,29,vocs_over_over_convoy_trapper_n01,vocs_convoy_trapper_n01_jp,NINJA,"Hmm, a trap. Interesting …",嗯，陷阱。有点意思……,ふーむ、罠か。面白い…。
3,29,vocs_over_over_convoy_trapper_n02,vocs_convoy_trapper_n02_jp,TRAPPER,Don't move ... what are you? A lonely wolf?,别动……你是谁？独行侠？,動かないで…あんた何者？一匹狼か？
