2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	daimyo_	death_scream_00	vo_eny_eny_daimyo_death_scream_00	omuk	hambo	Daimyo	shocked	(sound) short deathsound		0		0
vo_eny_eny_	daimyo_	death_scream_01	vo_eny_eny_daimyo_death_scream_01	omuk	hambo	Daimyo	shocked	(sound) short deathsound		0		0
vo_eny_eny_	daimyo_	death_scream_02	vo_eny_eny_daimyo_death_scream_02	omuk	hambo	Daimyo	shocked	(sound) short deathsound		0		0
vo_eny_eny_	daimyo_	death_scream_muffled_00	vo_eny_eny_daimyo_death_scream_muffled_00	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	daimyo_	death_scream_muffled_01	vo_eny_eny_daimyo_death_scream_muffled_01	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	daimyo_	death_scream_muffled_02	vo_eny_eny_daimyo_death_scream_muffled_02	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	daimyo_	detect_corpse_female_00	vo_eny_eny_daimyo_detect_corpse_female_00	omuk		Daimyo	furious	sees a corpse	She's dead!	2	她死了！	1
vo_eny_eny_	daimyo_	detect_corpse_female_01	vo_eny_eny_daimyo_detect_corpse_female_01	omuk		Daimyo	furious	sees a corpse	Someone killed her!	3	他们杀了她！	1
vo_eny_eny_	daimyo_	detect_corpse_male_00	vo_eny_eny_daimyo_detect_corpse_male_00	omuk		Daimyo	furious	sees a corpse	He's dead!	2	他死了！	1
vo_eny_eny_	daimyo_	detect_corpse_male_01	vo_eny_eny_daimyo_detect_corpse_male_01	omuk		Daimyo	furious	sees a corpse	Someone killed him!	3	他们杀了他！	1
vo_eny_eny_	daimyo_	detect_corpse_neutral_00	vo_eny_eny_daimyo_detect_corpse_neutral_00	omuk	hambo	Daimyo	furious	sees a corpse	Murder!	1	杀人了！	1
vo_eny_eny_	daimyo_	detect_corpse_neutral_01	vo_eny_eny_daimyo_detect_corpse_neutral_01	omuk	hambo	Daimyo	furious	sees a corpse	Assassins!	1	有刺客！	1
vo_eny_eny_	daimyo_	detect_player_00	vo_eny_eny_daimyo_detect_player_00	omuk	hambo	Daimyo	agressive	sees a player character	I see you!	3	我看到你了！	1
vo_eny_eny_	daimyo_	detect_player_01	vo_eny_eny_daimyo_detect_player_01	omuk	hambo	Daimyo	agressive	sees a player character	You there!	2	你!	1
