PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN	CEN	DE	CDE	EN - Proofread	Changed?	Simplified Chinese	
vo_ply_ply_	gei_	char_select_	normal_00	vo_ply_ply_gei_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		No need for delay	4		0	There's no need for delay.	YES	不要浪费时间	
vo_ply_ply_	gei_	char_select_	normal_01	vo_ply_ply_gei_char_select_normal_01	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		Always prepared.	2		0	I'm always prepared.	YES	我时刻准备着	
vo_ply_ply_	gei_	char_select_	normal_02	vo_ply_ply_gei_char_select_normal_02	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		Elegance in all things.	4	40	1	Mm. Elegance in all things.	YES	凡事皆需优雅	
vo_ply_ply_	gei_	char_select_	normal_03	vo_ply_ply_gei_char_select_normal_03	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		A subtle bow, a quiet gesture.	6		0	A subtle bow, a quiet gesture.		姿态灵巧，动作轻盈	
vo_ply_ply_	gei_	char_select_	normal_04	vo_ply_ply_gei_char_select_normal_04	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		We have the advantage.	4		0	We have the advantage.		我们处于优势	
vo_ply_ply_	gei_	char_select_	normal_05	vo_ply_ply_gei_char_select_normal_05	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		Red leaves, morning snow.	4		0	Red leaves, morning snow.		红叶，映朝雪	
vo_ply_ply_	gei_	char_select_	normal_06	vo_ply_ply_gei_char_select_normal_06	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		Let us be subtle.	4		0	Now, let us be subtle.	YES	动作要轻	
vo_ply_ply_	gei_	char_select_	normal_07	vo_ply_ply_gei_char_select_normal_07	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		We must show prudence.	4		0	We must show prudence.		谨慎行事	
vo_ply_ply_	gei_	char_select_	normal_08	vo_ply_ply_gei_char_select_normal_08	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		They must not see us.	5		0	They must not see us.		不能让敌人看见	
vo_ply_ply_	gei_	char_select_	normal_09	vo_ply_ply_gei_char_select_normal_09	Iconic	No	Yes	omuk	philipp	sel character	Geisha	stealthy		Silence is our ally.	4		0	Silence is our ally.		悄无声息	
vo_ply_ply_	gei_	char_select_	tense_00	vo_ply_ply_gei_char_select_tense_00	Iconic	No	Yes	omuk	philipp	sel character	Geisha	tense		Let us take the initiative.	5		0	Let us take the initiative.		我们要先发制人	
vo_ply_ply_	gei_	char_select_	tense_01	vo_ply_ply_gei_char_select_tense_01				omuk	philipp	sel character	Geisha	tense		Let us not delay.	4		0	Let us not delay.		不要迟疑	
vo_ply_ply_	gei_	char_select_	tense_02	vo_ply_ply_gei_char_select_tense_02				omuk	philipp	sel character	Geisha	tense		Time is precious.	3		0	Time is precious.		时间宝贵	
vo_ply_ply_	gei_	char_select_	tense_03	vo_ply_ply_gei_char_select_tense_03				omuk	philipp	sel character	Geisha	tense		Let us keep moving.	4		0	Let us keep moving.		不要停下	
vo_ply_ply_	gei_	char_select_	tense_04	vo_ply_ply_gei_char_select_tense_04				omuk	philipp	sel character	Geisha	tense		We must be swift.	4		0	We must be swift.		动作要快	
vo_ply_ply_	gei_	char_select_	tense_05	vo_ply_ply_gei_char_select_tense_05				omuk	philipp	sel character	Geisha	tense		Let us be quick!	4		0	Let us be quick!		抓紧时间	
vo_ply_ply_	gei_	char_select_	tense_06	vo_ply_ply_gei_char_select_tense_06				omuk	philipp	sel character	Geisha	tense		We must move swiftly.	4		0	We must move swiftly.		行动要迅速	
vo_ply_ply_	gei_	char_select_	tense_07	vo_ply_ply_gei_char_select_tense_07				omuk	philipp	sel character	Geisha	tense		Let us move with speed.	5		0	Let us move with speed.		加快速度	
vo_ply_ply_	gei_	char_select_	dark_00	vo_ply_ply_gei_char_select_dark_00	Iconic	No	Yes	omuk	philipp	sel character	Geisha	determined		We cannot rest now.	4		0	We cannot rest now.		没时间休息了	
