2,3,11														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE		
vo_eny_eny_	static_00_	alarm_area_00	vo_eny_eny_static_00_alarm_area_00	omuk	hambo	Static	high tension	sounds the alarm	Sound the alarm!	3	快发警报！	1		
vo_eny_eny_	static_00_	alarm_area_01	vo_eny_eny_static_00_alarm_area_01	omuk	hambo	Static	high tension	sounds the alarm	We are being attacked!	4	我们受到了攻击！	1		
vo_eny_eny_	static_00_	alarm_area_02	vo_eny_eny_static_00_alarm_area_02	omuk	hambo	Static	high tension	sounds the alarm	To arms!	2	准备战斗！	1		
vo_eny_eny_	static_00_	alarm_area_03	vo_eny_eny_static_00_alarm_area_03	omuk	hambo	Static	high tension	sounds the alarm	We need reinforcements!	3	我们需要支援！	1		
vo_eny_eny_	static_00_	alarm_area_04	vo_eny_eny_static_00_alarm_area_04	omuk	hambo	Static	high tension	sounds the alarm	Alert the others!	3	警告其他人!	1		
vo_eny_eny_	static_00_	alarm_local_00	vo_eny_eny_static_00_alarm_local_00	omuk	hambo	Static	urgent, tense	calls for backup	Get over here!	3	快来这里！	1		
vo_eny_eny_	static_00_	alarm_local_01	vo_eny_eny_static_00_alarm_local_01	omuk	hambo	Static	urgent, tense	calls for backup	To me to me!	4	到我这里来！	1		
vo_eny_eny_	static_00_	alarm_local_02	vo_eny_eny_static_00_alarm_local_02	omuk	hambo	Static	urgent, tense	calls for backup	I need backup!	3	我需要支援！	1		
vo_eny_eny_	static_00_	alarm_local_03	vo_eny_eny_static_00_alarm_local_03	omuk	hambo	Static	urgent, tense	calls for backup	Help!	1	救命！	1		
vo_eny_eny_	static_00_	alarm_local_04	vo_eny_eny_static_00_alarm_local_04	omuk	hambo	Static	urgent, tense	calls for backup	Over here!	2	这里！	1		
vo_eny_eny_	static_00_	alarm_local_05	vo_eny_eny_static_00_alarm_local_05	omuk	hambo	Static	urgent, tense	calls for backup	Men over here!	3	兄弟们，都过来！	1		
