PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN
vo_ply_ply_	alc_	char_select_	normal_00	vo_ply_ply_alc_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Alchemist	stealthy		ほっほっほ
vo_ply_ply_	alc_	char_select_	normal_01	vo_ply_ply_alc_char_select_normal_01				omuk	philipp	sel character	Alchemist	stealthy		ふーむ
vo_ply_ply_	alc_	char_select_	normal_02	vo_ply_ply_alc_char_select_normal_02				omuk	philipp	sel character	Alchemist	stealthy		ほぉ、そうじゃの
vo_ply_ply_	alc_	char_select_	normal_03	vo_ply_ply_alc_char_select_normal_03				omuk	philipp	sel character	Alchemist	stealthy		ほぉ、面白そうじゃの
vo_ply_ply_	alc_	char_select_	normal_04	vo_ply_ply_alc_char_select_normal_04				omuk	philipp	sel character	Alchemist	stealthy		ふーむ、考えがあるのじゃな
vo_ply_ply_	alc_	char_select_	normal_05	vo_ply_ply_alc_char_select_normal_05				omuk	philipp	sel character	Alchemist	stealthy		どのぐらいじゃろうか
vo_ply_ply_	alc_	char_select_	normal_06	vo_ply_ply_alc_char_select_normal_06				omuk	philipp	sel character	Alchemist	stealthy		話はまだ終わっとらん
vo_ply_ply_	alc_	char_select_	normal_07	vo_ply_ply_alc_char_select_normal_07				omuk	philipp	sel character	Alchemist	stealthy		ふむ、準備完了じゃ
vo_ply_ply_	alc_	char_select_	normal_08	vo_ply_ply_alc_char_select_normal_08				omuk	philipp	sel character	Alchemist	stealthy		よいぞ…
vo_ply_ply_	alc_	char_select_stationary_	normal_00	vo_ply_ply_alc_char_select_stationary_normal_00	Iconic	No	Yes	omuk	philipp	sel character stationary	Alchemist	calm		ふむ、位置についた
vo_ply_ply_	alc_	char_select_stationary_	normal_01	vo_ply_ply_alc_char_select_stationary_normal_01				omuk	philipp	sel character stationary	Alchemist	calm		上々じゃ
vo_ply_ply_	alc_	char_select_stationary_	normal_03	vo_ply_ply_alc_char_select_stationary_normal_03				omuk	philipp	sel character stationary	Alchemist	calm		よく見えとるわい
vo_ply_ply_	alc_	char_select_stationary_	normal_04	vo_ply_ply_alc_char_select_stationary_normal_04				omuk	philipp	sel character stationary	Alchemist	calm		助けるわい
vo_ply_ply_	alc_	char_select_stationary_	normal_05	vo_ply_ply_alc_char_select_stationary_normal_05				omuk	philipp	sel character stationary	Alchemist	calm		ほっほ、心配せんでもよく見えるわい
vo_ply_ply_	alc_	char_select_	tense_00	vo_ply_ply_alc_char_select_tense_00	Iconic	No	Yes	omuk	philipp	sel character	Alchemist	tense		うーむ…
vo_ply_ply_	alc_	char_select_	tense_01	vo_ply_ply_alc_char_select_tense_01				omuk	philipp	sel character	Alchemist	tense		おそらく…
vo_ply_ply_	alc_	char_select_	tense_02	vo_ply_ply_alc_char_select_tense_02				omuk	philipp	sel character	Alchemist	tense		外しはせん
vo_ply_ply_	alc_	char_select_	tense_03	vo_ply_ply_alc_char_select_tense_03				omuk	philipp	sel character	Alchemist	tense		あぁ、もちろん…
vo_ply_ply_	alc_	char_select_	tense_04	vo_ply_ply_alc_char_select_tense_04				omuk	philipp	sel character	Alchemist	tense		死は気まぐれ
vo_ply_ply_	alc_	char_select_	tense_05	vo_ply_ply_alc_char_select_tense_05				omuk	philipp	sel character	Alchemist	tense		まだ必要とされておる…
vo_ply_ply_	alc_	char_select_	tense_06	vo_ply_ply_alc_char_select_tense_06				omuk	philipp	sel character	Alchemist	tense		時こそ大切じゃ
vo_ply_ply_	alc_	char_select_	tense_07	vo_ply_ply_alc_char_select_tense_07				omuk	philipp	sel character	Alchemist	tense		大事な時じゃの…
vo_ply_ply_	alc_	char_select_	tense_08	vo_ply_ply_alc_char_select_tense_08				omuk	philipp	sel character	Alchemist	tense		常に用心しておるよ
vo_ply_ply_	alc_	char_select_	dark_00	vo_ply_ply_alc_char_select_dark_00	Iconic	No	Yes	omuk	philipp	sel character	Alchemist	tired		雪ちゃん…
vo_ply_ply_	alc_	char_select_	dark_01	vo_ply_ply_alc_char_select_dark_01				omuk	philipp	sel character	Alchemist	tired		暗澹なり…
vo_ply_ply_	alc_	char_select_	dark_02	vo_ply_ply_alc_char_select_dark_02				omuk	philipp	sel character	Alchemist	tired		どうしてこうも見えなくなってしまったかのう…
vo_ply_ply_	alc_	char_select_	dark_03	vo_ply_ply_alc_char_select_dark_03				omuk	philipp	sel character	Alchemist	tired		また失敗か…
vo_ply_ply_	alc_	char_select_	dark_04	vo_ply_ply_alc_char_select_dark_04				omuk	philipp	sel character	Alchemist	tired		終わりは来るのか…
vo_ply_ply_	alc_	char_select_	dark_05	vo_ply_ply_alc_char_select_dark_05				omuk	philipp	sel character	Alchemist	tired		疲れたわい…
vo_ply_ply_	alc_	char_select_	dark_06	vo_ply_ply_alc_char_select_dark_06				omuk	philipp	sel character	Alchemist	tired		うーむ…
vo_ply_ply_	alc_	char_select_	cold_00	vo_ply_ply_alc_char_select_cold_00	Iconic	No	Yes	omuk	philipp	sel character	Alchemist	cold		ふーぅ、さむいのう
vo_ply_ply_	alc_	char_select_	cold_01	vo_ply_ply_alc_char_select_cold_01				omuk	philipp	sel character	Alchemist	cold	slight shiver	凍える風じゃの
vo_ply_ply_	alc_	char_select_	cold_02	vo_ply_ply_alc_char_select_cold_02				omuk	philipp	sel character	Alchemist	cold		雪が積もっとるわい
vo_ply_ply_	alc_	char_select_	night_00	vo_ply_ply_alc_char_select_night_00	Iconic	No	Yes	omuk	philipp	sel character	Alchemist	mysterious		あぁ、暗黒、我が旧友じゃよ、ほっほ
