2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	brogun_	death_scream_00	vo_eny_eny_brogun_death_scream_00	omuk	hambo	Brogun	shocked	(sound) short deathsound	
vo_eny_eny_	brogun_	death_scream_01	vo_eny_eny_brogun_death_scream_01	omuk	hambo	Brogun	shocked	(sound) short deathsound	
vo_eny_eny_	brogun_	death_scream_02	vo_eny_eny_brogun_death_scream_02	omuk	hambo	Brogun	shocked	(sound) short deathsound	
vo_eny_eny_	brogun_	death_scream_03	vo_eny_eny_brogun_death_scream_03	omuk	hambo	Brogun	shocked	(sound) short deathsound	
vo_eny_eny_	brogun_	death_scream_04	vo_eny_eny_brogun_death_scream_04	omuk	hambo	Brogun	shocked	(sound) short deathsound	
vo_eny_eny_	brogun_	death_scream_muffled_00	vo_eny_eny_brogun_death_scream_muffled_00	omuk	hambo	Brogun	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogun_	death_scream_muffled_01	vo_eny_eny_brogun_death_scream_muffled_01	omuk	hambo	Brogun	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogun_	death_scream_muffled_02	vo_eny_eny_brogun_death_scream_muffled_02	omuk	hambo	Brogun	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogun_	death_scream_muffled_03	vo_eny_eny_brogun_death_scream_muffled_03	omuk	hambo	Brogun	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogun_	death_scream_muffled_04	vo_eny_eny_brogun_death_scream_muffled_04	omuk	hambo	Brogun	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogun_	detect_corpse_female_02	vo_eny_eny_brogun_detect_corpse_female_02	omuk		Brogun	displeased	sees a corpse	死んでるぞ！
vo_eny_eny_	brogun_	detect_corpse_female_03	vo_eny_eny_brogun_detect_corpse_female_03	omuk		Brogun	displeased	sees a corpse	奴らにやられたか！
vo_eny_eny_	brogun_	detect_corpse_male_00	vo_eny_eny_brogun_detect_corpse_male_00	omuk		Brogun	displeased	sees a corpse	息絶えておる！
vo_eny_eny_	brogun_	detect_corpse_male_01	vo_eny_eny_brogun_detect_corpse_male_01	omuk		Brogun	displeased	sees a corpse	奴らの仕業か！
vo_eny_eny_	brogun_	detect_corpse_neutral_00	vo_eny_eny_brogun_detect_corpse_neutral_00	omuk	hambo	Brogun	displeased	sees a corpse	人殺しだ！
vo_eny_eny_	brogun_	detect_corpse_neutral_01	vo_eny_eny_brogun_detect_corpse_neutral_01	omuk	hambo	Brogun	displeased	sees a corpse	人殺しがおるぞ！
vo_eny_eny_	brogun_	detect_player_00	vo_eny_eny_brogun_detect_player_00	omuk	hambo	Brogun	tense	sees a player character	おのれ…！
vo_eny_eny_	brogun_	detect_player_01	vo_eny_eny_brogun_detect_player_01	omuk	hambo	Brogun	tense	sees a player character	武源の手下か！
vo_eny_eny_	brogun_	detect_player_02	vo_eny_eny_brogun_detect_player_02	omuk	hambo	Brogun	tense	sees a player character	兄の手先か！
vo_eny_eny_	brogun_	detect_player_proximity_00	vo_eny_eny_brogun_detect_player_proximity_00	omuk	hambo	Brogun	tense	senses a nearby player character	この感覚…。
vo_eny_eny_	brogun_	detect_player_proximity_01	vo_eny_eny_brogun_detect_player_proximity_01	omuk	hambo	Brogun	tense	senses a nearby player character	近くに誰かがいるぞ…。
vo_eny_eny_	brogun_	detect_player_proximity_02	vo_eny_eny_brogun_detect_player_proximity_02	omuk	hambo	Brogun	tense	senses a nearby player character	そこに誰か隠れているのか…。
vo_eny_eny_	brogun_	detect_unconscious_female_01	vo_eny_eny_brogun_detect_unconscious_female_01	omuk		Brogun	displeased	sees unconcious person	かなりひどく痛めつけられたようだな。
