2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	civilian_00_	carry_object_00	vo_eny_eny_civilian_00_carry_object_00	omuk		Civilian M		(sound) carries heavy object	
vo_eny_eny_	civilian_00_	clear_throat_00	vo_eny_eny_civilian_00_clear_throat_00	omuk		Civilian M		(sound) clears throat	
vo_eny_eny_	civilian_00_	cough_00	vo_eny_eny_civilian_00_cough_00	omuk		Civilian M		(sound) coughs	
vo_eny_eny_	civilian_00_	death_scream_00	vo_eny_eny_civilian_00_death_scream_00	omuk	hambo	Civilian M	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_00_	death_scream_01	vo_eny_eny_civilian_00_death_scream_01	omuk	hambo	Civilian M	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_00_	death_scream_02	vo_eny_eny_civilian_00_death_scream_02	omuk	hambo	Civilian M	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_00_	death_scream_03	vo_eny_eny_civilian_00_death_scream_03	omuk	hambo	Civilian M	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_00_	death_scream_04	vo_eny_eny_civilian_00_death_scream_04	omuk	hambo	Civilian M	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_00_	death_scream_muffled_00	vo_eny_eny_civilian_00_death_scream_muffled_00	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_00_	death_scream_muffled_01	vo_eny_eny_civilian_00_death_scream_muffled_01	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_00_	death_scream_muffled_02	vo_eny_eny_civilian_00_death_scream_muffled_02	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_00_	death_scream_muffled_03	vo_eny_eny_civilian_00_death_scream_muffled_03	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_00_	death_scream_muffled_04	vo_eny_eny_civilian_00_death_scream_muffled_04	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_00_	detect_corpse_female_02	vo_eny_eny_civilian_00_detect_corpse_female_02	omuk		Civilian M	shocked	sees a corpse	死体だ！
vo_eny_eny_	civilian_00_	detect_corpse_female_03	vo_eny_eny_civilian_00_detect_corpse_female_03	omuk		Civilian M	shocked	sees a corpse	殺されてる！
vo_eny_eny_	civilian_00_	detect_corpse_male_00	vo_eny_eny_civilian_00_detect_corpse_male_00	omuk		Civilian M	shocked	sees a corpse	死んでるぞ！
vo_eny_eny_	civilian_00_	detect_corpse_male_01	vo_eny_eny_civilian_00_detect_corpse_male_01	omuk		Civilian M	shocked	sees a corpse	奴らに殺されたんだ！
vo_eny_eny_	civilian_00_	detect_corpse_neutral_00	vo_eny_eny_civilian_00_detect_corpse_neutral_00	omuk	hambo	Civilian M	shocked	sees a corpse	助けてくれ！人殺しだ！
vo_eny_eny_	civilian_00_	detect_corpse_neutral_01	vo_eny_eny_civilian_00_detect_corpse_neutral_01	omuk	hambo	Civilian M	shocked	sees a corpse	人殺しがいるぞ！
vo_eny_eny_	civilian_00_	detect_footsteps_00	vo_eny_eny_civilian_00_detect_footsteps_00	omuk	hambo	Civilian M	puzzled	sees player footprints	変な足跡だ。
vo_eny_eny_	civilian_00_	detect_footsteps_01	vo_eny_eny_civilian_00_detect_footsteps_01	omuk	hambo	Civilian M	puzzled	sees player footprints	珍しいな。
vo_eny_eny_	civilian_00_	detect_footsteps_02	vo_eny_eny_civilian_00_detect_footsteps_02	omuk	hambo	Civilian M	puzzled	sees player footprints	こんなとこに誰が？
vo_eny_eny_	civilian_00_	detect_lightsource_00	vo_eny_eny_civilian_00_detect_lightsource_00	omuk	hambo	Civilian M	solemn	sees extiguished lamp, but…	今日は風が強い。
vo_eny_eny_	civilian_00_	detect_lightsource_01	vo_eny_eny_civilian_00_detect_lightsource_01	omuk	hambo	Civilian M	solemn	sees extiguished lamp, but…	天気が悪いなぁ。
vo_eny_eny_	civilian_00_	detect_lightsource_02	vo_eny_eny_civilian_00_detect_lightsource_02	omuk	hambo	Civilian M	annoyed	sees extiguished lamp, but…	お…明かりが消えてるな。
vo_eny_eny_	civilian_00_	detect_player_00	vo_eny_eny_civilian_00_detect_player_00	omuk	hambo	Civilian M	frightened	sees a player character	助けてくれ！
vo_eny_eny_	civilian_00_	detect_player_01	vo_eny_eny_civilian_00_detect_player_01	omuk	hambo	Civilian M	frightened	sees a player character	あぁぁぁぁ！
vo_eny_eny_	civilian_00_	detect_player_02	vo_eny_eny_civilian_00_detect_player_02	omuk	hambo	Civilian M	frightened	sees a player character	助けを！
vo_eny_eny_	civilian_00_	detect_player_proximity_00	vo_eny_eny_civilian_00_detect_player_proximity_00	omuk	hambo	Civilian M	tense	senses a nearby player character	この感覚…。
vo_eny_eny_	civilian_00_	detect_player_proximity_01	vo_eny_eny_civilian_00_detect_player_proximity_01	omuk	hambo	Civilian M	tense	senses a nearby player character	今、何か見えたような…。
vo_eny_eny_	civilian_00_	detect_player_proximity_02	vo_eny_eny_civilian_00_detect_player_proximity_02	omuk	hambo	Civilian M	tense	senses a nearby player character	近くに誰かがいるぞ…。
vo_eny_eny_	civilian_00_	detect_sake_00	vo_eny_eny_civilian_00_detect_sake_00	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	珍しい。今日はツイてるな。
vo_eny_eny_	civilian_00_	detect_sake_01	vo_eny_eny_civilian_00_detect_sake_01	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	女房へのプレゼントにでもするか。
vo_eny_eny_	civilian_00_	detect_sake_02	vo_eny_eny_civilian_00_detect_sake_02	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	どこかの使用人が落としたに違いねぇ。
vo_eny_eny_	civilian_00_	detect_tanuki_00	vo_eny_eny_civilian_00_detect_tanuki_00	omuk	hambo	Civilian M	relieved	sees the tanuki	なんだ、たぬきか。
vo_eny_eny_	civilian_00_	detect_tanuki_01	vo_eny_eny_civilian_00_detect_tanuki_01	omuk	hambo	Civilian M	relieved	sees the tanuki	意外にかわいい顔してやがる。
vo_eny_eny_	civilian_00_	detect_tanuki_02	vo_eny_eny_civilian_00_detect_tanuki_02	omuk	hambo	Civilian M	nervous	sees the tanuki	たぬきか？どうした？
vo_eny_eny_	civilian_00_	detect_unconscious_female_01	vo_eny_eny_civilian_00_detect_unconscious_female_01	omuk		Civilian M	shocked	sees unconcious person	えらい、やられてんなぁ。
vo_eny_eny_	civilian_00_	detect_unconscious_female_02	vo_eny_eny_civilian_00_detect_unconscious_female_02	omuk		Civilian M	shocked	sees unconcious person	気絶してるなぁ。
vo_eny_eny_	civilian_00_	detect_unconscious_female_03	vo_eny_eny_civilian_00_detect_unconscious_female_03	omuk		Civilian M	shocked	sees unconcious person	襲われたんだな。
vo_eny_eny_	civilian_00_	detect_unconscious_male_00	vo_eny_eny_civilian_00_detect_unconscious_male_00	omuk		Civilian M	shocked	sees unconcious person	えらい、やられてんなぁ。
vo_eny_eny_	civilian_00_	detect_unconscious_male_01	vo_eny_eny_civilian_00_detect_unconscious_male_01	omuk		Civilian M	shocked	sees unconcious person	気、失ってるな。
vo_eny_eny_	civilian_00_	detect_unconscious_male_02	vo_eny_eny_civilian_00_detect_unconscious_male_02	omuk		Civilian M	shocked	sees unconcious person	襲われたのか。
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_01	vo_eny_eny_civilian_00_detect_unconscious_neutral_01	omuk	hambo	Civilian M	nervous	sees unconcious person	あんた、大丈夫かい？
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_02	vo_eny_eny_civilian_00_detect_unconscious_neutral_02	omuk	hambo	Civilian M	worried	sees unconcious person	どうしたってんだ？
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_03	vo_eny_eny_civilian_00_detect_unconscious_neutral_03	omuk	hambo	Civilian M	nervous	sees unconcious person	おい！なんで倒れてるんだ？
vo_eny_eny_	civilian_00_	drink_weeping_00	vo_eny_eny_civilian_00_drink_weeping_00	omuk		Civilian M		(sound) weeping	
vo_eny_eny_	civilian_00_	drop_object_00	vo_eny_eny_civilian_00_drop_object_00	omuk		Civilian M		(sound) lays down heavy object	
vo_eny_eny_	civilian_00_	fetch_guard_00	vo_eny_eny_civilian_00_fetch_guard_00	omuk	hambo	Civilian M	hectic	points guard to where he saw a player character	あそこだ！俺、見たんだ！
vo_eny_eny_	civilian_00_	fetch_guard_01	vo_eny_eny_civilian_00_fetch_guard_01	omuk	hambo	Civilian M	hectic	points guard to where he saw a player character	犯人だよ！あっちからやって来た！
vo_eny_eny_	civilian_00_	fetch_guard_02	vo_eny_eny_civilian_00_fetch_guard_02	omuk	hambo	Civilian M	pleading	points guard to where he saw a player character	俺らを守ってくれ！
vo_eny_eny_	civilian_00_	friend_missing_female_00	vo_eny_eny_civilian_00_friend_missing_female_00	omuk		Civilian M	worried	his partner is missing	どこに行ったんだ？
vo_eny_eny_	civilian_00_	friend_missing_female_01	vo_eny_eny_civilian_00_friend_missing_female_01	omuk		Civilian M	worried	his partner is missing	ここにいるはずなんだが…。
vo_eny_eny_	civilian_00_	friend_missing_male_00	vo_eny_eny_civilian_00_friend_missing_male_00	omuk		Civilian M	worried	his partner is missing	どこに行きやがった？
vo_eny_eny_	civilian_00_	friend_missing_male_01	vo_eny_eny_civilian_00_friend_missing_male_01	omuk		Civilian M	worried	his partner is missing	ここにいるはずなんだが…。
vo_eny_eny_	civilian_00_	friend_missing_neutral_01	vo_eny_eny_civilian_00_friend_missing_neutral_01	omuk	hambo	Civilian M	worried	his partner is missing	ずいぶん長くかかってるな…。
vo_eny_eny_	civilian_00_	friend_missing_neutral_02	vo_eny_eny_civilian_00_friend_missing_neutral_02	omuk	hambo	Civilian M	worried	his partner is missing	もうこんな時間だぜ…。
vo_eny_eny_	civilian_00_	friend_wakeup_00	vo_eny_eny_civilian_00_friend_wakeup_00	omuk	hambo	Civilian M	worried	wakes unconcious person	起きろよ！
vo_eny_eny_	civilian_00_	friend_wakeup_01	vo_eny_eny_civilian_00_friend_wakeup_01	omuk	hambo	Civilian M	anxious	wakes unconcious person	誰にやられたんだ？
