2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	static_00_	alarm_area_00	vo_eny_eny_static_00_alarm_area_00	omuk	hambo	Static	high tension	sounds the alarm	警鐘を鳴らせ！
vo_eny_eny_	static_00_	alarm_area_01	vo_eny_eny_static_00_alarm_area_01	omuk	hambo	Static	high tension	sounds the alarm	攻撃を受けてるぞ！
vo_eny_eny_	static_00_	alarm_area_02	vo_eny_eny_static_00_alarm_area_02	omuk	hambo	Static	high tension	sounds the alarm	戦闘準備だ！
vo_eny_eny_	static_00_	alarm_area_03	vo_eny_eny_static_00_alarm_area_03	omuk	hambo	Static	high tension	sounds the alarm	援軍をよこしてくれ！
vo_eny_eny_	static_00_	alarm_area_04	vo_eny_eny_static_00_alarm_area_04	omuk	hambo	Static	high tension	sounds the alarm	他の兵士に連絡だ！
vo_eny_eny_	static_00_	alarm_local_00	vo_eny_eny_static_00_alarm_local_00	omuk	hambo	Static	urgent, tense	calls for backup	こっちに来い！
vo_eny_eny_	static_00_	alarm_local_01	vo_eny_eny_static_00_alarm_local_01	omuk	hambo	Static	urgent, tense	calls for backup	こっちへ来てくれ！
vo_eny_eny_	static_00_	alarm_local_02	vo_eny_eny_static_00_alarm_local_02	omuk	hambo	Static	urgent, tense	calls for backup	応援がいるんだ！
vo_eny_eny_	static_00_	alarm_local_03	vo_eny_eny_static_00_alarm_local_03	omuk	hambo	Static	urgent, tense	calls for backup	助けてくれ！
vo_eny_eny_	static_00_	alarm_local_04	vo_eny_eny_static_00_alarm_local_04	omuk	hambo	Static	urgent, tense	calls for backup	ここへ！
vo_eny_eny_	static_00_	alarm_local_05	vo_eny_eny_static_00_alarm_local_05	omuk	hambo	Static	urgent, tense	calls for backup	援軍をこっちへ！
vo_eny_eny_	static_00_	alarm_local_06	vo_eny_eny_static_00_alarm_local_06	omuk	hambo	Static	urgent, tense	curses	クソッ！
vo_eny_eny_	static_00_	alarm_stop_00	vo_eny_eny_static_00_alarm_stop_00	omuk	hambo	Static	commanding	end of alarm	逃げられたぞ！鐘を止めろ！
vo_eny_eny_	static_00_	alarm_stop_01	vo_eny_eny_static_00_alarm_stop_01	omuk	hambo	Static	commanding	end of alarm	捜索中止だ！持ち場へ戻れ！
vo_eny_eny_	static_00_	alarm_stop_02	vo_eny_eny_static_00_alarm_stop_02	omuk	hambo	Static	commanding	end of alarm	逃げたに違いない！攻撃を止めろ！
vo_eny_eny_	static_00_	alarm_stop_03	vo_eny_eny_static_00_alarm_stop_03	omuk	hambo	Static	commanding	end of alarm	敵はもういないぞ！休め！
vo_eny_eny_	static_00_	alarm_stop_04	vo_eny_eny_static_00_alarm_stop_04	omuk	hambo	Static	commanding	end of alarm	敵を蹴散らしたようだ！
vo_eny_eny_	static_00_	alarm_stop_05	vo_eny_eny_static_00_alarm_stop_05	omuk	hambo	Static	commanding	end of alarm	警鐘を解除しろ！
vo_eny_eny_	static_00_	carry_object_00	vo_eny_eny_static_00_carry_object_00	omuk		Static		(sound) carries heavy object	
vo_eny_eny_	static_00_	clear_throat_00	vo_eny_eny_static_00_clear_throat_00	omuk		Static		(sound) clears throat	
vo_eny_eny_	static_00_	cough_00	vo_eny_eny_static_00_cough_00	omuk		Static		(sound) coughs	
vo_eny_eny_	static_00_	danger_toohigh_00	vo_eny_eny_static_00_danger_toohigh_00	omuk	hambo	Static	shocked	has seen a player far above him	上だ！狙え！
vo_eny_eny_	static_00_	danger_toohigh_01	vo_eny_eny_static_00_danger_toohigh_01	omuk	hambo	Static	shocked	has seen a player far above him	上にいるぞ！
vo_eny_eny_	static_00_	danger_toohigh_02	vo_eny_eny_static_00_danger_toohigh_02	omuk	hambo	Static	shocked	has seen a player far above him	上から攻撃してるぞ！
vo_eny_eny_	static_00_	danger_unreachable_00	vo_eny_eny_static_00_danger_unreachable_00	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	卑怯者め！姑息な手を！
vo_eny_eny_	static_00_	danger_unreachable_01	vo_eny_eny_static_00_danger_unreachable_01	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	どうやって登ったんだ？
vo_eny_eny_	static_00_	danger_unreachable_02	vo_eny_eny_static_00_danger_unreachable_02	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	届かないぞ！
vo_eny_eny_	static_00_	death_scream_00	vo_eny_eny_static_00_death_scream_00	omuk	hambo	Static	shocked	(sound) short deathsound	
vo_eny_eny_	static_00_	death_scream_01	vo_eny_eny_static_00_death_scream_01	omuk	hambo	Static	shocked	(sound) short deathsound	
vo_eny_eny_	static_00_	death_scream_02	vo_eny_eny_static_00_death_scream_02	omuk	hambo	Static	shocked	(sound) short deathsound	
vo_eny_eny_	static_00_	death_scream_03	vo_eny_eny_static_00_death_scream_03	omuk	hambo	Static	shocked	(sound) short deathsound	
vo_eny_eny_	static_00_	death_scream_04	vo_eny_eny_static_00_death_scream_04	omuk	hambo	Static	shocked	(sound) short deathsound	
vo_eny_eny_	static_00_	death_scream_muffled_00	vo_eny_eny_static_00_death_scream_muffled_00	omuk	hambo	Static	struggling	(sound) muffled deathsound	
vo_eny_eny_	static_00_	death_scream_muffled_01	vo_eny_eny_static_00_death_scream_muffled_01	omuk	hambo	Static	struggling	(sound) muffled deathsound	
vo_eny_eny_	static_00_	death_scream_muffled_02	vo_eny_eny_static_00_death_scream_muffled_02	omuk	hambo	Static	struggling	(sound) muffled deathsound	
vo_eny_eny_	static_00_	death_scream_muffled_03	vo_eny_eny_static_00_death_scream_muffled_03	omuk	hambo	Static	struggling	(sound) muffled deathsound	
vo_eny_eny_	static_00_	death_scream_muffled_04	vo_eny_eny_static_00_death_scream_muffled_04	omuk	hambo	Static	struggling	(sound) muffled deathsound	
vo_eny_eny_	static_00_	detect_corpse_female_02	vo_eny_eny_static_00_detect_corpse_female_02	omuk		Static	shocked	sees a corpse	死んでる…！
vo_eny_eny_	static_00_	detect_corpse_female_03	vo_eny_eny_static_00_detect_corpse_female_03	omuk		Static	shocked	sees a corpse	奴らに殺されたに違いない！
vo_eny_eny_	static_00_	detect_corpse_male_00	vo_eny_eny_static_00_detect_corpse_male_00	omuk		Static	shocked	sees a corpse	死んでるぞ！
vo_eny_eny_	static_00_	detect_corpse_male_01	vo_eny_eny_static_00_detect_corpse_male_01	omuk		Static	shocked	sees a corpse	奴らに殺されたんだ！
vo_eny_eny_	static_00_	detect_corpse_neutral_02	vo_eny_eny_static_00_detect_corpse_neutral_02	omuk	hambo	Static	shocked	sees a corpse	人殺しめ！
vo_eny_eny_	static_00_	detect_corpse_neutral_03	vo_eny_eny_static_00_detect_corpse_neutral_03	omuk	hambo	Static	shocked	sees a corpse	暗殺者だと？！
vo_eny_eny_	static_00_	detect_footsteps_00	vo_eny_eny_static_00_detect_footsteps_00	omuk		Static	dismissive	sees player footprints	うん？足跡か。
vo_eny_eny_	static_00_	detect_footsteps_01	vo_eny_eny_static_00_detect_footsteps_01	omuk		Static	dismissive	sees player footprints	誰の足跡だろう？
vo_eny_eny_	static_00_	detect_footsteps_02	vo_eny_eny_static_00_detect_footsteps_02	omuk		Static	dismissive	sees player footprints	誰の足跡だ？！
