PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN
vo_ply_ply_	war_	char_select_	normal_00	vo_ply_ply_war_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	stealthy		わが命、将軍に捧げようぞ。
vo_ply_ply_	war_	char_select_	normal_01	vo_ply_ply_war_char_select_normal_01				omuk	philipp	sel character	Warrior	stealthy		忍耐あるのみじゃ。
vo_ply_ply_	war_	char_select_	normal_02	vo_ply_ply_war_char_select_normal_02				omuk	philipp	sel character	Warrior	stealthy		準備は出来ておる。
vo_ply_ply_	war_	char_select_	normal_03	vo_ply_ply_war_char_select_normal_03				omuk	philipp	sel character	Warrior	stealthy		機は熟した。
vo_ply_ply_	war_	char_select_	normal_04	vo_ply_ply_war_char_select_normal_04				omuk	philipp	sel character	Warrior	stealthy		ああ、これがよい。
vo_ply_ply_	war_	char_select_	normal_05	vo_ply_ply_war_char_select_normal_05				omuk	philipp	sel character	Warrior	stealthy		共に戦うから強くなれる。
vo_ply_ply_	war_	char_select_	normal_06	vo_ply_ply_war_char_select_normal_06				omuk	philipp	sel character	Warrior	stealthy		油断してはならぬ。
vo_ply_ply_	war_	char_select_	normal_07	vo_ply_ply_war_char_select_normal_07				omuk	philipp	sel character	Warrior	stealthy		死ぬにはちょうどいい日かもしれん。
vo_ply_ply_	war_	char_select_	normal_08	vo_ply_ply_war_char_select_normal_08				omuk	philipp	sel character	Warrior	stealthy		栄光が待っておるぞ。
vo_ply_ply_	war_	char_select_	normal_09	vo_ply_ply_war_char_select_normal_09				omuk	philipp	sel character	Warrior	stealthy		拙者の役目は明確だ。
vo_ply_ply_	war_	char_select_	normal_10	vo_ply_ply_war_char_select_normal_10				omuk	philipp	sel character	Warrior	stealthy		忍耐こそ最強の武器である。
vo_ply_ply_	war_	char_select_	tense_00	vo_ply_ply_war_char_select_tense_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	tense		時間厳守じゃ！
vo_ply_ply_	war_	char_select_	tense_01	vo_ply_ply_war_char_select_tense_01				omuk	philipp	sel character	Warrior	tense		油断するでない！
vo_ply_ply_	war_	char_select_	tense_02	vo_ply_ply_war_char_select_tense_02				omuk	philipp	sel character	Warrior	tense		我らには明日がある！
vo_ply_ply_	war_	char_select_	tense_03	vo_ply_ply_war_char_select_tense_03				omuk	philipp	sel character	Warrior	tense		困難が待ち受けておるぞ！
vo_ply_ply_	war_	char_select_	tense_04	vo_ply_ply_war_char_select_tense_04				omuk	philipp	sel character	Warrior	tense		迅速に動かねば！
vo_ply_ply_	war_	char_select_	tense_05	vo_ply_ply_war_char_select_tense_05				omuk	philipp	sel character	Warrior	tense		我らは成功する！
vo_ply_ply_	war_	char_select_	tense_06	vo_ply_ply_war_char_select_tense_06				omuk	philipp	sel character	Warrior	tense		わが命、将軍に捧げようぞ！
vo_ply_ply_	war_	char_select_	tense_07	vo_ply_ply_war_char_select_tense_07				omuk	philipp	sel character	Warrior	tense		栄光が待っておる！
vo_ply_ply_	war_	char_select_	tense_08	vo_ply_ply_war_char_select_tense_08				omuk	philipp	sel character	Warrior	tense		我らはくじけはせん！
vo_ply_ply_	war_	char_select_	tense_09	vo_ply_ply_war_char_select_tense_09				omuk	philipp	sel character	Warrior	tense		我らの運命は我らが決める！
vo_ply_ply_	war_	char_select_	tense_10	vo_ply_ply_war_char_select_tense_10				omuk	philipp	sel character	Warrior	tense		死が見ておるぞ！
vo_ply_ply_	war_	char_select_	cold_00	vo_ply_ply_war_char_select_cold_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	cold	feels a bit cold	侍は寒さに負けぬ。
vo_ply_ply_	war_	char_select_	cold_01	vo_ply_ply_war_char_select_cold_01				omuk	philipp	sel character	Warrior	cold	supressed sneeze	…すまない。
vo_ply_ply_	war_	char_select_	cold_02	vo_ply_ply_war_char_select_cold_02				omuk	philipp	sel character	Warrior	cold		雪は風情があるのう。
vo_ply_ply_	war_	char_select_	cold_03	vo_ply_ply_war_char_select_cold_03				omuk	philipp	sel character	Warrior	cold		今日は風が凍てつくのう。
vo_ply_ply_	war_	char_select_	cold_04	vo_ply_ply_war_char_select_cold_04				omuk	philipp	sel character	Warrior	cold		むむ…雪が鎧の中に。
vo_ply_ply_	war_	char_select_	cold_05	vo_ply_ply_war_char_select_cold_05				omuk	philipp	sel character	Warrior	cold		寒い場所じゃ…
vo_ply_ply_	war_	char_select_	cold_06	vo_ply_ply_war_char_select_cold_06				omuk	philipp	sel character	Warrior	cold		ふむ、髭が凍っておる…
vo_ply_ply_	war_	char_select_	war_00	vo_ply_ply_war_char_select_war_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	alive	a bit louder than usual	我が名は大代武源！
vo_ply_ply_	war_	char_select_	war_01	vo_ply_ply_war_char_select_war_01				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	この名をしかと覚えておけ！
vo_ply_ply_	war_	char_select_	war_02	vo_ply_ply_war_char_select_war_02				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	誉れある戦じゃ！
vo_ply_ply_	war_	char_select_	war_03	vo_ply_ply_war_char_select_war_03				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	戦はまだ終わっておらん！
vo_ply_ply_	war_	char_select_	war_04	vo_ply_ply_war_char_select_war_04				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	我らでこの戦を終わらせようぞ！
vo_ply_ply_	war_	char_select_	war_05	vo_ply_ply_war_char_select_war_05				omuk	philipp	sel character	Warrior	approving		名誉の死ならばそれもまた良し
vo_ply_ply_	war_	char_select_	team_00	vo_ply_ply_war_char_select_team_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	content		敵は我らを恐れておる。
vo_ply_ply_	war_	char_select_	team_01	vo_ply_ply_war_char_select_team_01				omuk	philipp	sel character	Warrior	content		共に終わらせようぞ。
vo_ply_ply_	war_	char_select_	team_02	vo_ply_ply_war_char_select_team_02				omuk	philipp	sel character	Warrior	content		お主らを信頼しておるぞ。
vo_ply_ply_	war_	char_select_	team_03	vo_ply_ply_war_char_select_team_03				omuk	philipp	sel character	Warrior	content		皆を信頼しておるぞ。
vo_ply_ply_	war_	char_select_	team_04	vo_ply_ply_war_char_select_team_04				omuk	philipp	sel character	Warrior	content		お主の忠誠を誇りに思うぞ。
vo_ply_ply_	war_	char_select_	team_05	vo_ply_ply_war_char_select_team_05				omuk	philipp	sel character	Warrior	content		貴殿の為に参りました、カゲサマ。
vo_ply_ply_	war_	char_select_	rain_00	vo_ply_ply_war_char_select_rain_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	displeased		嫌な天気じゃ…
vo_ply_ply_	war_	char_select_	rain_01	vo_ply_ply_war_char_select_rain_01				omuk	philipp	sel character	Warrior	displeased		敵意さえ感じる雲じゃ。
vo_ply_ply_	war_	char_select_	rain_02	vo_ply_ply_war_char_select_rain_02				omuk	philipp	sel character	Warrior	displeased		この忌々しい雨め！
vo_ply_ply_	war_	char_select_	rain_03	vo_ply_ply_war_char_select_rain_03				omuk	philipp	sel character	Warrior	displeased		うんざりする場所だ。
vo_ply_ply_	war_	char_select_	rain_04	vo_ply_ply_war_char_select_rain_04				omuk	philipp	sel character	Warrior	displeased		雨は風情があるが、今日はその限りではないな。
vo_ply_ply_	war_	char_select_	rain_05	vo_ply_ply_war_char_select_rain_05				omuk	philipp	sel character	Warrior	displeased		土砂降りだな、血も雨も。
vo_ply_ply_	war_	confirm_	normal_00	vo_ply_ply_war_confirm_normal_00				omuk	philipp	com valid	Warrior	stealthy		将軍様のために。
vo_ply_ply_	war_	confirm_	normal_01	vo_ply_ply_war_confirm_normal_01				omuk	philipp	com valid	Warrior	stealthy		慎重に進もう。
vo_ply_ply_	war_	confirm_	normal_02	vo_ply_ply_war_confirm_normal_02				omuk	philipp	com valid	Warrior	stealthy		物音を立てずに動こう。
vo_ply_ply_	war_	confirm_	normal_03	vo_ply_ply_war_confirm_normal_03				omuk	philipp	com valid	Warrior	stealthy		忍耐だ。
vo_ply_ply_	war_	confirm_	normal_04	vo_ply_ply_war_confirm_normal_04				omuk	philipp	com valid	Warrior	stealthy		向かっている。
vo_ply_ply_	war_	confirm_	normal_05	vo_ply_ply_war_confirm_normal_05				omuk	philipp	com valid	Warrior	stealthy		失敗はせぬ。
vo_ply_ply_	war_	confirm_	normal_06	vo_ply_ply_war_confirm_normal_06				omuk	philipp	com valid	Warrior	stealthy		隠れていよう。
vo_ply_ply_	war_	confirm_	normal_07	vo_ply_ply_war_confirm_normal_07				omuk	philipp	com valid	Warrior	stealthy		そこに居よう。
vo_ply_ply_	war_	confirm_	normal_08	vo_ply_ply_war_confirm_normal_08				omuk	philipp	com valid	Warrior	stealthy		任務のためだ。
vo_ply_ply_	war_	confirm_	tense_00	vo_ply_ply_war_confirm_tense_00				omuk	philipp	com valid	Warrior	tense		将軍様のために！
