lvl,sec,voen,vojp,s,en,cn,jp
20,1,vocs_over_over_bathhouse_briefing_n00,vocs_bathhouse_briefing_n00_jp,GEISHA,"This city is beautiful at night. We will find ample shadows here, don't you think, Hayato-san.",这里的夜景真美，应该会有大量阴暗区域便于我们行动吧。你觉得呢，隼人兄？,この町の夜は美しいわ。大きな影が見つかるでしょうね。そう思いませんか、隼人さん？
20,1,vocs_over_over_bathhouse_briefing_n01,vocs_bathhouse_briefing_n01_jp,NINJA,… let's get on with it.,……走吧。,…行こう。
20,1,vocs_over_over_bathhouse_briefing_n02,vocs_bathhouse_briefing_n02_jp,GEISHA,As you wish.,悉听尊便。,仰せのままに。
20,1,vocs_over_over_bathhouse_briefing_n03,vocs_bathhouse_briefing_n03_jp,GEISHA,We must avoid the streets. No doubt Noboru's men are looking for us.,应该避开街道行动。昇的手下肯定在找咱们。,町の道は避けるべきだわ。昇の部下が間違いなく私たちを探しているわ。
20,1,vocs_over_over_bathhouse_briefing_n04,vocs_bathhouse_briefing_n04_jp,NINJA,Hrm …,嗯……,ふー…。
20,1,vocs_over_over_bathhouse_briefing_n05,vocs_bathhouse_briefing_n05_jp,GEISHA,Masaru's residence is in this district. Let us listen in on his men.,真申的宅邸就在这边，去偷听他的手下的谈话吧。,勝の住むのはこの辺りね。部下の話を聞きましょう。
20,1,vocs_over_over_bathhouse_briefing_n06,vocs_bathhouse_briefing_n06_jp,GEISHA,I am certain they will tell us where to find him.,他们肯定会泄露真申的行踪。,どこにいるか必ず話すはずだわ。
20,1,vocs_over_over_bathhouse_briefing_n07,vocs_bathhouse_briefing_n07_jp,GEISHA,I'd prefer having a disguise when listening in.,我更喜欢乔装后去窃听。,むしろ、変装して聞きに行きたいところだわ。
20,1,vocs_over_over_bathhouse_briefing_n08,vocs_bathhouse_briefing_n08_jp,GEISHA,I need a suitable Kimono.,所以需要一身和服。,着物がほしいわね。
20,1,vocs_over_over_bathhouse_briefing_n09,vocs_bathhouse_briefing_n09_jp,NINJA,Whatever. Let's get on with it.,随你便，好了，走吧。,なんでもいいさ。さあ、行こう。
20,1,vocs_over_over_bathhouse_briefing_n10,vocs_bathhouse_briefing_n10_jp,GEISHA,Very well.,好。,えぇ。
20,2,vocs_over_over_bathhouse_redlight_n00,vocs_bathhouse_redlight_n00_jp,NINJA,Red lights …,红灯区……,赤い光…。
20,2,vocs_over_over_bathhouse_redlight_n01,vocs_bathhouse_redlight_n01_jp,GEISHA,The hanamachi. This brings back memories.,花町么。真是回忆满满。,花町。昔を思い出すわ。
20,2,vocs_over_over_bathhouse_redlight_n02,vocs_bathhouse_redlight_n02_jp,NINJA,Hrm …,嗯……,ふー…。
