sec,voen,vojp,s,en,cn,jp
57,vocs_over_over_convoy_post_n00,vocs_convoy_post_n00_jp,NINJA,Not a bad place you have here.,你这地方不赖啊。,なかなか悪くない場所だな。
57,vocs_over_over_convoy_post_n01,vocs_convoy_post_n01_jp,WARRIOR,"Come, come look at this.",来，看看这个。,来い。来てこれを見ろ。
57,vocs_over_over_convoy_post_n02,vocs_convoy_post_n02_jp,WARRIOR,"Our investigations show that the transport passed through the town of Imai, before it entered the Nakasendō route.",从掌握的情报来看，运输车队是先经过今井镇然后进入中山道的。,調べによればこの輸送機関は今井の街を抜けて中山道まで入ったらしい。
57,vocs_over_over_convoy_post_n03,vocs_convoy_post_n03_jp,NINJA,Guess you can't just question the local lord? Find out who's behind this?,我猜你不会只问当地领主几个问题就完事？是想查出幕后黑手？,地方の領主だけの仕業ではなさそうだな？黒幕の見当は？
57,vocs_over_over_convoy_post_n04,vocs_convoy_post_n04_jp,WARRIOR,"I fear it is not that simple. Lord Yabu rules this area, a powerful daimyo who's shown little love for the Shogun since the end of the war.",恐怕事情没那么简单。这一带是薮领主的势力范围，此人实力雄厚，战后对将军就表现出不满了。,そう単純じゃあないらしい。ここら一帯を治めているのは藪大名だ。戦が終わってからは上様への忠誠心はほとんど見せていない強力な大名だ。
57,vocs_over_over_convoy_post_n05,vocs_convoy_post_n05_jp,NINJA,Could be your Kage-sama. Want me to go to Imai town? Must be cold there this time of year.  ,没准幕后就是那位影大人。要我去趟今井镇吗？那地方现在一定很冷。  ,カゲサマかもしれんな。今井の街へ向かった方がいいか？この時期はあの辺りは寒いはずだ。 
57,vocs_over_over_convoy_post_n06,vocs_convoy_post_n06_jp,WARRIOR,I will handle this one myself. Please tell Yuki-chan to come and see me.,这事我亲自处理。麻烦转告友希妹妹来见我。,この件は拙者が片付ける。雪殿に話があると伝えてくれ。
57,vocs_over_over_convoy_post_n07,vocs_convoy_post_n07_jp,NINJA,No need. She's already at the door.,不用转告了。她就在门口。,その必要はない。もう扉の前にいるよ。
57,vocs_over_over_convoy_post_n08,vocs_convoy_post_n08_jp,WARRIOR,Is she now?,她在门口？,本当か？
57,vocs_over_over_convoy_post_n09,vocs_convoy_post_n09_jp,TRAPPER,I-I wasn't listening! I swear!,我-我可没偷听！我发誓！,な、何も聞いていないよ！絶対！
57,vocs_over_over_convoy_post_n10,vocs_convoy_post_n10_jp,WARRIOR,"Easy, Yuki-chan.",没事，友希妹妹。,落ち着いて、雪殿。
