BRIEFING									Aiko and Takuma are positioned on a slope overlooking the hidden camp in the bamboo forest. Hayato, Yuki and Mugen arrive at the camp entrance.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Kage-sama's hideout		影大人藏身处	1																					
vocs_over_over_	_n00	vocs_over_over_bambooforest_briefing_n00				GEISHA	focussed	Cam at A+T Start	What do you see, Takuma-sama?	5	琢磨大师，你看到什么？	1																					
vocs_over_over_	_n01	vocs_over_over_bambooforest_briefing_n01				ALCHEMIST	pleased	in sniper position	Fire, at the heart of the camp.	7	营地正中有篝火。	1																					
vocs_over_over_	_n02	vocs_over_over_bambooforest_briefing_n02				ALCHEMIST	pleased	Cam to middle camp	I'd reckon that's where Kage-sama is.	6	影大人想必就在那里。	1																					
vocs_over_over_	_n03	vocs_over_over_bambooforest_briefing_n03				GEISHA	focussed		I agree. Are the others in position?	7	同意。其他人是否已就位？	1																					
vocs_over_over_	_n04	vocs_over_over_bambooforest_briefing_n04				TRAPPER	tense	cam to H+M+T start	Why did Aiko-san and Takuma-san go another way?	8	为什么爱子姐和琢磨师父要走那一边？	1																					
vocs_over_over_	_n05	vocs_over_over_bambooforest_briefing_n05				NINJA	planning		We'll attack from two sides, circle in on him, then take him out.	13	这次要兵分两路将其包围，然后把他干掉。	1																					
vocs_over_over_	_n06	vocs_over_over_bambooforest_briefing_n06				WARRIOR			Remember that the Shogun wants Kage-sama delivered. We need to take him with us, whether he is alive or dead.	20	切记将军的命令，无论生死，我们都必须把影大人带回去。	1																					
vocs_over_over_	_n07	vocs_over_over_bambooforest_briefing_n07				NINJA	smug		Dead's fine with me. Saves us trouble on the road.	10	杀了他更好，省得路上麻烦。	1																					
vocs_over_over_	_n08	vocs_over_over_bambooforest_briefing_n08				WARRIOR			Once we have incapacitated him we will carry him back here and leave this forest with our prize.	18	一旦将他拿下，要迅速带回这里，离开竹林确保胜利。	1																					
vocs_over_over_	_n09	vocs_over_over_bambooforest_briefing_n09				TRAPPER	tense		Sneak inside, catch the shadow, sneak back out.	8	潜伏进去，抓住影子，悄悄出来。	1																					
vocs_over_over_	_n10	vocs_over_over_bambooforest_briefing_n10				NINJA	smug		Teh, sound simple. Alright, let's finish this.	7	哼，很简单嘛。好了，开始行动吧。	1																					
																																	
FORCE									Mugen's group tackles the heavily guarded entrance to the camp		Mugen's group tackles the heavily guarded entrance to the camp																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_bambooforest_force_n00				NINJA	smug	Hayato first	What's this. Almost looks challenging …	6	前面什么情况。还算有点难度……	1																					
vocs_over_over_	_n01	vocs_over_over_bambooforest_force_n01				TRAPPER	excited	Yuki first	Oh, a challenge!	3	啊，前面好像有点难度。	1																					
vocs_over_over_	_n02	vocs_over_over_bambooforest_force_n02				WARRIOR	proud		Ha! These men do not know what they're up against.	10	哼！这些人还不知道他们的对手是谁。	1																					
																																	
WORKERS									Mugen's group discovers civilians working in the camp.		Mugen's group discovers civilians working in the camp.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_bambooforest_workers_n00				NINJA	curious	Hayato first	Workers … slaves maybe?	4	有人在干活……或许是奴隶？	1																					
vocs_over_over_	_n01	vocs_over_over_bambooforest_workers_n01				TRAPPER	puzzled	Yuki first	Look! They don't have weapons …	6	看！这些人没有武器……	1																					
vocs_over_over_	_n02	vocs_over_over_bambooforest_workers_n02				WARRIOR	focussed		Civilians, either enslaved or loyal to the enemy. We will deal with them later.	14	是平民，要么是奴隶要么是敌人同党。稍后再处理他们。	1																					
																																	
WORKERS1									Civilians carry wood and build walkways over swampy ground. Nearby guards push them on.		Civilians carry wood and build walkways over swampy ground. Nearby guards push them on.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_bambooforest_workers1_n00				ENEMY	pushy	to civilians	That's it, carry on.	4	这就对了，继续干。	1																					
vo_hint_hint_	_n01	vo_hint_hint_bambooforest_workers1_n01				STATIC	pushy	to civilians	No slacking!	2	别偷懒！	1																					
vo_hint_hint_	_n02	vo_hint_hint_bambooforest_workers1_n02				ENEMY	pushy	to civilians	We're not done yet.	4	活还没干完呢。	1																					
vo_hint_hint_	_n03	vo_hint_hint_bambooforest_workers1_n03				STATIC	pushy	to civilians	Come on, faster.	3	快，快点。	1																					
