5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team has found Kage-sama's hidden camp in the bamboo forest
2) Aiko and Takuma approach from one side. Takuma is in sniper position
3) Mugen, Hayato and Yuki enter the camp through the main entrance
4) Aiko has a bad feeling about the mission. She is right, Kage-sama is a fake.
5) When the team strikes, soldiers appear everywhere and they get captured.
6) Noboru is revealed as the true Kage-sama.
7) Mugen tells him where the Shogun's heir is in order to save Aiko."
									
BRIEFING									Aiko and Takuma are positioned on a slope overlooking the hidden camp in the bamboo forest. Hayato, Yuki and Mugen arrive at the camp entrance.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			カゲサマの隠れ家
vocs_over_over_	_n00	vocs_over_over_bambooforest_briefing_n00				GEISHA	focussed	Cam at A+T Start	巧磨様、何が見えます？
vocs_over_over_	_n01	vocs_over_over_bambooforest_briefing_n01				ALCHEMIST	pleased	in sniper position	火だ、野営の中心地じゃ。
vocs_over_over_	_n02	vocs_over_over_bambooforest_briefing_n02				ALCHEMIST	pleased	Cam to middle camp	そこにカゲサマもいるはず。
vocs_over_over_	_n03	vocs_over_over_bambooforest_briefing_n03				GEISHA	focussed		同感よ。皆も位置に着いたかしら？
vocs_over_over_	_n04	vocs_over_over_bambooforest_briefing_n04				TRAPPER	tense	cam to H+M+T start	どうして愛琥さんと巧磨先生は別の方へ？
vocs_over_over_	_n05	vocs_over_over_bambooforest_briefing_n05				NINJA	planning		両方から攻めて、囲い出して奴を倒すのさ。
vocs_over_over_	_n06	vocs_over_over_bambooforest_briefing_n06				WARRIOR			上様はカゲサマを連れて来いとおっしゃった。生死を問わず、連れて帰るのだ。
