5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Aiko and Hayato are here to kidnap Masaru
2) They'll spy on his men and find out he is in the bathhouse
3) Then they'll kidnap and question him with Takuma to find out Noboru's plans
4) Hayato is driven by revenge after Mugen's death
5) Aiko keeps him in check and slowly shows that she is the new leader."
									
BRIEFING									Hayato and Aiko have entered the district where Masaru's house and business are located.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			松山の町
vocs_over_over_	_n00	vocs_over_over_bathhouse_briefing_n00				GEISHA	focussed		この町の夜は美しいわ。大きな影が見つかるでしょうね。そう思いませんか、隼人さん？
vocs_over_over_	_n01	vocs_over_over_bathhouse_briefing_n01				NINJA	quiet		…行こう。
vocs_over_over_	_n02	vocs_over_over_bathhouse_briefing_n02				GEISHA	focussed		仰せのままに。
vocs_over_over_	_n03	vocs_over_over_bathhouse_briefing_n03				GEISHA	focussed	Cam to market	町の道は避けるべきだわ。昇の部下が間違いなく私たちを探しているわ。
vocs_over_over_	_n04	vocs_over_over_bathhouse_briefing_n04				NINJA	quiet		ふー…。
vocs_over_over_	_n05	vocs_over_over_bathhouse_briefing_n05				GEISHA	focussed	Cam to eavesdrop 1	勝の住むのはこの辺りね。部下の話を聞きましょう。
vocs_over_over_	_n06	vocs_over_over_bathhouse_briefing_n06				GEISHA	focussed	Cam to eavesdrop 2	どこにいるか必ず話すはずだわ。
vocs_over_over_	_n07	vocs_over_over_bathhouse_briefing_n07				GEISHA	tactful	Cam to disguise 1	むしろ、変装して聞きに行きたいところだわ。
vocs_over_over_	_n08	vocs_over_over_bathhouse_briefing_n08				GEISHA	tactful	Cam to disguise 2	着物がほしいわね。
