5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Aiko and Hayato are here to kidnap Masaru
2) They'll spy on his men and find out he is in the bathhouse
3) Then they'll kidnap and question him with Takuma to find out Noboru's plans
4) Hayato is driven by revenge after Mugen's death
5) Aiko keeps him in check and slowly shows that she is the new leader."																								
																																	
BRIEFING									Hayato and Aiko have entered the district where Masaru's house and business are located.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Kanazawa City	2	松山市	1																					
vocs_over_over_	_n00	vocs_over_over_bathhouse_briefing_n00				GEISHA	focussed		This city is beautiful at night. We will find ample shadows here, don't you think, Hayato-san.	16	这里的夜景真美，应该会有大量阴暗区域便于我们行动吧。你觉得呢，隼人兄？	1																					
vocs_over_over_	_n01	vocs_over_over_bathhouse_briefing_n01				NINJA	quiet		… let's get on with it.	6	……走吧。	1																					
vocs_over_over_	_n02	vocs_over_over_bathhouse_briefing_n02				GEISHA	focussed		As you wish.	3	悉听尊便。	1																					
vocs_over_over_	_n03	vocs_over_over_bathhouse_briefing_n03				GEISHA	focussed	Cam to market	We must avoid the streets. No doubt Noboru's men are looking for us.	13	应该避开街道行动。昇的手下肯定在找咱们。	1																					
vocs_over_over_	_n04	vocs_over_over_bathhouse_briefing_n04				NINJA	quiet		Hrm …	2	嗯……	1																					
vocs_over_over_	_n05	vocs_over_over_bathhouse_briefing_n05				GEISHA	focussed	Cam to eavesdrop 1	Masaru's residence is in this district. Let us listen in on his men.	13	真申的宅邸就在这边，去偷听他的手下的谈话吧。	1																					
vocs_over_over_	_n06	vocs_over_over_bathhouse_briefing_n06				GEISHA	focussed	Cam to eavesdrop 2	I am certain they will tell us where to find him.	11	他们肯定会泄露真申的行踪。	1																					
vocs_over_over_	_n07	vocs_over_over_bathhouse_briefing_n07				GEISHA	tactful	Cam to disguise 1	I'd prefer having a disguise when listening in.	8	我更喜欢乔装后去窃听。	1																					
vocs_over_over_	_n08	vocs_over_over_bathhouse_briefing_n08				GEISHA	tactful	Cam to disguise 2	I need a suitable Kimono.	5	所以需要一身和服。	1																					
vocs_over_over_	_n09	vocs_over_over_bathhouse_briefing_n09				NINJA	quiet		Whatever. Let's get on with it.	6	随你便，好了，走吧。	1																					
vocs_over_over_	_n10	vocs_over_over_bathhouse_briefing_n10				GEISHA	tactful		Very well.	2	好。	1																					
																																	
REDLIGHT									The team enters the neighboring redlight district.		The team enters the neighboring redlight district.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_bathhouse_redlight_n00				NINJA	quiet	Hayato first	Red lights …	3	红灯区……	1																					
vocs_over_over_	_n01	vocs_over_over_bathhouse_redlight_n01				GEISHA	introspective	"Hanamachi = 
Geisha district"	The hanamachi. This brings back memories.	6	花町么。真是回忆满满。	1																					
vocs_over_over_	_n02	vocs_over_over_bathhouse_redlight_n02				NINJA	quiet		Hrm …	2	嗯……	1																					
																																	
REDLIGHT									A citizen has cornered a female resident of the hanamachi (red light district).		A citizen has cornered a female resident of the hanamachi (red light district).																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_hanamachi2_n00				CIVILIAN M	lusty		Why not here?	3	就在这里不行吗？	1																					
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_hanamachi2_n01				CIVILIAN F	cold		Please, it is not customary.	5	不行，不合规矩。	1																					
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_hanamachi2_n02				CIVILIAN M	lusty		I have money.	3	我有钱啊。	1																					
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_hanamachi2_n03				CIVILIAN F	cold		Then speak with the mistress of the house.	8	那你和老板娘说去。	1																					
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_hanamachi2_n04				CIVILIAN M	lusty		Am I not good enough?	5	你嫌弃我？	1																					
vo_hint_hint_	_n05	vo_hint_hint_bathhouse_hanamachi2_n05				CIVILIAN F	cold		It is not for me to say.	7	别这样。	1																					
																																	
RESIDENTIAL									The team passes through a residential area.		The team passes through a residential area.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_bathhouse_residential_n00				NINJA	quiet	Hayato first	Guards ...	2	有守卫……	1																					
vocs_over_over_	_n01	vocs_over_over_bathhouse_residential_n01				GEISHA	focussed		Middleclass households. With more guards than usual I'd say.	9	这边都是中等家庭。没想到守卫也这么多。	1																					
vocs_over_over_	_n02	vocs_over_over_bathhouse_residential_n02				NINJA	quiet		Hrm …	2	嗯……	1																					
																																	
RESIDENTIAL									Citizens talk about recent events.		Citizens talk about recent events.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_bathhouse_residential_n00				CIVILIAN M			These are dark times.	4	真是闹得人心惶惶。	1																					
vo_hint_hint_	_n01	vo_hint_hint_bathhouse_residential_n01				CIVILIAN M			So it's true, the Shogun's son has been murdered?	9	真的吗？将军的儿子真的被谋杀了？	1																					
vo_hint_hint_	_n02	vo_hint_hint_bathhouse_residential_n02				CIVILIAN M			It is not safe to go outside.	7	现在外面很不安全。	1																					
vo_hint_hint_	_n03	vo_hint_hint_bathhouse_residential_n03				CIVILIAN M			I heard the Shogun is on his way to Kyoto.	10	听说将军正在去京都的路上。	1																					
vo_hint_hint_	_n04	vo_hint_hint_bathhouse_residential_n04				CIVILIAN M			I see they are looking for the killers.	8	他们应该是在搜查凶手。	1																					
