2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	civilian_01_	carry_object_00	vo_eny_eny_civilian_01_carry_object_00	omuk		Civilian F		(sound) carries heavy object	
vo_eny_eny_	civilian_01_	clear_throat_00	vo_eny_eny_civilian_01_clear_throat_00	omuk		Civilian F		(sound) clears throat	
vo_eny_eny_	civilian_01_	cough_00	vo_eny_eny_civilian_01_cough_00	omuk		Civilian F		(sound) coughs	
vo_eny_eny_	civilian_01_	death_scream_00	vo_eny_eny_civilian_01_death_scream_00	omuk	hambo	Civilian F	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_01_	death_scream_01	vo_eny_eny_civilian_01_death_scream_01	omuk	hambo	Civilian F	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_01_	death_scream_02	vo_eny_eny_civilian_01_death_scream_02	omuk	hambo	Civilian F	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_01_	death_scream_03	vo_eny_eny_civilian_01_death_scream_03	omuk	hambo	Civilian F	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_01_	death_scream_04	vo_eny_eny_civilian_01_death_scream_04	omuk	hambo	Civilian F	shocked	(sound) short deathsound	
vo_eny_eny_	civilian_01_	death_scream_muffled_00	vo_eny_eny_civilian_01_death_scream_muffled_00	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_01_	death_scream_muffled_01	vo_eny_eny_civilian_01_death_scream_muffled_01	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_01_	death_scream_muffled_02	vo_eny_eny_civilian_01_death_scream_muffled_02	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_01_	death_scream_muffled_03	vo_eny_eny_civilian_01_death_scream_muffled_03	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_01_	death_scream_muffled_04	vo_eny_eny_civilian_01_death_scream_muffled_04	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound	
vo_eny_eny_	civilian_01_	detect_corpse_female_02	vo_eny_eny_civilian_01_detect_corpse_female_02	omuk		Civilian F	in denial	sees a corpse	死んでるわ！何てこと…。
vo_eny_eny_	civilian_01_	detect_corpse_female_03	vo_eny_eny_civilian_01_detect_corpse_female_03	omuk		Civilian F	horrified	sees a corpse	殺されている…？！
vo_eny_eny_	civilian_01_	detect_corpse_male_00	vo_eny_eny_civilian_01_detect_corpse_male_00	omuk		Civilian F	horrified	sees a corpse	死んでるわ！何てこと…。
vo_eny_eny_	civilian_01_	detect_corpse_male_01	vo_eny_eny_civilian_01_detect_corpse_male_01	omuk		Civilian F	horrified	sees a corpse	殺されている…？！
vo_eny_eny_	civilian_01_	detect_corpse_neutral_00	vo_eny_eny_civilian_01_detect_corpse_neutral_00	omuk	hambo	Civilian F	horrified	sees a corpse	お立ちください。
vo_eny_eny_	civilian_01_	detect_corpse_neutral_01	vo_eny_eny_civilian_01_detect_corpse_neutral_01	omuk	hambo	Civilian F	horrified	sees a corpse	ひどいわ…。
vo_eny_eny_	civilian_01_	detect_footsteps_00	vo_eny_eny_civilian_01_detect_footsteps_00	omuk	hambo	Civilian F	puzzled	sees player footprints	何かしら。
vo_eny_eny_	civilian_01_	detect_footsteps_01	vo_eny_eny_civilian_01_detect_footsteps_01	omuk	hambo	Civilian F	puzzled	sees player footprints	誰がこんなところに？
vo_eny_eny_	civilian_01_	detect_footsteps_02	vo_eny_eny_civilian_01_detect_footsteps_02	omuk	hambo	Civilian F	puzzled	sees player footprints	これって前からあったかしら？
vo_eny_eny_	civilian_01_	detect_lightsource_00	vo_eny_eny_civilian_01_detect_lightsource_00	omuk	hambo	Civilian F	worried	sees extiguished lamp, but…	誰も灯篭の火を灯さなかったのね。
vo_eny_eny_	civilian_01_	detect_lightsource_01	vo_eny_eny_civilian_01_detect_lightsource_01	omuk	hambo	Civilian F	worried	sees extiguished lamp, but…	灯篭の火が消えてるわ。
vo_eny_eny_	civilian_01_	detect_lightsource_02	vo_eny_eny_civilian_01_detect_lightsource_02	omuk	hambo	Civilian F	worried	sees extiguished lamp, but…	灯篭の火を付けないと。
