2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	enemy_00_	alarm_area_00	vo_eny_eny_enemy_00_alarm_area_00	omuk	hambo	Enemy	high tension	sounds the alarm	警鐘を鳴らせ！
vo_eny_eny_	enemy_00_	alarm_area_01	vo_eny_eny_enemy_00_alarm_area_01	omuk	hambo	Enemy	high tension	sounds the alarm	攻撃されてるぞ！
vo_eny_eny_	enemy_00_	alarm_area_02	vo_eny_eny_enemy_00_alarm_area_02	omuk	hambo	Enemy	high tension	sounds the alarm	準備しろ！
vo_eny_eny_	enemy_00_	alarm_area_03	vo_eny_eny_enemy_00_alarm_area_03	omuk	hambo	Enemy	high tension	sounds the alarm	援軍を呼べ！
vo_eny_eny_	enemy_00_	alarm_area_04	vo_eny_eny_enemy_00_alarm_area_04	omuk	hambo	Enemy	high tension	sounds the alarm	他の者に知らせろ！
vo_eny_eny_	enemy_00_	alarm_local_00	vo_eny_eny_enemy_00_alarm_local_00	omuk	hambo	Enemy	urgent, tense	calls for backup	こっちだ！
vo_eny_eny_	enemy_00_	alarm_local_01	vo_eny_eny_enemy_00_alarm_local_01	omuk	hambo	Enemy	urgent, tense	calls for backup	こっちへ来い！
vo_eny_eny_	enemy_00_	alarm_local_02	vo_eny_eny_enemy_00_alarm_local_02	omuk	hambo	Enemy	urgent, tense	calls for backup	応援が必要だ！
vo_eny_eny_	enemy_00_	alarm_local_03	vo_eny_eny_enemy_00_alarm_local_03	omuk	hambo	Enemy	urgent, tense	calls for backup	助けてくれ！
vo_eny_eny_	enemy_00_	alarm_local_04	vo_eny_eny_enemy_00_alarm_local_04	omuk	hambo	Enemy	urgent, tense	calls for backup	集まれ！
vo_eny_eny_	enemy_00_	alarm_local_05	vo_eny_eny_enemy_00_alarm_local_05	omuk	hambo	Enemy	urgent, tense	calls for backup	集合だ！
vo_eny_eny_	enemy_00_	alarm_local_06	vo_eny_eny_enemy_00_alarm_local_06	omuk	hambo	Enemy	urgent, tense	curses	何だと？！
vo_eny_eny_	enemy_00_	alarm_stop_00	vo_eny_eny_enemy_00_alarm_stop_00	omuk	hambo	Enemy	commanding	end of alarm	逃げられたか…。警鐘を止めろ！
vo_eny_eny_	enemy_00_	alarm_stop_01	vo_eny_eny_enemy_00_alarm_stop_01	omuk	hambo	Enemy	commanding	end of alarm	おしまいだ。持ち場に戻れ。
vo_eny_eny_	enemy_00_	alarm_stop_02	vo_eny_eny_enemy_00_alarm_stop_02	omuk	hambo	Enemy	commanding	end of alarm	逃げたようだな…。鐘を止めろ！
vo_eny_eny_	enemy_00_	alarm_stop_03	vo_eny_eny_enemy_00_alarm_stop_03	omuk	hambo	Enemy	commanding	end of alarm	危険は去った。休んでいいぞ。
vo_eny_eny_	enemy_00_	alarm_stop_04	vo_eny_eny_enemy_00_alarm_stop_04	omuk	hambo	Enemy	commanding	end of alarm	奴らは去っていった。
vo_eny_eny_	enemy_00_	alarm_stop_05	vo_eny_eny_enemy_00_alarm_stop_05	omuk	hambo	Enemy	commanding	end of alarm	もう大丈夫だ。
vo_eny_eny_	enemy_00_	carry_object_00	vo_eny_eny_enemy_00_carry_object_00	omuk		Enemy		(sound) carries heavy object	
vo_eny_eny_	enemy_00_	clear_throat_00	vo_eny_eny_enemy_00_clear_throat_00	omuk		Enemy		(sound) clears throat	
vo_eny_eny_	enemy_00_	cough_00	vo_eny_eny_enemy_00_cough_00	omuk		Enemy		(sound) coughs	
vo_eny_eny_	enemy_00_	danger_toohigh_00	vo_eny_eny_enemy_00_danger_toohigh_00	omuk	hambo	Enemy	angry	has seen a player far above him	奴らはあそこだ！
vo_eny_eny_	enemy_00_	danger_toohigh_01	vo_eny_eny_enemy_00_danger_toohigh_01	omuk	hambo	Enemy	angry	has seen a player far above him	上だ！
vo_eny_eny_	enemy_00_	danger_toohigh_02	vo_eny_eny_enemy_00_danger_toohigh_02	omuk	hambo	Enemy	angry	has seen a player far above him	上から攻撃してるぞ！
vo_eny_eny_	enemy_00_	danger_unreachable_00	vo_eny_eny_enemy_00_danger_unreachable_00	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	卑怯者め！正々堂々と戦え！
vo_eny_eny_	enemy_00_	danger_unreachable_01	vo_eny_eny_enemy_00_danger_unreachable_01	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	どうやって登ったんだ？
vo_eny_eny_	enemy_00_	danger_unreachable_02	vo_eny_eny_enemy_00_danger_unreachable_02	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	あそこまで届かねぇ。
vo_eny_eny_	enemy_00_	death_scream_00	vo_eny_eny_enemy_00_death_scream_00	omuk	hambo	Enemy	shocked	(sound) short deathsound	
vo_eny_eny_	enemy_00_	death_scream_01	vo_eny_eny_enemy_00_death_scream_01	omuk	hambo	Enemy	shocked	(sound) short deathsound	
vo_eny_eny_	enemy_00_	death_scream_02	vo_eny_eny_enemy_00_death_scream_02	omuk	hambo	Enemy	shocked	(sound) short deathsound	
vo_eny_eny_	enemy_00_	death_scream_03	vo_eny_eny_enemy_00_death_scream_03	omuk	hambo	Enemy	shocked	(sound) short deathsound	
