2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	general_	death_scream_00	vo_eny_eny_general_death_scream_00	omuk	hambo	General	shocked	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_01	vo_eny_eny_general_death_scream_01	omuk	hambo	General	shocked	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_02	vo_eny_eny_general_death_scream_02	omuk	hambo	General	shocked	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_03	vo_eny_eny_general_death_scream_03	omuk	hambo	General	shocked	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_muffled_00	vo_eny_eny_general_death_scream_muffled_00	omuk	hambo	General	struggling	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_muffled_01	vo_eny_eny_general_death_scream_muffled_01	omuk	hambo	General	struggling	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_muffled_02	vo_eny_eny_general_death_scream_muffled_02	omuk	hambo	General	struggling	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_muffled_03	vo_eny_eny_general_death_scream_muffled_03	omuk	hambo	General	struggling	(sound) being wounded		0		0
vo_eny_eny_	general_	death_scream_muffled_04	vo_eny_eny_general_death_scream_muffled_04	omuk	hambo	General	struggling	(sound) being wounded		0		0
vo_eny_eny_	general_	detect_corpse_female_00	vo_eny_eny_general_detect_corpse_female_00	omuk		General	furious	sees a corpse	She's dead!	2	她死了！	1
vo_eny_eny_	general_	detect_corpse_female_01	vo_eny_eny_general_detect_corpse_female_01	omuk		General	furious	sees a corpse	They killed her!	3	他们杀了她！	1
vo_eny_eny_	general_	detect_corpse_male_00	vo_eny_eny_general_detect_corpse_male_00	omuk		General	furious	sees a corpse	He's dead!	2	他死了！	1
vo_eny_eny_	general_	detect_corpse_male_01	vo_eny_eny_general_detect_corpse_male_01	omuk		General	furious	sees a corpse	They killed him!	3	他们杀了他！	1
vo_eny_eny_	general_	detect_corpse_neutral_00	vo_eny_eny_general_detect_corpse_neutral_00	omuk	hambo	General	furious	sees a corpse	Murder!	1	杀人了！	1
vo_eny_eny_	general_	detect_corpse_neutral_01	vo_eny_eny_general_detect_corpse_neutral_01	omuk	hambo	General	furious	sees a corpse	Assassins!	1	有刺客！	1
vo_eny_eny_	general_	detect_lightsource_00	vo_eny_eny_general_detect_lightsource_00	omuk	hambo	General	slightly irritated	sees extiguished lamp	The light went out …	5	灯怎么灭了……	1
vo_eny_eny_	general_	detect_lightsource_01	vo_eny_eny_general_detect_lightsource_01	omuk	hambo	General	slightly irritated	sees extiguished lamp	Did the wind kill the flame.	6	是风把火吹灭了吧？	1
vo_eny_eny_	general_	detect_lightsource_02	vo_eny_eny_general_detect_lightsource_02	omuk	hambo	General	slightly irritated	sees extiguished lamp	That light should be burning.	5	灯必须点亮	1
vo_eny_eny_	general_	detect_lightsource_03	vo_eny_eny_general_detect_lightsource_03	omuk	hambo	General	slightly irritated	sees extiguished lamp	Was someone careless with the lamp.	6	是谁没看好灯？	1
vo_eny_eny_	general_	detect_lightsource_04	vo_eny_eny_general_detect_lightsource_04	omuk	hambo	General	slightly irritated	sees extiguished lamp	The fire died …	4	火灭了……	1
vo_eny_eny_	general_	detect_player_00	vo_eny_eny_general_detect_player_00	omuk	hambo	General	agressive	sees a player character	I see you!	3	你是谁！	1
vo_eny_eny_	general_	detect_player_01	vo_eny_eny_general_detect_player_01	omuk	hambo	General	agressive	sees a player character	There you are!	3	看到你了！	1
vo_eny_eny_	general_	detect_player_02	vo_eny_eny_general_detect_player_02	omuk	hambo	General	agressive	sees a player character	Die, scum!	2	去死吧，渣滓！	1
vo_eny_eny_	general_	detect_player_03	vo_eny_eny_general_detect_player_03	omuk	hambo	General	agressive	sees a player character	Now I have you!	4	我逮到你了	1
vo_eny_eny_	general_	detect_player_04	vo_eny_eny_general_detect_player_04	omuk	hambo	General	agressive	sees a player character	Your life is mine!	4	纳命来	1
vo_eny_eny_	general_	detect_player_05	vo_eny_eny_general_detect_player_05	omuk	hambo	General	agressive	sees a player character	I will take your head!	5	待我取你首级！	1
vo_eny_eny_	general_	detect_player_kill_00	vo_eny_eny_general_detect_player_kill_00	omuk		General	aha!	senses a player behind him and decapitates him	Ha! You fool.	3	哈！蠢货	1
vo_eny_eny_	general_	detect_player_kill_01	vo_eny_eny_general_detect_player_kill_01	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Coward.	2	哈！懦夫	1
vo_eny_eny_	general_	detect_player_kill_02	vo_eny_eny_general_detect_player_kill_02	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Weakling.	2	哈！废物	1
vo_eny_eny_	general_	detect_player_kill_03	vo_eny_eny_general_detect_player_kill_03	omuk		General	aha!	senses a player behind him and decapitates him	Ha! You are no samurai.	5	哈！你可不是武士	1
vo_eny_eny_	general_	detect_player_kill_04	vo_eny_eny_general_detect_player_kill_04	omuk		General	aha!	senses a player behind him and decapitates him	Ha! You are no match for me.	7	哈！你不是我的对手	1
vo_eny_eny_	general_	detect_player_proximity_00	vo_eny_eny_general_detect_player_proximity_00	omuk	hambo	General	suspicious	senses a nearby player character	Something is wrong …	4	不对劲…	1
vo_eny_eny_	general_	detect_player_proximity_01	vo_eny_eny_general_detect_player_proximity_01	omuk	hambo	General	suspicious	senses a nearby player character	Strange … it feels like …	6	奇怪…感觉好像…	1
vo_eny_eny_	general_	detect_player_proximity_02	vo_eny_eny_general_detect_player_proximity_02	omuk	hambo	General	suspicious	senses a nearby player character	Wait … is someone …	5	等等…好像有人…	1
