2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	samurai_00_	alarm_area_00	vo_eny_eny_samurai_00_alarm_area_00	omuk	hambo	Samurai	high tension	sounds the alarm	警鐘だ！警鐘を鳴らせ！
vo_eny_eny_	samurai_00_	alarm_area_01	vo_eny_eny_samurai_00_alarm_area_01	omuk	hambo	Samurai	high tension	sounds the alarm	攻撃を受けてるぞ！
vo_eny_eny_	samurai_00_	alarm_area_02	vo_eny_eny_samurai_00_alarm_area_02	omuk	hambo	Samurai	high tension	sounds the alarm	戦闘準備だ！
vo_eny_eny_	samurai_00_	alarm_area_03	vo_eny_eny_samurai_00_alarm_area_03	omuk	hambo	Samurai	high tension	sounds the alarm	援軍を呼べ！
vo_eny_eny_	samurai_00_	alarm_area_04	vo_eny_eny_samurai_00_alarm_area_04	omuk	hambo	Samurai	high tension	sounds the alarm	他の者に知らせろ！
vo_eny_eny_	samurai_00_	alarm_local_00	vo_eny_eny_samurai_00_alarm_local_00	omuk	hambo	Samurai	urgent, tense	calls for backup	こっちだ！
vo_eny_eny_	samurai_00_	alarm_local_01	vo_eny_eny_samurai_00_alarm_local_01	omuk	hambo	Samurai	urgent, tense	calls for backup	拙者の下へ！
vo_eny_eny_	samurai_00_	alarm_local_02	vo_eny_eny_samurai_00_alarm_local_02	omuk	hambo	Samurai	urgent, tense	calls for backup	応援を呼べ！
vo_eny_eny_	samurai_00_	alarm_local_03	vo_eny_eny_samurai_00_alarm_local_03	omuk	hambo	Samurai	urgent, tense	calls for backup	手助けを！
vo_eny_eny_	samurai_00_	alarm_local_04	vo_eny_eny_samurai_00_alarm_local_04	omuk	hambo	Samurai	urgent, tense	calls for backup	集まれ！
vo_eny_eny_	samurai_00_	alarm_local_05	vo_eny_eny_samurai_00_alarm_local_05	omuk	hambo	Samurai	urgent, tense	calls for backup	集合だ！
vo_eny_eny_	samurai_00_	alarm_local_06	vo_eny_eny_samurai_00_alarm_local_06	omuk	hambo	Samurai	urgent, tense	calls for backup	クソッ！
vo_eny_eny_	samurai_00_	alarm_stop_00	vo_eny_eny_samurai_00_alarm_stop_00	omuk	hambo	Samurai	commanding	end of alarm	奴らはもうおらん。捜索中止だ！
vo_eny_eny_	samurai_00_	alarm_stop_01	vo_eny_eny_samurai_00_alarm_stop_01	omuk	hambo	Samurai	commanding	end of alarm	もうよい！持ち場に戻れ！
vo_eny_eny_	samurai_00_	alarm_stop_02	vo_eny_eny_samurai_00_alarm_stop_02	omuk	hambo	Samurai	commanding	end of alarm	逃げたに違いない！鐘を止めろ！
vo_eny_eny_	samurai_00_	alarm_stop_03	vo_eny_eny_samurai_00_alarm_stop_03	omuk	hambo	Samurai	commanding	end of alarm	危険は去った。休め！
vo_eny_eny_	samurai_00_	alarm_stop_04	vo_eny_eny_samurai_00_alarm_stop_04	omuk	hambo	Samurai	commanding	end of alarm	奴らは蹴散らした！
vo_eny_eny_	samurai_00_	alarm_stop_05	vo_eny_eny_samurai_00_alarm_stop_05	omuk	hambo	Samurai	commanding	end of alarm	警鐘解除！
vo_eny_eny_	samurai_00_	carry_object_00	vo_eny_eny_samurai_00_carry_object_00	omuk		Samurai		(sound) carries heavy object	
vo_eny_eny_	samurai_00_	clear_throat_00	vo_eny_eny_samurai_00_clear_throat_00	omuk		Samurai		(sound) clears throat	
vo_eny_eny_	samurai_00_	cough_00	vo_eny_eny_samurai_00_cough_00	omuk		Samurai		(sound) coughs	
vo_eny_eny_	samurai_00_	danger_toohigh_00	vo_eny_eny_samurai_00_danger_toohigh_00	omuk	hambo	Samurai	angry	has seen a player far above him	上を狙え！上にいるぞ！
vo_eny_eny_	samurai_00_	danger_toohigh_01	vo_eny_eny_samurai_00_danger_toohigh_01	omuk	hambo	Samurai	angry	has seen a player far above him	上だ！
vo_eny_eny_	samurai_00_	danger_toohigh_02	vo_eny_eny_samurai_00_danger_toohigh_02	omuk	hambo	Samurai	angry	has seen a player far above him	上から攻撃してるぞ！
vo_eny_eny_	samurai_00_	danger_unreachable_00	vo_eny_eny_samurai_00_danger_unreachable_00	omuk	hambo	Samurai	angry	has seen a player, but can't get to that spot	腑抜けめ！正々堂々と戦わんか！
vo_eny_eny_	samurai_00_	danger_unreachable_01	vo_eny_eny_samurai_00_danger_unreachable_01	omuk	hambo	Samurai	angry	has seen a player, but can't get to that spot	どうやって登ったんだ？
vo_eny_eny_	samurai_00_	danger_unreachable_02	vo_eny_eny_samurai_00_danger_unreachable_02	omuk	hambo	Samurai	angry	has seen a player, but can't get to that spot	届かないな。
vo_eny_eny_	samurai_00_	death_scream_00	vo_eny_eny_samurai_00_death_scream_00	omuk	hambo	Samurai	shocked	(sound) short deathsound	
vo_eny_eny_	samurai_00_	death_scream_01	vo_eny_eny_samurai_00_death_scream_01	omuk	hambo	Samurai	shocked	(sound) short deathsound	
vo_eny_eny_	samurai_00_	death_scream_02	vo_eny_eny_samurai_00_death_scream_02	omuk	hambo	Samurai	shocked	(sound) short deathsound	
vo_eny_eny_	samurai_00_	death_scream_03	vo_eny_eny_samurai_00_death_scream_03	omuk	hambo	Samurai	shocked	(sound) short deathsound	
vo_eny_eny_	samurai_00_	death_scream_muffled_00	vo_eny_eny_samurai_00_death_scream_muffled_00	omuk	hambo	Samurai	struggling	(sound) muffled deathsound	
vo_eny_eny_	samurai_00_	death_scream_muffled_01	vo_eny_eny_samurai_00_death_scream_muffled_01	omuk	hambo	Samurai	struggling	(sound) muffled deathsound	
vo_eny_eny_	samurai_00_	death_scream_muffled_02	vo_eny_eny_samurai_00_death_scream_muffled_02	omuk	hambo	Samurai	struggling	(sound) muffled deathsound	
vo_eny_eny_	samurai_00_	death_scream_muffled_03	vo_eny_eny_samurai_00_death_scream_muffled_03	omuk	hambo	Samurai	struggling	(sound) muffled deathsound	
vo_eny_eny_	samurai_00_	death_scream_muffled_04	vo_eny_eny_samurai_00_death_scream_muffled_04	omuk	hambo	Samurai	struggling	(sound) muffled deathsound	
vo_eny_eny_	samurai_00_	detect_corpse_female_00	vo_eny_eny_samurai_00_detect_corpse_female_00	omuk		Samurai	furious	sees a corpse	事切れておる…！
vo_eny_eny_	samurai_00_	detect_corpse_female_01	vo_eny_eny_samurai_00_detect_corpse_female_01	omuk		Samurai	furious	sees a corpse	殺されたのだな。
vo_eny_eny_	samurai_00_	detect_corpse_male_00	vo_eny_eny_samurai_00_detect_corpse_male_00	omuk		Samurai	furious	sees a corpse	事切れておる…！
vo_eny_eny_	samurai_00_	detect_corpse_male_01	vo_eny_eny_samurai_00_detect_corpse_male_01	omuk		Samurai	furious	sees a corpse	殺されたのだな。
vo_eny_eny_	samurai_00_	detect_corpse_neutral_00	vo_eny_eny_samurai_00_detect_corpse_neutral_00	omuk	hambo	Samurai	furious	sees a corpse	人殺しめ！
vo_eny_eny_	samurai_00_	detect_corpse_neutral_01	vo_eny_eny_samurai_00_detect_corpse_neutral_01	omuk	hambo	Samurai	furious	sees a corpse	暗殺者だ！
vo_eny_eny_	samurai_00_	detect_footsteps_00	vo_eny_eny_samurai_00_detect_footsteps_00	omuk	hambo	Samurai	suspicious	sees player footprints	お？足跡だな…。
vo_eny_eny_	samurai_00_	detect_footsteps_01	vo_eny_eny_samurai_00_detect_footsteps_01	omuk	hambo	Samurai	suspicious	sees player footprints	誰の足跡だ？
vo_eny_eny_	samurai_00_	detect_footsteps_02	vo_eny_eny_samurai_00_detect_footsteps_02	omuk	hambo	Samurai	suspicious	sees player footprints	誰の足跡だ？！
vo_eny_eny_	samurai_00_	detect_footsteps_03	vo_eny_eny_samurai_00_detect_footsteps_03	omuk	hambo	Samurai	suspicious	sees player footprints	なぜこのような場所に足跡が…。
vo_eny_eny_	samurai_00_	detect_footsteps_04	vo_eny_eny_samurai_00_detect_footsteps_04	omuk	hambo	Samurai	suspicious	sees player footprints	コソ泥でもいるのか…。
vo_eny_eny_	samurai_00_	detect_lightsource_00	vo_eny_eny_samurai_00_detect_lightsource_00	omuk	hambo	Samurai	slightly irritated	sees extiguished lamp	明かりが消えたぞ…。
vo_eny_eny_	samurai_00_	detect_lightsource_01	vo_eny_eny_samurai_00_detect_lightsource_01	omuk	hambo	Samurai	slightly irritated	sees extiguished lamp	風で明かりが消えたのか？
vo_eny_eny_	samurai_00_	detect_lightsource_02	vo_eny_eny_samurai_00_detect_lightsource_02	omuk	hambo	Samurai	slightly irritated	sees extiguished lamp	明かりが灯っているはずだが？
vo_eny_eny_	samurai_00_	detect_lightsource_03	vo_eny_eny_samurai_00_detect_lightsource_03	omuk	hambo	Samurai	slightly irritated	sees extiguished lamp	どこかの阿呆が消したに違いない。
vo_eny_eny_	samurai_00_	detect_lightsource_04	vo_eny_eny_samurai_00_detect_lightsource_04	omuk	hambo	Samurai	slightly irritated	sees extiguished lamp	火が消えてるぞ。
vo_eny_eny_	samurai_00_	detect_player_00	vo_eny_eny_samurai_00_detect_player_00	omuk	hambo	Samurai	agressive	sees a player character	止まれ！
vo_eny_eny_	samurai_00_	detect_player_01	vo_eny_eny_samurai_00_detect_player_01	omuk	hambo	Samurai	agressive	sees a player character	そこで止まれ！
vo_eny_eny_	samurai_00_	detect_player_02	vo_eny_eny_samurai_00_detect_player_02	omuk	hambo	Samurai	agressive	sees a player character	動くな！
vo_eny_eny_	samurai_00_	detect_player_03	vo_eny_eny_samurai_00_detect_player_03	omuk	hambo	Samurai	agressive	sees a player character	貴様！
vo_eny_eny_	samurai_00_	detect_player_04	vo_eny_eny_samurai_00_detect_player_04	omuk	hambo	Samurai	agressive	sees a player character	そこの貴様！
vo_eny_eny_	samurai_00_	detect_player_05	vo_eny_eny_samurai_00_detect_player_05	omuk	hambo	Samurai	agressive	sees a player character	そこで止まれ！
vo_eny_eny_	samurai_00_	detect_player_06	vo_eny_eny_samurai_00_detect_player_06	omuk	hambo	Samurai	agressive	sees a player character	侵入者だ！
vo_eny_eny_	samurai_00_	detect_player_07	vo_eny_eny_samurai_00_detect_player_07	omuk	hambo	Samurai	agressive	sees a player character	この虫けらが！
vo_eny_eny_	samurai_00_	detect_player_08	vo_eny_eny_samurai_00_detect_player_08	omuk	hambo	Samurai	agressive	sees a player character	見つけたぞ！
vo_eny_eny_	samurai_00_	detect_player_09	vo_eny_eny_samurai_00_detect_player_09	omuk	hambo	Samurai	agressive	sees a player character	おい！
vo_eny_eny_	samurai_00_	detect_player_10	vo_eny_eny_samurai_00_detect_player_10	omuk	hambo	Samurai	agressive	sees a player character	ここが貴様の墓場だ！
vo_eny_eny_	samurai_00_	detect_player_11	vo_eny_eny_samurai_00_detect_player_11	omuk	hambo	Samurai	agressive	sees a player character	お命頂戴する！
vo_eny_eny_	samurai_00_	detect_player_12	vo_eny_eny_samurai_00_detect_player_12	omuk	hambo	Samurai	agressive	sees a player character	幕府の奴らがいるぞ！
vo_eny_eny_	samurai_00_	detect_player_13	vo_eny_eny_samurai_00_detect_player_13	omuk	hambo	Samurai	agressive	sees a player character	奴らだ！
vo_eny_eny_	samurai_00_	detect_player_14	vo_eny_eny_samurai_00_detect_player_14	omuk	hambo	Samurai	agressive	sees a player character	ここは立ち入り禁止だ！
vo_eny_eny_	samurai_00_	detect_player_15	vo_eny_eny_samurai_00_detect_player_15	omuk	hambo	Samurai	agressive	sees a player character	拙者の手で成敗してくれる！
vo_eny_eny_	samurai_00_	detect_player_16	vo_eny_eny_samurai_00_detect_player_16	omuk	hambo	Samurai	agressive	sees a player character	逃げようとしても無駄だ！
vo_eny_eny_	samurai_00_	detect_player_17	vo_eny_eny_samurai_00_detect_player_17	omuk	hambo	Samurai	agressive	sees a player character	できるものなら逃げてみろ！
vo_eny_eny_	samurai_00_	detect_player_geisha_00	vo_eny_eny_samurai_00_detect_player_geisha_00	omuk		Samurai	aha!	senses a nearby player character	変装した暗殺者だ！
vo_eny_eny_	samurai_00_	detect_player_geisha_01	vo_eny_eny_samurai_00_detect_player_geisha_01	omuk		Samurai	aha!	senses a nearby player character	あの女は暗殺者だ！
vo_eny_eny_	samurai_00_	detect_player_geisha_02	vo_eny_eny_samurai_00_detect_player_geisha_02	omuk		Samurai	aha!	senses a nearby player character	拙者を騙せるとでも思っているのか！
vo_eny_eny_	samurai_00_	detect_player_geisha_03	vo_eny_eny_samurai_00_detect_player_geisha_03	omuk		Samurai	aha!	senses a nearby player character	変装など見破れるわ！
vo_eny_eny_	samurai_00_	detect_player_kill_00	vo_eny_eny_samurai_00_detect_player_kill_00	omuk		Samurai	aha!	senses a player behind him and decapitates him	は！愚か者が。
vo_eny_eny_	samurai_00_	detect_player_kill_01	vo_eny_eny_samurai_00_detect_player_kill_01	omuk		Samurai	aha!	senses a player behind him and decapitates him	は！腰抜けが
vo_eny_eny_	samurai_00_	detect_player_kill_02	vo_eny_eny_samurai_00_detect_player_kill_02	omuk		Samurai	aha!	senses a player behind him and decapitates him	は！腑抜けが。
vo_eny_eny_	samurai_00_	detect_player_kill_03	vo_eny_eny_samurai_00_detect_player_kill_03	omuk		Samurai	aha!	senses a player behind him and decapitates him	は！貴様は侍ではない。
vo_eny_eny_	samurai_00_	detect_player_kill_04	vo_eny_eny_samurai_00_detect_player_kill_04	omuk		Samurai	aha!	senses a player behind him and decapitates him	は！拙者の足元にも及ばん。
vo_eny_eny_	samurai_00_	detect_player_proximity_00	vo_eny_eny_samurai_00_detect_player_proximity_00	omuk	hambo	Samurai	suspicious	senses a nearby player character	何か妙だ。
vo_eny_eny_	samurai_00_	detect_player_proximity_01	vo_eny_eny_samurai_00_detect_player_proximity_01	omuk	hambo	Samurai	suspicious	senses a nearby player character	おかしいな。まるで…。
vo_eny_eny_	samurai_00_	detect_player_proximity_02	vo_eny_eny_samurai_00_detect_player_proximity_02	omuk	hambo	Samurai	suspicious	senses a nearby player character	待てよ、誰かいるのか？
vo_eny_eny_	samurai_00_	detect_player_proximity_03	vo_eny_eny_samurai_00_detect_player_proximity_03	omuk	hambo	Samurai	suspicious	senses a nearby player character	そこに何者かおるのか？
vo_eny_eny_	samurai_00_	detect_sake_00	vo_eny_eny_samurai_00_detect_sake_00	omuk	hambo	Samurai	dismissive	spots the sake bottle	酒か…？…自分のがあるぞ。
vo_eny_eny_	samurai_00_	detect_sake_01	vo_eny_eny_samurai_00_detect_sake_01	omuk	hambo	Samurai	dismissive	spots the sake bottle	酒か…？なんて安い酒だ。
