PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN
vo_ply_ply_	tra_	char_select_	normal_00	vo_ply_ply_tra_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	stealthy		ここ！
vo_ply_ply_	tra_	char_select_	normal_01	vo_ply_ply_tra_char_select_normal_01				omuk	philipp	sel character	Trapper	stealthy		待つのって退屈！
vo_ply_ply_	tra_	char_select_	normal_02	vo_ply_ply_tra_char_select_normal_02				omuk	philipp	sel character	Trapper	stealthy		わぁ、面白そう！
vo_ply_ply_	tra_	char_select_	normal_03	vo_ply_ply_tra_char_select_normal_03				omuk	philipp	sel character	Trapper	stealthy		行かないの？
vo_ply_ply_	tra_	char_select_	normal_04	vo_ply_ply_tra_char_select_normal_04				omuk	philipp	sel character	Trapper	stealthy		イェイ！やったぁ！
vo_ply_ply_	tra_	char_select_	normal_05	vo_ply_ply_tra_char_select_normal_05				omuk	philipp	sel character	Trapper	stealthy		う～ん。
vo_ply_ply_	tra_	char_select_	normal_06	vo_ply_ply_tra_char_select_normal_06				omuk	philipp	sel character	Trapper	stealthy		なぞなぞかな？
vo_ply_ply_	tra_	char_select_	normal_07	vo_ply_ply_tra_char_select_normal_07				omuk	philipp	sel character	Trapper	stealthy		仕掛けがいっぱい！
vo_ply_ply_	tra_	char_select_	normal_08	vo_ply_ply_tra_char_select_normal_08				omuk	philipp	sel character	Trapper	stealthy		そうだね！
vo_ply_ply_	tra_	char_select_	normal_09	vo_ply_ply_tra_char_select_normal_09				omuk	philipp	sel character	Trapper	stealthy		猫と鳥。
vo_ply_ply_	tra_	char_select_	normal_10	vo_ply_ply_tra_char_select_normal_10				omuk	philipp	sel character	Trapper	stealthy		準備いいわよ！
vo_ply_ply_	tra_	char_select_	tense_00	vo_ply_ply_tra_char_select_tense_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	tense		準備完了！
vo_ply_ply_	tra_	char_select_	tense_01	vo_ply_ply_tra_char_select_tense_01				omuk	philipp	sel character	Trapper	tense		ここにいるわ！
vo_ply_ply_	tra_	char_select_	tense_02	vo_ply_ply_tra_char_select_tense_02				omuk	philipp	sel character	Trapper	tense		は～い！ここよ！
vo_ply_ply_	tra_	char_select_	tense_03	vo_ply_ply_tra_char_select_tense_03				omuk	philipp	sel character	Trapper	tense	talks to herself	ここは危険ね。
vo_ply_ply_	tra_	char_select_	tense_04	vo_ply_ply_tra_char_select_tense_04				omuk	philipp	sel character	Trapper	tense		怠けちゃダメよ。
vo_ply_ply_	tra_	char_select_	tense_05	vo_ply_ply_tra_char_select_tense_05				omuk	philipp	sel character	Trapper	tense		そろそろ行かない？
vo_ply_ply_	tra_	char_select_	tense_06	vo_ply_ply_tra_char_select_tense_06				omuk	philipp	sel character	Trapper	tense		まずいわね。
vo_ply_ply_	tra_	char_select_	tense_07	vo_ply_ply_tra_char_select_tense_07				omuk	philipp	sel character	Trapper	tense		すぐだから！
vo_ply_ply_	tra_	char_select_	tense_08	vo_ply_ply_tra_char_select_tense_08				omuk	philipp	sel character	Trapper	tense		行きましょ！
vo_ply_ply_	tra_	char_select_	tense_09	vo_ply_ply_tra_char_select_tense_09				omuk	philipp	sel character	Trapper	tense		気を付けてね。
vo_ply_ply_	tra_	char_select_	tense_10	vo_ply_ply_tra_char_select_tense_10				omuk	philipp	sel character	Trapper	tense		注意して！
vo_ply_ply_	tra_	char_select_	dark_00	vo_ply_ply_tra_char_select_dark_00	Iconic	No	Yes	omuk	philipp	sel character	Trapper	anxious		待つべきじゃないと思うんだけど。
vo_ply_ply_	tra_	char_select_	dark_01	vo_ply_ply_tra_char_select_dark_01				omuk	philipp	sel character	Trapper	anxious		悪い予感がするわ。
vo_ply_ply_	tra_	char_select_	dark_02	vo_ply_ply_tra_char_select_dark_02				omuk	philipp	sel character	Trapper	anxious		早くしてよ…もう…。
vo_ply_ply_	tra_	char_select_	dark_03	vo_ply_ply_tra_char_select_dark_03				omuk	philipp	sel character	Trapper	anxious		分かんないわ…。
vo_ply_ply_	tra_	char_select_	dark_04	vo_ply_ply_tra_char_select_dark_04				omuk	philipp	sel character	Trapper	anxious		なんで…。
vo_ply_ply_	tra_	char_select_	dark_05	vo_ply_ply_tra_char_select_dark_05				omuk	philipp	sel character	Trapper	anxious		お願い…。 
vo_ply_ply_	tra_	char_select_	dark_06	vo_ply_ply_tra_char_select_dark_06				omuk	philipp	sel character	Trapper	anxious	"to herself
like a mantra"	素早く…勇敢に…。
vo_ply_ply_	tra_	char_select_	dark_07	vo_ply_ply_tra_char_select_dark_07				omuk	philipp	sel character	Trapper	anxious		嫌だわ…。
vo_ply_ply_	tra_	char_select_	dark_08	vo_ply_ply_tra_char_select_dark_08				omuk	philipp	sel character	Trapper	anxious		嫌な雰囲気ね…。
vo_ply_ply_	tra_	char_select_	dark_09	vo_ply_ply_tra_char_select_dark_09				omuk	philipp	sel character	Trapper	anxious		みんな、嫌い。
