PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN	CEN	DE	CDE	EN - Proofread	Changed?	Simplified Chinese	
vo_ply_ply_	war_	char_select_	normal_00	vo_ply_ply_war_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	stealthy		My life for the Shogun.	5		0	My life for the Shogun.		为将军效命	
vo_ply_ply_	war_	char_select_	normal_01	vo_ply_ply_war_char_select_normal_01				omuk	philipp	sel character	Warrior	stealthy		I will be patient.	4		0	I will be patient.		必须学会忍耐	
vo_ply_ply_	war_	char_select_	normal_02	vo_ply_ply_war_char_select_normal_02				omuk	philipp	sel character	Warrior	stealthy		I am prepared.	3		0	I am prepared.		准备就绪	
vo_ply_ply_	war_	char_select_	normal_03	vo_ply_ply_war_char_select_normal_03				omuk	philipp	sel character	Warrior	stealthy		The time has come.	4		0	The time has come.		时机已到	
vo_ply_ply_	war_	char_select_	normal_04	vo_ply_ply_war_char_select_normal_04				omuk	philipp	sel character	Warrior	stealthy		Yes, this is good.	4		0	Yes, this is good.		啊，很好	
vo_ply_ply_	war_	char_select_	normal_05	vo_ply_ply_war_char_select_normal_05				omuk	philipp	sel character	Warrior	stealthy		Together we are strong.	4		0	Together we are strong.		团结力量大	
vo_ply_ply_	war_	char_select_	normal_06	vo_ply_ply_war_char_select_normal_06				omuk	philipp	sel character	Warrior	stealthy		I must be vigilant.	4		0	I must be vigilant.		必须保持警惕	
vo_ply_ply_	war_	char_select_	normal_07	vo_ply_ply_war_char_select_normal_07				omuk	philipp	sel character	Warrior	stealthy		A fine day to face death.	6		0	A fine day to face death.		今天死而无憾	
vo_ply_ply_	war_	char_select_	normal_08	vo_ply_ply_war_char_select_normal_08				omuk	philipp	sel character	Warrior	stealthy		Glory awaits.	2		0	Glory awaits.		荣耀在等待我	
vo_ply_ply_	war_	char_select_	normal_09	vo_ply_ply_war_char_select_normal_09				omuk	philipp	sel character	Warrior	stealthy		My task is clear.	4		0	My task is clear.		任务已经明确	
vo_ply_ply_	war_	char_select_	normal_10	vo_ply_ply_war_char_select_normal_10				omuk	philipp	sel character	Warrior	stealthy		Patience is the greatest weapon.	5		0	Patience is the greatest weapon.		忍耐才是最强的武器	
vo_ply_ply_	war_	char_select_	tense_00	vo_ply_ply_war_char_select_tense_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	tense		Time is of the essence!	5		0	Time is of the essence!		时间是关键！	
vo_ply_ply_	war_	char_select_	tense_01	vo_ply_ply_war_char_select_tense_01				omuk	philipp	sel character	Warrior	tense		We must be vigilant!	4		0	We must be vigilant!		必须保持警惕！	
vo_ply_ply_	war_	char_select_	tense_02	vo_ply_ply_war_char_select_tense_02				omuk	philipp	sel character	Warrior	tense		We will see tomorrow!	4		0	We will see tomorrow!		我们还有未来	
vo_ply_ply_	war_	char_select_	tense_03	vo_ply_ply_war_char_select_tense_03				omuk	philipp	sel character	Warrior	tense		Trouble waits ahead!	3		0	Trouble waits ahead!		前方困难重重	
vo_ply_ply_	war_	char_select_	tense_04	vo_ply_ply_war_char_select_tense_04				omuk	philipp	sel character	Warrior	tense		We must be quick!	4		0	We must be quick!		必须迅速行动！	
vo_ply_ply_	war_	char_select_	tense_05	vo_ply_ply_war_char_select_tense_05				omuk	philipp	sel character	Warrior	tense		We will succeed!	3		0	We will succeed!		我们会成功的！	
vo_ply_ply_	war_	char_select_	tense_06	vo_ply_ply_war_char_select_tense_06				omuk	philipp	sel character	Warrior	tense		My life for the Shogun!	5		0	My life for the Shogun!		为将军效命！	
vo_ply_ply_	war_	char_select_	tense_07	vo_ply_ply_war_char_select_tense_07				omuk	philipp	sel character	Warrior	tense		Glory awaits us!	3		0	Glory awaits us!		荣耀在等待我们！	
vo_ply_ply_	war_	char_select_	tense_08	vo_ply_ply_war_char_select_tense_08				omuk	philipp	sel character	Warrior	tense		We will not falter!	4		0	We will not falter!		我们不会动摇！	
vo_ply_ply_	war_	char_select_	tense_09	vo_ply_ply_war_char_select_tense_09				omuk	philipp	sel character	Warrior	tense		We are masters of our fate!	6		0	We are masters of our fate!		我们的命运由自己决定！	
vo_ply_ply_	war_	char_select_	tense_10	vo_ply_ply_war_char_select_tense_10				omuk	philipp	sel character	Warrior	tense		Death is watching!	3		0	Death is watching!		死亡在等待！	
vo_ply_ply_	war_	char_select_	cold_00	vo_ply_ply_war_char_select_cold_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	cold	feels a bit cold	A samurai does not feel cold.	6		0	A samurai does not feel cold.		武士感觉不到寒冷	
vo_ply_ply_	war_	char_select_	cold_01	vo_ply_ply_war_char_select_cold_01				omuk	philipp	sel character	Warrior	cold	supressed sneeze	... Forgive me.	3		0	…forgive me.	YES	…不好意思	
vo_ply_ply_	war_	char_select_	cold_02	vo_ply_ply_war_char_select_cold_02				omuk	philipp	sel character	Warrior	cold		Snow creates its own beauty.	5		0	Snow creates its own beauty.		雪也别有风情	
vo_ply_ply_	war_	char_select_	cold_03	vo_ply_ply_war_char_select_cold_03				omuk	philipp	sel character	Warrior	cold		The winds bite today.	4		0	The winds bite today.		今天的风真是刺骨	
vo_ply_ply_	war_	char_select_	cold_04	vo_ply_ply_war_char_select_cold_04				omuk	philipp	sel character	Warrior	cold		Urgh … snow in the armour.	6		0	Urgh…snow in the armor.	YES	唔…雪进盔甲里面了	
vo_ply_ply_	war_	char_select_	cold_05	vo_ply_ply_war_char_select_cold_05				omuk	philipp	sel character	Warrior	cold		A cold place …	4		0	A cold place…	YES	这儿还真冷…	
vo_ply_ply_	war_	char_select_	cold_06	vo_ply_ply_war_char_select_cold_06				omuk	philipp	sel character	Warrior	cold		Hrm, my beard is frozen …	6		0	Mmm…my beard is frozen…	YES	嗯…我的胡须都冻上了	
vo_ply_ply_	war_	char_select_	war_00	vo_ply_ply_war_char_select_war_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	alive	a bit louder than usual	I am Ōshiro Mugen!	4		0	I am Ōshiro Mugen!		我叫尾城无限！	
vo_ply_ply_	war_	char_select_	war_01	vo_ply_ply_war_char_select_war_01				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	Remember my name!	3		0	Remember my name!		记住我的名字！	
vo_ply_ply_	war_	char_select_	war_02	vo_ply_ply_war_char_select_war_02				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	A glorious battle!	3		0	A glorious battle!		荣耀之战！	
vo_ply_ply_	war_	char_select_	war_03	vo_ply_ply_war_char_select_war_03				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	This fight is not over!	5		0	This fight is not over!		战斗还没结束！	
vo_ply_ply_	war_	char_select_	war_04	vo_ply_ply_war_char_select_war_04				omuk	philipp	sel character	Warrior	alive	a bit louder than usual	Let us end this war!	5		0	Let us end this war!		让我们终结此战！	
vo_ply_ply_	war_	char_select_	war_05	vo_ply_ply_war_char_select_war_05				omuk	philipp	sel character	Warrior	approving		Death, honour. A fair trade.	5		0	Death, honor. A fair trade.	YES	死亡换名誉，公平的交易	
vo_ply_ply_	war_	char_select_	team_00	vo_ply_ply_war_char_select_team_00	Iconic	No	Yes	omuk	philipp	sel character	Warrior	content		The enemy fears us.	4		0	The enemy fears us.		敌人害怕我们	
