5,2,11		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) When Hayato finds the convoy, it has already been stopped by a broken bridge.
2) Hayato discovers a young thief (Yuki) as she kills a convoy guard.
3) Both team up and proceed to eliminate the officers in charge of the convoy
4) Once they are finished. They give the signal for Mugen to move in.
5) This mission introduces Yuki, so she must make a strong first impression."																										
																																			
BRIEFING									Hayato has snuck close to the weapons transport that he is supposed to attack. He get's a lay of the land, talking to himself in a practical manner.																										
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
								TITLECARD	Next morning, Nakasendō route		第二天早上，中山路	1																							
vocs_over_over_	_n00	vocs_over_over_convoy_briefing_n00	omuk		Mo	NINJA	focussed		Alright. That must be the transport. Wonder why it's stopped.	10	嗯，那一定是运输车队。奇怪，它怎么停下了。	1																							
vocs_over_over_	_n01	vocs_over_over_convoy_briefing_n01	omuk		Mo	NINJA	smug		Hmm … looks like the bridge gave in. That's fine with me ...	13	嗯……看起来是卡在桥上了，好机会……	1																							
vocs_over_over_	_n02	vocs_over_over_convoy_briefing_n02	omuk		Mo	NINJA	smug		The ones with the flags are the officers. Think I'll kill at least four, just to be safe.	18	身上背旗的那些人就是军官。为了保险起见，我至少得杀四名军官。	1																							
vocs_over_over_	_n03	vocs_over_over_convoy_briefing_n03	omuk		Mo	NINJA	planning		I'll signal Mugen when I'm done. That statue looks like a good spot.	13	搞定之后就给无限发信号。那个雕像位置不错。	1																							
vocs_over_over_	_n04	vocs_over_over_convoy_briefing_n04	omuk		Mo	NINJA	alert		Hm ... they are looking for something. Or someone. Better keep my head down.	14	嗯……他们正在找啥东西，也许是找某个人。看来要小心行事。	1																							
																																			
SEARCH									A guard orders another to search the underbrush for Yuki.		A guard orders another to search the underbrush for Yuki.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vo_hint_hint_	_n00	vo_hint_hint_convoy_search_n00	omuk		Mo	ENEMY	tense		She must be hiding here somewhere!	6	她肯定藏在这附近！	1																							
vo_hint_hint_	_n01	vo_hint_hint_convoy_search_n01	omuk		Mo	ENEMY	tense		Keep searching!	2	继续给我找！	1																							
vo_hint_hint_	_n02	vo_hint_hint_convoy_search_n02	omuk		Mo	ENEMY	tense		She's here, I know it!	5	她就藏这了，我知道！	1																							
																																			
TRAPPER									"Yuki is hidden in a bush and lures a guard to his death.
Hayato notices the scene and moves in to investigate."		"Yuki is hidden in a bush and lures a guard to his death.
Hayato notices the scene and moves in to investigate."																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_convoy_trapper_n00	omuk		Mo	NINJA	surprised	hears Yuki whistle	Huh …?	2	嗯……？	1																							
vocs_over_over_	_n01	vocs_over_over_convoy_trapper_n01	omuk		Mo	NINJA	interested	"sees guard die
moves in to investigate"	Hmm, a trap. Interesting …	5	嗯，陷阱。有点意思……	1																							
vocs_over_over_	_n02	vocs_over_over_convoy_trapper_n02	omuk		Mo	TRAPPER	sneaky	threatens him with knife	Don't move ... what are you? A lonely wolf?	9	别动……你是谁？独行侠？	1																							
vocs_over_over_	_n03	vocs_over_over_convoy_trapper_n03	omuk		Mo	NINJA	slightly intrigued	whirls around and puts his sword at her throat	… A child, huh? You're the one they're looking for.	10	……是个小孩，哈？他们就是在找你吧。	1																							
vocs_over_over_	_n04	vocs_over_over_convoy_trapper_n04	omuk		Mo	TRAPPER	lying		N-no they're not! I'm silent like a cat!	8	不-不 不是找我！我身手可是很敏捷的！	2																							
vocs_over_over_	_n05	vocs_over_over_convoy_trapper_n05	omuk		Mo	NINJA	slightly amused		What are you doing here?	5	你在这儿干什么？	1																							
vocs_over_over_	_n06	vocs_over_over_convoy_trapper_n06	omuk		Mo	TRAPPER	devious		I saw things on those wagons. They didn't look happy there, so I thought I'd take them with me.	19	马车上的货我都看见了。我看那些货物不高兴，所以我想带点货走。	1																							
vocs_over_over_	_n07	vocs_over_over_convoy_trapper_n07	omuk		Mo	NINJA	serious now		Better run along now. Bad things happen to children out here. Go play somewhere else.	15	你现在赶紧离开这里。这里的状况对小孩来说太危险。到其他地方玩去。	1																							
