5,2,9		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) When Hayato finds the convoy, it has already been stopped by a broken bridge.
2) Hayato discovers a young thief (Yuki) as she kills a convoy guard.
3) Both team up and proceed to eliminate the officers in charge of the convoy
4) Once they are finished. They give the signal for Mugen to move in.
5) This mission introduces Yuki, so she must make a strong first impression."
									
BRIEFING									Hayato has snuck close to the weapons transport that he is supposed to attack. He get's a lay of the land, talking to himself in a practical manner.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
								TITLECARD	翌朝、中山道にて
vocs_over_over_	_n00	vocs_over_over_convoy_briefing_n00	omuk		Mo	NINJA	focussed		よし。あれが輸送車か。何故止まっているんだ。
vocs_over_over_	_n01	vocs_over_over_convoy_briefing_n01	omuk		Mo	NINJA	smug		ふむ…どうやら橋が壊れてしまったようだ。丁度良い…。
vocs_over_over_	_n02	vocs_over_over_convoy_briefing_n02	omuk		Mo	NINJA	smug		旗付きのが士官か。念のため四人は仕留めておくか。
vocs_over_over_	_n03	vocs_over_over_convoy_briefing_n03	omuk		Mo	NINJA	planning		終わったら武源に合図を送るとしよう。あの像の辺りが丁度いい。
vocs_over_over_	_n04	vocs_over_over_convoy_briefing_n04	omuk		Mo	NINJA	alert		ふむ…奴らは何かを探しているようだ。誰かを、かもしれないな。目立たぬように行動せねば。
									
SEARCH									A guard orders another to search the underbrush for Yuki.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_convoy_search_n00	omuk		Mo	ENEMY	tense		この辺りに隠れたはずだ！
vo_hint_hint_	_n01	vo_hint_hint_convoy_search_n01	omuk		Mo	ENEMY	tense		探せ！
vo_hint_hint_	_n02	vo_hint_hint_convoy_search_n02	omuk		Mo	ENEMY	tense		そこにいるのは分かっている！
									
TRAPPER									Yuki is hidden in a bush and lures a guard to his death. Hayato notices the scene and moves in to investigate.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_convoy_trapper_n00	omuk		Mo	NINJA	surprised	hears Yuki whistle	ん…?
