5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Raiding the convoy has linked Lord Yabu, a powerful Daiymo, to Kage-sama's
2) The team discusses further plans. Hayato collects his pay.
3) Mugen wants to work with Yuki to test her skills."																										
																																			
SAFE HOUSE									The team plans their next move in a tavern.																										
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
						TITLECARD			Safe House		安全屋	1																							
vocs_over_over_	_n00	vocs_over_over_convoy_post_n00				NINJA	smug		Not a bad place you have here.	7	你这地方不赖啊。	1																							
vocs_over_over_	_n01	vocs_over_over_convoy_post_n01				WARRIOR	explaining	standing at a table with maps and documents	Come, come look at this.	5	来，看看这个。	1																							
vocs_over_over_	_n02	vocs_over_over_convoy_post_n02				WARRIOR	explaining	Hayato joins him	Our investigations show that the transport passed through the town of Imai, before it entered the Nakasendō route.	18	从掌握的情报来看，运输车队是先经过今井镇然后进入中山道的。	1																							
vocs_over_over_	_n03	vocs_over_over_convoy_post_n03				NINJA	pragmatic		Guess you can't just question the local lord? Find out who's behind this?	13	我猜你不会只问当地领主几个问题就完事？是想查出幕后黑手？	1																							
vocs_over_over_	_n04	vocs_over_over_convoy_post_n04				WARRIOR	it's complicated		I fear it is not that simple. Lord Yabu rules this area, a powerful daimyo who's shown little love for the Shogun since the end of the war.	28	恐怕事情没那么简单。这一带是薮领主的势力范围，此人实力雄厚，战后对将军就表现出不满了。	1																							
vocs_over_over_	_n05	vocs_over_over_convoy_post_n05				NINJA	elusive	needs some time to think	Could be your Kage-sama. Want me to go to Imai town? Must be cold there this time of year.  	21	没准幕后就是那位影大人。要我去趟今井镇吗？那地方现在一定很冷。  	3																							
vocs_over_over_	_n06	vocs_over_over_convoy_post_n06				WARRIOR	in thought		I will handle this one myself. Please tell Yuki-chan to come and see me.	14	这事我亲自处理。麻烦转告友希妹妹来见我。	1																							
vocs_over_over_	_n07	vocs_over_over_convoy_post_n07				NINJA	smug	cool Ninja knows she's there	No need. She's already at the door.	7	不用转告了。她就在门口。	1																							
vocs_over_over_	_n08	vocs_over_over_convoy_post_n08				WARRIOR	surprised		Is she now?	3	她在门口？	1																							
vocs_over_over_	_n09	vocs_over_over_convoy_post_n09				TRAPPER	startled	opens the door	I-I wasn't listening! I swear!	5	我-我可没偷听！我发誓！	1																							
