5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team infiltrates Noboru's castle.
2) As they near the main castle keep, Noboru receives a pigeon from his spies.
3) The letter shocks Noboru immensely. Masaru was publicly excecuted.
4) Noboru senses the end approaching and flees to the top of the keep.
5) As the team climbs the keep to assassinate him, Noboru curses his fate.
6) We learn the story of Noboru's betrayal through his words.
7) In the end, the team reaches him and exacts revenge."
									
BRIEFING									The team infiltrates Noboru's castle from two sides. Hayato and Takuma make one team, Yuki and Aiko the other.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			駿府城
vocs_over_over_	_n00	vocs_over_over_finalcastle_briefing_n00				NINJA		Cam to H+T	あの荷馬車で行けるのはそこまでだ。準備はいいかい、爺さん？
vocs_over_over_	_n01	vocs_over_over_finalcastle_briefing_n01				ALCHEMIST			ほっほ、興奮すると若返るのう。クマでさえやる気満々じゃ。
vocs_over_over_	_n02	vocs_over_over_finalcastle_briefing_n02				TANUKI		happy tanuki sound	…!
vocs_over_over_	_n03	vocs_over_over_finalcastle_briefing_n03				NINJA			そうだな。他の奴らもそろそろ配置についた頃か。
vocs_over_over_	_n04	vocs_over_over_finalcastle_briefing_n04				TRAPPER			こっちだよ、愛琥さん！もうじき着くよ。
vocs_over_over_	_n05	vocs_over_over_finalcastle_briefing_n05				GEISHA		"Cam to A+Y
both exit the water"	大した航行技術ね、雪ちゃん。 
vocs_over_over_	_n06	vocs_over_over_finalcastle_briefing_n06				GEISHA			さあ、これからが大仕事ね。
vocs_over_over_	_n07	vocs_over_over_finalcastle_briefing_n07				GEISHA		cam to lord noboru	昇は城の中心部に居るわ。
vocs_over_over_	_n08	vocs_over_over_finalcastle_briefing_n08				NINJA			昇に近づくのは容易ではなさそうだな。
vocs_over_over_	_n09	vocs_over_over_finalcastle_briefing_n09				ALCHEMIST			最善の道は常々見えない所にあるもんじゃ。
vocs_over_over_	_n10	vocs_over_over_finalcastle_briefing_n10				ALCHEMIST		cam to well at noboru	ワシが前に教えたことを思い出せ。井戸はそれぞれ繋がっておるんじゃ。
vocs_over_over_	_n11	vocs_over_over_finalcastle_briefing_n11				NINJA			では城の上部に行くには井戸が使えるってことだな。
vocs_over_over_	_n12	vocs_over_over_finalcastle_briefing_n12				GEISHA			巧磨様は井戸には鍵がかかって入れないとみているわ。
vocs_over_over_	_n13	vocs_over_over_finalcastle_briefing_n13				TRAPPER			錠前には鍵がある。
