5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team infiltrates Noboru's castle.
2) As they near the main castle keep, Noboru receives a pigeon from his spies.
3) The letter shocks Noboru immensely. Masaru was publicly excecuted.
4) Noboru senses the end approaching and flees to the top of the keep.
5) As the team climbs the keep to assassinate him, Noboru curses his fate.
6) We learn the story of Noboru's betrayal through his words.
7) In the end, the team reaches him and exacts revenge."																								
																																	
BRIEFING									The team infiltrates Noboru's castle from two sides. Hayato and Takuma make one team, Yuki and Aiko the other.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Sunpu Castle		骏府城	1																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_briefing_n00				NINJA		Cam to H+T	That's as far as that wagon will get us. You ready, old man?	13	马车只能带到我们这儿了。准备好了吗，老爷子？	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_briefing_n01				ALCHEMIST			Hehe, the excitement is quite rejuvenating. Even Kuma is eager.	10	呵呵呵，老夫早已心潮澎湃，仿佛又回到年轻的时候。就连小熊都迫不及待了。	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_briefing_n02				TANUKI		happy tanuki sound	… !		……!	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_briefing_n03				NINJA			Yes quite. The others should be in position by now.	10	的确如此。其他人应该也已经就位了。	1																					
vocs_over_over_	_n04	vocs_over_over_finalcastle_briefing_n04				TRAPPER			Up here, Aiko-san! We're almost there.	6	这边，爱子姐！马上就到了。	1																					
vocs_over_over_	_n05	vocs_over_over_finalcastle_briefing_n05				GEISHA		"Cam to A+Y
both exit the water"	Your navigation skills are impressive, Yuki-chan. 	7	你的寻路本领真了不起，友希小妹。 	2																					
vocs_over_over_	_n06	vocs_over_over_finalcastle_briefing_n06				GEISHA			Now, we have a hard task ahead of us.	9	接下来，好戏即将开演。	1																					
vocs_over_over_	_n07	vocs_over_over_finalcastle_briefing_n07				GEISHA		cam to lord noboru	Lord Noboru is at the heart of his castle.	9	昇正在城中心的位置。	1																					
vocs_over_over_	_n08	vocs_over_over_finalcastle_briefing_n08				NINJA			It doesn't look like there's an easy way to reach Noboru.	11	看来要接近昇也没那么容易。	1																					
vocs_over_over_	_n09	vocs_over_over_finalcastle_briefing_n09				ALCHEMIST			The best paths are often hidden from view.	8	捷径往往隐藏在暗处。	1																					
vocs_over_over_	_n10	vocs_over_over_finalcastle_briefing_n10				ALCHEMIST		cam to well at noboru	Remember what I told you before. The wells are all connected with each other.	14	我之前也和你说过，这些井都是相通的。	1																					
vocs_over_over_	_n11	vocs_over_over_finalcastle_briefing_n11				NINJA			So we use the wells to get into the upper castle.	11	也就是说，可以通过这些井到达城的上部。	1																					
vocs_over_over_	_n12	vocs_over_over_finalcastle_briefing_n12				GEISHA			Takuma-san expected the wells to be secured with locks.	9	琢磨大师早料到这些井已上锁。	1																					
vocs_over_over_	_n13	vocs_over_over_finalcastle_briefing_n13				TRAPPER			Locks have keys, right.	4	有锁就有钥匙。	1																					
vocs_over_over_	_n14	vocs_over_over_finalcastle_briefing_n14				TRAPPER		cam to samurai with key	I can find a key!	5	我能找到钥匙！	1																					
vocs_over_over_	_n15	vocs_over_over_finalcastle_briefing_n15				GEISHA			We should also look for a disguise on the way.	10	顺便也给我找件伪装用的衣服。	1																					
vocs_over_over_	_n16	vocs_over_over_finalcastle_briefing_n16				GEISHA			Very well.	2	好了。	1																					
vocs_over_over_	_n17	vocs_over_over_finalcastle_briefing_n17				GEISHA			Let us meet the others halfway and enter the wells together. After that we will make further plans.	18	先在半路和他们会合后一起下井。然后再做进一步打算吧。	1																					
vocs_over_over_	_n17a	vocs_over_over_finalcastle_briefing_n17a				NINJA			Let's meet the others halfway and use the wells together.	10	我们就在半路和他们会合后一起进入井里吧。	1																					
vocs_over_over_	_n18	vocs_over_over_finalcastle_briefing_n18				GEISHA			Now, shall we begin?	4	那么，可以开始行动了吗？	1																					
vocs_over_over_	_n19	vocs_over_over_finalcastle_briefing_n19				TRAPPER		Cam to A+Y	Ready, Aiko-san!	2	我准备好了，爱子姐！	1																					
vocs_over_over_	_n20	vocs_over_over_finalcastle_briefing_n20				ALCHEMIST		Cam to H+T	Ready when you are, Hayato-san.	5	老夫已准备就绪，隼人。	1																					
vocs_over_over_	_n21	vocs_over_over_finalcastle_briefing_n21				NINJA			Right. Let's finish this.	4	好，争取速战速决。	1																					
																																	
SHOOTINGRANGE									The team enters a shooting range where soldiers are practicing with firearms. If they use their matchlock pistols here, no one will notice.		The team enters a shooting range where soldiers are practicing with firearms. If they use their matchlock pistols here, no one will notice.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_finalcastle_shootingrange_n00				NINJA	smug	Hayato first first	Shooting practice, huh.	3	在练习打靶么。	1																					
vocs_over_over_	_n01	vocs_over_over_finalcastle_shootingrange_n01				TRAPPER	irritated	Yuki first	Always shooting.	2	枪打个不停真讨厌。	1																					
vocs_over_over_	_n02	vocs_over_over_finalcastle_shootingrange_n02				GEISHA	observant	Aiko first	The soldiers are training.	4	有士兵正在练枪法。	1																					
vocs_over_over_	_n03	vocs_over_over_finalcastle_shootingrange_n03				ALCHEMIST	making fun of sth		Who made those rifles? Heh, they're so loud, we could shoot their owners and no one would notice!	18	这些枪是谁造的？呵，枪声音未免也太大了，就算我们开枪也不会有人发现吧。	1																					
vocs_over_over_	_n04	vocs_over_over_finalcastle_shootingrange_n04				TRAPPER	eager		Ooh, I get it!	4	噢，我明白了！	1																					
vocs_over_over_	_n05	vocs_over_over_finalcastle_shootingrange_n05				GEISHA	observant		Yes, we could mask our shots with their own.	9	对，可以利用靶场的声音来掩盖我们的枪声。	1																					
vocs_over_over_	_n06	vocs_over_over_finalcastle_shootingrange_n06				NINJA	eager		Hm, not a bad idea.	5	嗯，这主意不错。	1																					
																																	
