4,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Japan, Edo Period, 1615. The Shogun wages his war for absolute power.
2) He attacks his final enemy in his castle.
3) During the siege, a ninja (Hayato) infiltrates the castle.
4) He helps a samurai (Mugen), who fought his ways inside, losing all his men.
5) Together they make their way through the castle, dodging and killing guards.
6) They are saved by a sharpshooter (Takuma) who has climbed the castle wall.
7) Together they blow open the front gate of the castle, securing victory.
8) Takuma's sniper spot is hit by a cannon and he presumably dies.
9) Hayato and Mugen are separated but vow to meet after the battle."	
										
INTRO									"Black screen, text appears, possibly (but not planned with) voice-acted narration.
Cut to Hayato swimming through a castle mote, killing a guard at the foot of the wall, then going through his mission objectives in his head."	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_intro_n00	omuk			NARRATOR	epic		日本、江戸の初期	
vocs_over_over_	_n01	vocs_over_over_firstcastle_intro_n01	omuk			NARRATOR	epic		百年以上続く戦乱の中、新たな将軍による平和への一筋の光が見えていた。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_intro_n02	omuk			NARRATOR	epic		大阪城要塞にて、敵兵による最後の抵抗が続いていた。数ヶ月に及ぶ包囲戦の後、将軍はたった一人の”忍”を敵要塞の中心に送り込む…。	
vocs_over_over_	_n02a	vocs_over_over_firstcastle_intro_n02a	omuk			NARRATOR	epic	ALTERNATIVE	大阪城要塞にて、敵兵による最後の抵抗が続いていた。数ヶ月に及ぶ包囲戦の後、将軍はたった一人の”忍”にある指令を与える…。	
vocs_over_over_	_n03	vocs_over_over_firstcastle_intro_n03	omuk	Mo		NINJA	smug	after killing the guard and hiding the corpse	悪く思うなよ。見つかると面倒なんでな。	
vocs_over_over_	_n04	vocs_over_over_firstcastle_intro_n04	omuk	Mo		NINJA	anticipating		大量の見張りだな。上様の次の攻撃に備えているようだな。	
vocs_over_over_	_n04a	vocs_over_over_firstcastle_intro_n04a	omuk	Mo		NINJA	anticipating		こいつは驚いた。大量の見張りだな。少し手こずるかもな。	
vocs_over_over_	_n05	vocs_over_over_firstcastle_intro_n05	omuk	Mo		NINJA	anticipating		ここらへんは安全そうだな。だが、念のため注意して進もう。	
vocs_over_over_	_n05a	vocs_over_over_firstcastle_intro_n05a	omuk	Mo		NINJA	anticipating		ここらへんは安全そうだな。だが、念のため注意して進もう。	
vocs_over_over_	_n06	vocs_over_over_firstcastle_intro_n06	omuk	Mo		NINJA	cocky		こいつは驚いた。防柵だらけだな。少し手こずるかもな。	
vocs_over_over_	_n06a	vocs_over_over_firstcastle_intro_n06a	omuk	Mo		NINJA	cocky		防柵だらけだな。上様の次の攻撃に備えているようだな。	
vocs_over_over_	_n07	vocs_over_over_firstcastle_intro_n07	omuk	Mo		NINJA	pragmatic		あそこだ。あの門の所まで行かなければ。厄介な仕事になりそうだ。	
vocs_over_over_	_n07a	vocs_over_over_firstcastle_intro_n07a	omuk	Mo		NINJA	pragmatic		最初の任務はあの門の所まで行くことだ。肩慣らしにぴったりだな。	
										
NINJA									Hayato has just swum through the castle moat. No he is just a short climb away from entering the castle.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
