level,section,voen, caster, textEN, textCN

vocs_over_over_	_n00	vocs_over_over_firstcastle_intro_n00	omuk			NARRATOR	epic		Japan, early Edo Period	4	日本，江户时代早期	1																					
vocs_over_over_	_n01	vocs_over_over_firstcastle_intro_n01	omuk			NARRATOR	epic		Finally, after centuries of civil war, there is hope for peace as a new Shogun rises to unify the nation.	20	历经数百年战乱之后，终于又出现了一位可以独掌大权的幕府将军，日本即将迎来久违的和平。	1																					
vocs_over_over_	_n02	vocs_over_over_firstcastle_intro_n02	omuk			NARRATOR	epic		In the stronghold of Osaka Castle the last  adversary remains defiant. After months of siege, the Shogun sends a lone Shinobi into the heart of the enemy fortress …	30	将军的最后一位对手仍然在大阪城内负隅顽抗。眼看数月围城无果，将军便秘派一位独行忍者潜入到敌方要塞中心……	1																					
vocs_over_over_	_n02a	vocs_over_over_firstcastle_intro_n02a	omuk			NARRATOR	epic	ALTERNATIVE	In the stronghold of Osaka Castle the last  adversary remains defiant. After months of siege, the Shogun sends a lone Shinobi on a secret mission …	27	将军的最后一位对手仍然在大阪城内负隅顽抗。眼看数月围城无果，将军便秘派一位独行忍者执行一项隐秘任务……	1																					
vocs_over_over_	_n03	vocs_over_over_firstcastle_intro_n03	omuk	Mo		NINJA	smug	after killing the guard and hiding the corpse	Nothing personal. Just can't have you warn the others up there.	11	虽与你无冤无仇，但我不能让你走漏了风声。	1																					
vocs_over_over_	_n04	vocs_over_over_firstcastle_intro_n04	omuk	Mo		NINJA	anticipating		Looks like a whole nest of guards. Bet they're preparing for the Shogun's next attack.	15	真是戒备森严。看来正在为抵挡将军的下次进攻做准备。	1																					
vocs_over_over_	_n04a	vocs_over_over_firstcastle_intro_n04a	omuk	Mo		NINJA	anticipating		Looks like a whole nest of guards. Who'd have thought! This might actually get challenging.	15	真是戒备森严，万万没想到!看来这次有点棘手。	1																					
vocs_over_over_	_n05	vocs_over_over_firstcastle_intro_n05	omuk	Mo		NINJA	anticipating		Not much happening here. I'll keep my head down, just in case.	12	这边好像没什么情况。但还是小心为妙，以防万一。	1																					
vocs_over_over_	_n06	vocs_over_over_firstcastle_intro_n06	omuk	Mo		NINJA	cocky		Barricades everywhere. Who'd have thought! This might actually get challenging.	10	到处都是路障。万万没想到!看来这次有点棘手。	1																					
vocs_over_over_	_n06a	vocs_over_over_firstcastle_intro_n06a	omuk	Mo		NINJA	cocky		Barricades everywhere. Bet they're preparing for the Shogun's next attack.	10	到处都是路障。看来正在为抵挡将军的下次进攻做准备。	1																					
vocs_over_over_	_n07	vocs_over_over_firstcastle_intro_n07	omuk	Mo		NINJA	pragmatic		There. Have to reach that gate. Guess I have my work cut out for me.	15	大门在那儿，必须先到那里。这下有得忙了。	1																					
vocs_over_over_	_n07a	vocs_over_over_firstcastle_intro_n07a	omuk	Mo		NINJA	pragmatic		First order is to reach that gate. Should be a good warm up for the real mission.	17	首先要到达那扇大门处。任务开始前正好就当热身了。	1																					
																																	
NINJA									Hayato has just swum through the castle moat. No he is just a short climb away from entering the castle.		Hayato has just swum through the castle moat. No he is just a short climb away from entering the castle.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_firstcastle_ninja_n00	omuk	Mo		NINJA	focussed		Climb won't be a problem. Better hurry though. The Shogun will start his attack soon.	15	攀爬不过是小菜一碟。不过得抓紧时间，将军很快就要进攻了。	1																					
																																	
CHAT1									Hayato overhears two guards while sneaking past.		Hayato overhears two guards while sneaking past.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_chat1_n00	omuk	Mo		GUARD1	worried		Six months of this. How much longer will this go on?	11	这仗都打了六个月了，什么时候才能打完？	1																					
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_chat1_n01	omuk	Mo		GUARD2	resolute		It doesn't matter. No Shogunate scum will ever set foot in this castle.	13	没关系。反正那些幕府军废物，没一个能踏入此城半步。	1																					
																																	
INSIDE									Hayato has climbed inside the castle.		Hayato has climbed inside the castle.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_firstcastle_inside_n00	omuk	Mo		NINJA	focussed		Better stay out of sight.	5	最好别让人看到。	1																					
																																	
CHAT2									Many guards block Hayato's path. An officer appears and calls everyone to the wall so they can repel the Shogun's next attack.		Many guards block Hayato's path. An officer appears and calls everyone to the wall so they can repel the Shogun's next attack.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_chat2_n00	omuk	Mo		OFFICER	very urgent		Everyone gather! 	3	全员集合！ 	2																					
vo_hint_hint_	_n01	vo_hint_hint_firstcastle_chat2_n01	omuk	Mo		OFFICER	very urgent		The Shogunate army will attack soon! We will face them with honour.	12	幕府军很快就会发动进攻！让他们尝尝我们的厉害。	1																					
																																	
ALARM									A guard calls for reinforcements.		A guard calls for reinforcements.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
