4,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) 3 years after the battle. Mugen has an audience with the Shogun.
2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun.
3) Mugen gets the mission from the Shogun to hunt Kage-sama.
4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here.
5) Mugen recruits his old comrade Hayato.
6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama."												
																					
INTRO2									Render Cutscene with narration												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN												
vocs_over_over_	_n00	vocs_over_over_cinematic1_n00				NARRATOR			大阪城の戦が終わり、日本は新しい将軍のしたもとに統治された。												
vocs_over_over_	_n01	vocs_over_over_cinematic1_n01				NARRATOR			翌年、将軍の新しい法が制定され、国家は安定した。何年にも及ぶ争いの傷も癒え、文化や経済は栄える事となった。												
vocs_over_over_	_n02	vocs_over_over_cinematic1_n02				NARRATOR			しかし、束の間の平和もそう長くは続かず、将軍を倒すという陰謀の噂が広がった。												
vocs_over_over_	_n03	vocs_over_over_cinematic1_n03				NARRATOR			この首謀者を特定できる者はいない。しかし、名前のみが独り歩きしていた。その名も…”カゲサマ”。												
																					
EDO									Edo Castle: Mugen trains with Ryūnosuke, the Shogun's son, and Masaru, the Shogun's nephew. They are interrupted when Mugen is summoned to the Shogun.												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN												
						TITLECARD			江戸城、大阪城での戦いから三年後の事												
vocs_over_over_	_n05	vocs_over_over_firstcastle_post_n05				WARRIOR	teaching	cares for his pupils	うむ、最後の一撃には魂を感じましたが、お二方とも守りがおろそかですぞ。侍には忍耐が必要です。さもなければ命を落とします。												
