4,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) 3 years after the battle. Mugen has an audience with the Shogun.
2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun.
3) Mugen gets the mission from the Shogun to hunt Kage-sama.
4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here.
5) Mugen recruits his old comrade Hayato.
6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama."																								
																																	
INTRO2									Render Cutscene with narration																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
vocs_over_over_	_n00	vocs_over_over_cinematic1_n00				NARRATOR			After the fall of Osaka Castle, Japan was united under the rule of the new Shogun.	16	大阪城攻破后，新将军统一了日本。	1																					
vocs_over_over_	_n01	vocs_over_over_cinematic1_n01				NARRATOR			In the following years, the Shogun's new laws stabilize the nation. Culture and the economy flourish as the land and its people recover from years of conflict.	27	在随后的几年中，将军颁布的新法为国家带了稳定，随着人民从多年战乱中逐渐恢复，文化与经济也得到了蓬勃发展。	1																					
vocs_over_over_	_n02	vocs_over_over_cinematic1_n02				NARRATOR			But now this fragile peace is threatened. Rumour spreads of a conspiracy to overthrow  the Shogun.	17	然而，短暂的和平再次受到威胁。谣言四起，传闻有人密谋推翻将军。	1																					
vocs_over_over_	_n03	vocs_over_over_cinematic1_n03				NARRATOR			"No one knowns the identity of the leader. But a name is whispered in the streets: ""Kage-sama""."	17	谋反者的身份无人知晓。但在坊间流传着一个名字：“影大人”。	1																					
																																	
EDO									Edo Castle: Mugen trains with Ryūnosuke, the Shogun's son, and Masaru, the Shogun's nephew. They are interrupted when Mugen is summoned to the Shogun.		Edo Castle: Mugen trains with Ryūnosuke, the Shogun's son, and Masaru, the Shogun's nephew. They are interrupted when Mugen is summoned to the Shogun.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Edo Castle, 3 years after the battle of Osaka Castle.		江户城，大阪攻城战三年后。	1																					
vocs_over_over_	_n05	vocs_over_over_firstcastle_post_n05				WARRIOR	teaching	cares for his pupils	Your last attack showed spirit, but you both neglected your defence. A samurai must have patience, for its lack will cost him dearly.	23	你们刚才的进攻充满了斗志，但却都忽视了防守。真正的武士必须学会耐心，否则会付出惨痛代价。	1																					
