5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team has been sent to spy on some rebels in a logging village.
2) During the mission, Hayato's and Aiko's egos clash heavily.
3) Yuki tries to make peace between the two, but is ignored by both.
4) It's unveiled that general Okkoto is in the village. They must learn his plans.
5) They learn that the rebels will attack Kanazawa, where Yuki was born.
6) At the end, Hayato and Aiko send Yuki with the news to Brogun. The two will follow general Okkoto so maybe they can learn more."
									
BRIEFING									The team discusses how they will find out the rebel plans. Hayato and Aiko have different professional opinions and can't agree on anything.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			飛騨村
vocs_over_over_	_n00	vocs_over_over_lakevillage_briefing_n00				NINJA	irritated	Cam Start	ここが飛騨村か。暗がりのみを行こう。光は避けるんだ。
vocs_over_over_	_n01	vocs_over_over_lakevillage_briefing_n01				GEISHA	patient		そうですね、隼人さん。けど反乱の計画についてもっと知る必要があるわ。
vocs_over_over_	_n02	vocs_over_over_lakevillage_briefing_n02				GEISHA	planning	Cam to villagers	村人はひどい扱いを受けているわ。私たちのことをばらしたりはしないはずよ。もし自分たちの姿を見せたとしても。
vocs_over_over_	_n03	vocs_over_over_lakevillage_briefing_n03				GEISHA	planning	Cam to Tavern	酒場では色々な話が飛び交っているわ。必ず何か得られるはずよ。
vocs_over_over_	_n04	vocs_over_over_lakevillage_briefing_n04				NINJA	better idea	Cam to Stables	混み過ぎだな、馬小屋ははどうだ？人は少なく、隠れられる所は多い。
vocs_over_over_	_n05	vocs_over_over_lakevillage_briefing_n05				GEISHA	reasoning	Cam to disguise	酒場の方が安全だわ。それと、お互い変装の服が必要よ。
vocs_over_over_	_n06	vocs_over_over_lakevillage_briefing_n06				NINJA	smug		むぅ、新しい服が着たいだけだろ？
vocs_over_over_	_n07	vocs_over_over_lakevillage_briefing_n07				TRAPPER	impatient	Cam to Start	うーむ…どっちに行くのか決められないのかな。
									
NIGHT									This is the first night vision in the game. Enemy field of view works differently. (trigger on tutorial scroll pickup)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_night_n00				NINJA	in his element		っふ…夜に働くのは最高だ。
vocs_over_over_	_n01	vocs_over_over_lakevillage_night_n01				GEISHA	elegant		それにはそれの良さがあるわね。
vocs_over_over_	_n02	vocs_over_over_lakevillage_night_n02				NINJA	in his element		隠れてろよ、光は避けて、誰にも見つからないようにするんだ。
									
LAMP									One of the team members extinguishes a lamp to hide in the shadows.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_lamp_n00				NINJA	smug	Hayato first	灯りが消えた、誰か気付くはずだ。
vocs_over_over_	_n01	vocs_over_over_lakevillage_lamp_n01				TRAPPER	sneaky	Yuki first	灯りが消えた。見張りが見る前に出ないと。
vocs_over_over_	_n02	vocs_over_over_lakevillage_lamp_n02				GEISHA	elegant	Aiko first	新しい闇、気づかれるわけにはいかないわね。
									
BURN									A rebel orders a villager to burn their belongings.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_burn_n00				ENEMY	commanding		もってこい！
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_burn_n01				ENEMY	commanding		燃やしてやる！
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_burn_n02				ENEMY	smug		火を消すわけにはいかぬ。
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_burn_n03				ENEMY	smug		急げ！消えてしまうぞ。
vo_hint_hint_	_n04	vo_hint_hint_lakevillage_burn_n04				ENEMY	asshole		急げ、小汚い百姓め。
vo_hint_hint_	_n05	vo_hint_hint_lakevillage_burn_n05				ENEMY	asshole		まだ全部じゃないだろ、ええ？
									
FEAR1									Yuki is disturbed by the rebels abuse of the villagers.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_fear1_n00				TRAPPER	anxious		どうして、反逆者は村を嫌っているの？
vocs_over_over_	_n01	vocs_over_over_lakevillage_fear1_n01				NINJA	serious		嫌っているとは思えないな。
vocs_over_over_	_n02	vocs_over_over_lakevillage_fear1_n02				TRAPPER	anxious		じゃあいじめるのが好きなの？
vocs_over_over_	_n03	vocs_over_over_lakevillage_fear1_n03				GEISHA	serious		恐怖を蔓延させるためにやっているのよ。村人は黙ったままで、もし抵抗したら、処刑されるのよ。
vocs_over_over_	_n04	vocs_over_over_lakevillage_fear1_n04				TRAPPER	disturbed		そんな…。
									
LAKE									Aiko and Hayato argue whether or not they should swim through the lake. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_lake_n00				GEISHA	determined	Aiko first.	泳いでいけば、酒場には着けるわね。
vocs_over_over_	_n01	vocs_over_over_lakevillage_lake_n01				NINJA	stubborn		そのやり方で行くのはあまり賢いとは言えんな。
vocs_over_over_	_n02	vocs_over_over_lakevillage_lake_n02				GEISHA	teasing		…隼人さん、もしかして泳げないとか？
vocs_over_over_	_n03	vocs_over_over_lakevillage_lake_n03				NINJA	teased		馬鹿を言うな…。
									
ROAD									Aiko and Hayato argue whether or not they should take the road through the outer village. (ARGUMENT)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_lakevillage_road_n00				NINJA	determined	Hayato first	この道を通ろう、馬車へ行ける。
vocs_over_over_	_n01	vocs_over_over_lakevillage_road_n01				GEISHA	stubborn		その道は反対だわ。
vocs_over_over_	_n02	vocs_over_over_lakevillage_road_n02				NINJA	teasing		なんだと？足が持たないとでも？
