5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team has been sent to spy on some rebels in a logging village.
2) During the mission, Hayato's and Aiko's egos clash heavily.
3) Yuki tries to make peace between the two, but is ignored by both.
4) It's unveiled that general Okkoto is in the village. They must learn his plans.
5) They learn that the rebels will attack Kanazawa, where Yuki was born.
6) At the end, Hayato and Aiko send Yuki with the news to Brogun. The two will follow general Okkoto so maybe they can learn more."																								
																																	
BRIEFING									The team discusses how they will find out the rebel plans. Hayato and Aiko have different professional opinions and can't agree on anything.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Hida Village		飞騨村	1																					
vocs_over_over_	_n00	vocs_over_over_lakevillage_briefing_n00				NINJA	irritated	Cam Start	This must be Hida village. I say we stick to the shadows. Avoid the lights.	15	这里就是飞騨村了。注意避开火光，暗中行动。	1																					
vocs_over_over_	_n01	vocs_over_over_lakevillage_briefing_n01				GEISHA	patient		I approve of your words, Hayato-san, but it will require more to learn the rebels' plans.	16	隼人兄所言极是。不过，要查清叛军的计划，还得先收集点情报。	1																					
vocs_over_over_	_n02	vocs_over_over_lakevillage_briefing_n02				GEISHA	planning	Cam to villagers	The villagers are being treated poorly. I do not think they would expose us, even if we show ourselves to them.	21	村民都受尽了虐待。所以就算被他们看到，应该也不会给叛军通风报信的吧。	1																					
vocs_over_over_	_n03	vocs_over_over_lakevillage_briefing_n03				GEISHA	planning	Cam to Tavern	The tavern will be full of conversation. No doubt we will gain insight there.	14	酒馆那儿聊得正酣。打探一番必有收获。	1																					
vocs_over_over_	_n04	vocs_over_over_lakevillage_briefing_n04				NINJA	better idea	Cam to Stables	Too crowded for my taste. Why not go for the stables? Less people, more cover.	15	那边人多眼杂。还是去牛棚吧？人又少，还便于藏身。	1																					
vocs_over_over_	_n05	vocs_over_over_lakevillage_briefing_n05				GEISHA	reasoning	Cam to disguise	The tavern is the safer option. All we need is a suitable disguise.	13	还是酒馆更安全。只要有件合适的伪装即可。	1																					
vocs_over_over_	_n06	vocs_over_over_lakevillage_briefing_n06				NINJA	smug		Heh, admit it, you just want a new set of clothes.	11	…嗯，你就是想穿新衣服而已吧。	1																					
vocs_over_over_	_n07	vocs_over_over_lakevillage_briefing_n07				TRAPPER	impatient	Cam to Start	Uhm … can we just decide on the way? 	10	嗯……要不等会儿再决定吧？ 	2																					
																																	
NIGHT									"This is the first night vision in the game. Enemy field of view works differently.
(trigger on tutorial scroll pickup)"		This is the first night vision in the game. Enemy field of view works differently.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_lakevillage_night_n00				NINJA	in his element		Ah, always a pleasure working at night.	7	哼，还是夜里行动最好。	1																					
vocs_over_over_	_n01	vocs_over_over_lakevillage_night_n01				GEISHA	elegant		It has it's advantages.	4	确实有好处。	1																					
vocs_over_over_	_n02	vocs_over_over_lakevillage_night_n02				NINJA	in his element		Keep your head down, avoid the lights, and no one will be able to spot us.	16	蹲下走，远离光源，这样就没人能发现我们。	1																					
																																	
LAMP									One of the team members extinguishes a lamp to hide in the shadows.		One of the team members extinguishes a lamp to hide in the shadows.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_lakevillage_lamp_n00				NINJA	smug	Hayato first	Fire's dead. Someone's bound to notice.	6	肯定会有人注意到火灭了。	1																					
vocs_over_over_	_n01	vocs_over_over_lakevillage_lamp_n01				TRAPPER	sneaky	Yuki first	Lights out! Leave before the guard sees it!	8	火灭了！在守卫发现前赶紧离开！	1																					
vocs_over_over_	_n02	vocs_over_over_lakevillage_lamp_n02				GEISHA	elegant	Aiko first	These new shadows will not go unnoticed.	7	巡逻的敌人肯定会发现这边变暗了。	1																					
																																	
BURN									A rebel orders a villager to burn their belongings.		A rebel orders a villager to burn their belongings.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_lakevillage_burn_n00				ENEMY	commanding		Bring more!	2	再添把柴！	1																					
vo_hint_hint_	_n01	vo_hint_hint_lakevillage_burn_n01				ENEMY	commanding		We'll burn everything!	3	全都给我烧了！	1																					
vo_hint_hint_	_n02	vo_hint_hint_lakevillage_burn_n02				ENEMY	smug		We can't let the fire go out.	7	火不能灭。	1																					
vo_hint_hint_	_n03	vo_hint_hint_lakevillage_burn_n03				ENEMY	smug		Hurry. It's getting cold.	4	快点。火都快熄了。	1																					
vo_hint_hint_	_n04	vo_hint_hint_lakevillage_burn_n04				ENEMY	asshole		Faster, you dirty peasant.	4	麻利点，这帮贱民。	1																					
vo_hint_hint_	_n05	vo_hint_hint_lakevillage_burn_n05				ENEMY	asshole		That can't be all, can it?	6	怎么可能就这么点儿？	1																					
																																	
FEAR1									Yuki is disturbed by the rebels abuse of the villagers.		Yuki is disturbed by the rebels abuse of the villagers.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_lakevillage_fear1_n00				TRAPPER	anxious		Why do the rebels hate the villagers so?	8	为什么叛军这么恨村民？	1																					
vocs_over_over_	_n01	vocs_over_over_lakevillage_fear1_n01				NINJA	serious		I don't think they hate them.	6	我看他们并不是恨村民。	1																					
vocs_over_over_	_n02	vocs_over_over_lakevillage_fear1_n02				TRAPPER	anxious		So they just like hurting them.	6	那他们只是很喜欢欺负人吗？	1																					
vocs_over_over_	_n03	vocs_over_over_lakevillage_fear1_n03				GEISHA	serious		They do this to spread fear, child. The villagers take this abuse, for if they resist, they will no doubt be executed.	22	他们这么做只是为了制造恐慌，村民们也只能默默承受。因为一旦反抗，会被当场处决。	1																					
