5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Yuki is on her way back to the war camp
2) On the path she spots a Tanuki and realizes it's Takuma's tanuki Kuma.
3) Yuki senses something is wrong. Maybe Kuma. was sent to get help.
4) She decides her friends are more important than delivering the message.
5) She makes the Tanuki lead her to Takuma.
6) The scene is very upbeat, but when Yuki leaves it starts to rain, marking the turn towards a darker mood that is the next level."																								
																																	
TANUKI									While heading for the war camp, Yuki spots Kuma on the road.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			The next morning, on the road to Lord Noboru's war camp.		第二天早晨，在去昇大人营地的路上。	1																					
vocs_over_over_	_n00	vocs_over_over_lakevillage_post_n00				TRAPPER	a little sad, but also happy	has left raft behind	Hah, poor little raft. All alone at the shore. But I'm almost there, yes?	14	哎，可怜的小竹筏，孤零零地留在岸边。不过我也应该快走到了吧？	1																					
vocs_over_over_	_n01	vocs_over_over_lakevillage_post_n01				TANUKI		tanuki sound	… !		……!	1																					
vocs_over_over_	_n02	vocs_over_over_lakevillage_post_n02				TRAPPER	surprised		Hey! You're Kuma, right?	4	啊啦！这不是小熊吗？	1																					
vocs_over_over_	_n03	vocs_over_over_lakevillage_post_n03				TANUKI		tanuki sound	… !		……!	1																					
vocs_over_over_	_n04	vocs_over_over_lakevillage_post_n04				TRAPPER	curious		Huh ... is Takuma-sama here?	5	也就是说，琢磨大师也在附近吗？	1																					
vocs_over_over_	_n05	vocs_over_over_lakevillage_post_n05				TANUKI		*sits down*	…		……	1																					
vocs_over_over_	_n06	vocs_over_over_lakevillage_post_n06				TRAPPER	suspicious	inspects Kuma	Hey, what's that in your fur.	6	呃，你毛上沾着什么？	1																					
vocs_over_over_	_n07	vocs_over_over_lakevillage_post_n07				TRAPPER	shocked	*breathes in quickly* 	… Blood!	2	……血！	1																					
vocs_over_over_	_n08	vocs_over_over_lakevillage_post_n08				TANUKI		tanuki sound	… !		……!	1																					
vocs_over_over_	_n09	vocs_over_over_lakevillage_post_n09				TRAPPER	under pressure		No … no, no, something's wrong … maybe …	9	不……不可能，怎么会这样……	1																					
vocs_over_over_	_n10	vocs_over_over_lakevillage_post_n10				TRAPPER	under pressure	to herself	No, stupid. You told Aiko-san you'd be fast. You promised, stupid.	11	不行，笨蛋。已经和爱子姐约好要尽快赶回去的。	1																					
vocs_over_over_	_n11	vocs_over_over_lakevillage_post_n11				TRAPPER	under pressure	to herself	No! I have to help! Aiko-san is smart, she'll understand.	10	但我还是不能坐视不管。必须去帮他们！爱子姐她一定会理解我的。	1																					
vocs_over_over_	_n12	vocs_over_over_lakevillage_post_n12				TANUKI		questioning tanuki sound	… ?		……？	1																					
vocs_over_over_	_n13	vocs_over_over_lakevillage_post_n13				TRAPPER			Show me! Where's Takuma-sama?	4	快告诉我！琢磨师父在哪？	1																					
vocs_over_over_	_n14	vocs_over_over_lakevillage_post_n14				TANUKI			…		……	1																					
vocs_over_over_	_n15	vocs_over_over_lakevillage_post_n15				TRAPPER		*imitates the way Takuma calls back Kuma*	Come on! Takuma-sama! You know …	6	就是！琢磨师父呀！你听得懂吧……	1																					
vocs_over_over_	_n16	vocs_over_over_lakevillage_post_n16				TANUKI	happy	"happy tanuki sound
*runs off*"	… !!		…!!	1																					
vocs_over_over_	_n17	vocs_over_over_lakevillage_post_n17				TRAPPER	happy	*follows Kuma*	Yes! Clever little thing!	4	对了！小家伙真聪明！	1																					
											NINJA																						
									MISSION-WORDCOUNT EN:	75	0	0	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
											0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
