5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Takuma wants revenge on Yabu.
2) Yabu lets someone commit Seppuku, setting up later Seppuku scenes
3) We learn Yabu is not Kage-Sama. Takuma wants to kill him anyway.
4) Killing Yabu fills Takuma with triumph, but he feels empty in the end.
5) Later, he will find new meaning in life by taking Yuki under his wing."
									
BRIEFING									The team has snuck close to the mansion's outer wall.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			藪大名の邸宅
vocs_over_over_	_n00	vocs_over_over_mansion_briefing_n00	omuk	hambo		NINJA	smug		以前より数が多いな、藪の挑戦ってわけか。
vocs_over_over_	_n01	vocs_over_over_mansion_briefing_n01	omuk	hambo		ALCHEMIST	cheerful	looking forward to revenge	ワシが逃げたのも知っておる。奴が警戒するのも当然じゃ。
vocs_over_over_	_n02	vocs_over_over_mansion_briefing_n02	omuk	hambo		NINJA	pragmatic	counting obstacles	鎧で武装した護衛が三人、中庭にいる。…正面攻撃はすべきではなさそうだ。
vocs_over_over_	_n03	vocs_over_over_mansion_briefing_n03	omuk	hambo		TRAPPER	knowing		お茶を飲んでるよね？
vocs_over_over_	_n04	vocs_over_over_mansion_briefing_n04	omuk	hambo		NINJA	irritated		…なんだ？
vocs_over_over_	_n05	vocs_over_over_mansion_briefing_n05	omuk	hambo		TRAPPER	explaining		いつも小さな島の所でお茶を飲んでるのよ。
vocs_over_over_	_n06	vocs_over_over_mansion_briefing_n06	omuk	hambo		ALCHEMIST			ほぅ、いい作戦じゃの。この薬を持っていきなさい。こいつを飲み物に少し混ぜてやるんじゃ。
vocs_over_over_	_n07	vocs_over_over_mansion_briefing_n07	omuk	hambo		NINJA	considering all options	cam shows a high pavillion	あの塔はどうだ？あそこから射撃できるんじゃないか？
vocs_over_over_	_n08	vocs_over_over_mansion_briefing_n08	omuk	hambo		ALCHEMIST	considering		うーむ、奴を外に呼び出せれば可能じゃの。
vocs_over_over_	_n09	vocs_over_over_mansion_briefing_n09	omuk	hambo		TRAPPER	worried	Cam to gate	護衛たちが奴の死を見るってこと？そしたら、皆一斉にあたしたちを探し始める…。
vocs_over_over_	_n10	vocs_over_over_mansion_briefing_n10	omuk	hambo		NINJA	practical		なら、もらった火縄銃をついに使うことになりそうだな。
vocs_over_over_	_n11	vocs_over_over_mansion_briefing_n11	omuk	hambo		ALCHEMIST	in thought	Cam to Start	うーむ、その時まで使うのをとっておくべきじゃ。それと爆弾も持っておる。緊急の時のためにの。
vocs_over_over_	_n12	vocs_over_over_mansion_briefing_n12	omuk	hambo		NINJA	amused		ほぅ…そいつはよかった。よし、始めよう。
									
TANUKI1									Takuma orders his Tanuki to a specific spot.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki1_n00	omuk	hambo		ALCHEMIST	commanding		行け、クマ！
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki1_n01	omuk	hambo		TRAPPER	fascinated		かわいい！お友達なの？
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki1_n02	omuk	hambo		ALCHEMIST	mysterious		ほっほ、そう言えるかのう。
									
TANUKI2									Takuma orders his Tanuki to make noise.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki2_n00	omuk	hambo		ALCHEMIST	commanding		気を引くんじゃ。
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki2_n01	omuk	hambo		TRAPPER	fascinated		わあ、賢い。
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki2_n02	omuk	hambo		ALCHEMIST	mysterious		うむ、そうじゃの。
									
TANUKI3									Takuma calls back his Tanuki.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki3_n00	omuk	hambo		ALCHEMIST	commanding		クマ、戻るんじゃ！
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki3_n01	omuk	hambo		NINJA	impressed		狸を手懐けるなんてな。どうやって教え込んだんだ？
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki3_n02	omuk	hambo		ALCHEMIST	cheeky		へっへっへ、どうしてワシが教えたと思ったんじゃ？むしろ、その逆かもしれんの？
vocs_over_over_	_n03	vocs_over_over_mansion_tanuki3_n03	omuk	hambo		NINJA	OK, whatever		ああ。
									
KNIFE									Yuki kills someone with her knife. Takuma pays attention to this for the first time.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_knife_n00	omuk	hambo		ALCHEMIST	mildly curious		素早い短刀捌きじゃの。過酷な毎日じゃったかの？
vocs_over_over_	_n01	vocs_over_over_mansion_knife_n01	omuk	hambo		TRAPPER	nonchalant		一人でいるとさ、時々誰かが襲ってくるものじゃない？そんな人にはさ、痛めつけてやるの。二度とできないほどにね。
vocs_over_over_	_n02	vocs_over_over_mansion_knife_n02	omuk	hambo		ALCHEMIST	intrigued	knows there is a better way	うーむ、効率的な戦略じゃな。
									
TRAP									Yuki sets up her trap. Takuma evaluates the design.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_trap_n00	omuk	hambo		ALCHEMIST	mildly curious		うーむ、なかなか面白い設計じゃの？お主のものか？
vocs_over_over_	_n01	vocs_over_over_mansion_trap_n01	omuk	hambo		TRAPPER	proud		うん！いつも寝てるけど、ネジを巻いたらその子はとっても興奮するわ。
vocs_over_over_	_n02	vocs_over_over_mansion_trap_n02	omuk	hambo		ALCHEMIST	intrigued		へへ、そうなのかい？どう動くか見てみたいのぅ。あとで見せてもらえんか？
vocs_over_over_	_n03	vocs_over_over_mansion_trap_n03	omuk	hambo		TRAPPER	"surprised
a little shy"		はい…いいですよ。
									
SNIPER									Either Hayato or Yuki spot a sniper on a tower near the perimeter wall.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
