5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Takuma wants revenge on Yabu.
2) Yabu lets someone commit Seppuku, setting up later Seppuku scenes
3) We learn Yabu is not Kage-Sama. Takuma wants to kill him anyway.
4) Killing Yabu fills Takuma with triumph, but he feels empty in the end.
5) Later, he will find new meaning in life by taking Yuki under his wing."																								
																																	
BRIEFING									The team has snuck close to the mansion's outer wall.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Lord Yabu's Estate		薮大名宅邸																						
vocs_over_over_	_n00	vocs_over_over_mansion_briefing_n00	omuk	hambo		NINJA	smug		More guards than last time. Guess Lord Yabu wants to make this challenging.	13	守卫比上次多了。看来薮大名还想给我们增加点难度。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_briefing_n01	omuk	hambo		ALCHEMIST	cheerful	looking forward to revenge	He knows I have been freed. His fears are well justified.	11	他知道我逃走了，所以加强戒备也不奇怪。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_briefing_n02	omuk	hambo		NINJA	pragmatic	counting obstacles	Three bodyguards, armoured clothing, never leaves the courtyard ... don't think we should attack head on.	16	有三个全副武装的贴身保镖，而且寸步不离庭院……正面进攻是不行了。	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_briefing_n03	omuk	hambo		TRAPPER	knowing		He drinks tea, right?	4	他爱喝茶吧？	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_briefing_n04	omuk	hambo		NINJA	irritated		… what?	2	……怎么？	1																					
vocs_over_over_	_n05	vocs_over_over_mansion_briefing_n05	omuk	hambo		TRAPPER	explaining		He always drinks tea on that little island.	8	他常在那个小岛上喝茶哦。	1																					
vocs_over_over_	_n06	vocs_over_over_mansion_briefing_n06	omuk	hambo		ALCHEMIST			Heh, not a bad idea. Take this flask, child. You can add a little death to his drink.	18	哦…好主意！这个瓶子给你。往茶里放一点就足以送他上路了。	1																					
vocs_over_over_	_n07	vocs_over_over_mansion_briefing_n07	omuk	hambo		NINJA	considering all options	cam shows a high pavillion	What about that tower? Think you can take the shot from there.	12	那座塔怎么样？你应该能从那上面狙击。	1																					
vocs_over_over_	_n08	vocs_over_over_mansion_briefing_n08	omuk	hambo		ALCHEMIST	considering		Hmm, not impossible, if we manage to coax him out of cover first.	13	嗯…也可以，但要先把他从庭院里引出来。	1																					
vocs_over_over_	_n09	vocs_over_over_mansion_briefing_n09	omuk	hambo		TRAPPER	worried	Cam to gate	His bodyguards, they'll see him die, yes? Then everyone will search for us …	14	他的手下会发现主子被杀吧？到时候，所有人都会来找我们了……	1																					
vocs_over_over_	_n10	vocs_over_over_mansion_briefing_n10	omuk	hambo		NINJA	practical		Sounds like the perfect moment to use those matchlock pistols you gave us.	13	到那时候，你给我们的火绳枪就该派上用场了。	1																					
vocs_over_over_	_n11	vocs_over_over_mansion_briefing_n11	omuk	hambo		ALCHEMIST	in thought	Cam to Start	Hmm, we should save them until that point. I also brought a couple of bombs, in case things get dire.	20	嗯，万不得已的时候再用吧。我还带了一些手雷，以解燃眉之急。	1																					
vocs_over_over_	_n12	vocs_over_over_mansion_briefing_n12	omuk	hambo		NINJA	amused		Heh … good to know. Alright, let's get going.	9	哈哈……那太好了。那么，开始行动吧！	1																					
																																	
TANUKI1									Takuma orders his Tanuki to a specific spot.		Takuma orders his Tanuki to a specific spot.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki1_n00	omuk	hambo		ALCHEMIST	commanding		Go, Kuma!	2	去吧，小熊!	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki1_n01	omuk	hambo		TRAPPER	fascinated		He's cute! Is he your friend?	6	真可爱！他是你的朋友吗？	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki1_n02	omuk	hambo		ALCHEMIST	mysterious		Heh, you could say that.	5	嘿嘿，可以这么说吧。	1																					
																																	
TANUKI2									Takuma orders his Tanuki to make noise.		Takuma orders his Tanuki to make noise.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki2_n00	omuk	hambo		ALCHEMIST	commanding		Distract them!	2	引开他们！	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki2_n01	omuk	hambo		TRAPPER	fascinated		Oh, he's clever!	3	哇，他真聪明！	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki2_n02	omuk	hambo		ALCHEMIST	mysterious		That he certainly is.	4	嗯，那当然。	1																					
																																	
TANUKI3									Takuma calls back his Tanuki.		Takuma calls back his Tanuki.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_tanuki3_n00	omuk	hambo		ALCHEMIST	commanding		Kuma, come back!	3	小熊，回来！	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_tanuki3_n01	omuk	hambo		NINJA	impressed		Never seen a tame tanuki. How did you train it?	10	从来没见过驯化的狸猫。你是怎么训练它的？	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_tanuki3_n02	omuk	hambo		ALCHEMIST	cheeky		Hehe, what makes you think I trained him? Maybe it's the other way around?	14	呵呵呵，你怎么知道是我在训练他？也许恰恰相反呢？	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_tanuki3_n03	omuk	hambo		NINJA	OK, whatever		Uhuh.	1	呃……	1																					
																																	
KNIFE									Yuki kills someone with her knife. Takuma pays attention to this for the first time.		Yuki kills someone with her knife. Takuma pays attention to this for the first time.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
