4,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The assassination of the Daimyo Yabu causes Kage-sama to retaliate
2) Kage-sama orders his ally, General Okkoto, to start a bloody rebellion.
3) For fear of his son, the Shogun orders Mugen to bring Ryūnosuke to safety
4) After Mugen's return, the team must help twith fighting the rebels.
5) They are put under the command of the Shogun's brother (Noboru) 
5) No one knows that Noboru himself is Kage-sama.
6) We also meet Noboru's son, a man called Masaru, who will be important later."																								
																																	
INTRO3									Narration with stylized render cutscene.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
vocs_over_over_	_n00	vocs_over_over_mansion_post_n00				NARRATOR	epic		Lord Yabu's death was a small victory. The Shogun took possession of the old temple. Kage-sama had lost an ally, but his revenge followed soon.	25	除掉薮大名可算旗开得胜，将军也随即控制了生产武器的古庙。影大人损失了一位盟友，但他很快便展开复仇。	1																					
vocs_over_over_	_n01	vocs_over_over_mansion_post_n01				NARRATOR	epic		Having already gained more than enough weapons, he was well prepared to openly attack the Shogun.	16	他已获得充足的武器装备，准备公然攻击将军。	1																					
vocs_over_over_	_n02	vocs_over_over_mansion_post_n02				NARRATOR	epic		On Kage-sama's orders, the ruthless General Okkoto spread fear throughout the country, raiding village after village without mercy.	18	影大人派出手下乙事大将，一个接一个地无情洗劫各地村庄，散播恐怖。	1																					
vocs_over_over_	_n03	vocs_over_over_mansion_post_n03				NARRATOR	epic		As they continued, Okkoto and his men grew bolder with every attack. The Shogun, fearing an assault on Edo Castle, orders Mugen to deliver his son Ryūnosuke to a secret location …	32	随着暴行继续，乙事及其手下越发肆无忌惮。将军担心儿子在江户城遭到暗杀，便命令无限将龙之介护送到一个秘密地点……	1																					
																																	
EDO									Because of the rebellion, the Shogun orders Mugen to bring his son to safety. They both leave for an unknown location, later revealed to be Mount Tsuru.		Because of the rebellion, the Shogun orders Mugen to bring his son to safety. They both leave for an unknown location, later revealed to be Mount Tsuru.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Edo Castle, 3 months later		江户城，三个月后	1																					
vocs_over_over_	_n04	vocs_over_over_mansion_post_n04				SHOGUN	displeased		Your handling of the traitor Yabu was careless. It only made our enemy lash out with greater force.	18	之前对叛徒薮大名的处理也太大意了。才导致敌人的反叛行动不降反增。	1																					
