4,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The assassination of the Daimyo Yabu causes Kage-sama to retaliate
2) Kage-sama orders his ally, General Okkoto, to start a bloody rebellion.
3) For fear of his son, the Shogun orders Mugen to bring Ryūnosuke to safety
4) After Mugen's return, the team must help twith fighting the rebels.
5) They are put under the command of the Shogun's brother (Noboru) 
5) No one knows that Noboru himself is Kage-sama.
6) We also meet Noboru's son, a man called Masaru, who will be important later."																						
																															
INTRO3									Narration with stylized render cutscene.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN																						
vocs_over_over_	_n00	vocs_over_over_mansion_post_n00				NARRATOR	epic		藪大名の死は小さな勝利であった。将軍はこの古い寺院を手に入れた。カゲサマは同盟を失ったものの、復讐は続いた。																						
vocs_over_over_	_n01	vocs_over_over_mansion_post_n01				NARRATOR	epic		すでに十分な武器を手に入れ、彼は将軍への攻撃に備えていた。																						
vocs_over_over_	_n02	vocs_over_over_mansion_post_n02				NARRATOR	epic		カゲサマのもと、乙事大将は次々と無慈悲に村を襲撃していた。																						
vocs_over_over_	_n03	vocs_over_over_mansion_post_n03				NARRATOR	epic		彼らは回を重ねる毎に傲慢になり、その一方で将軍は江戸城での暗殺を恐れ、龍之介を密かに避難させる命令を、武源に出すのであった。																						
																															
EDO									Because of the rebellion, the Shogun orders Mugen to bring his son to safety. They both leave for an unknown location, later revealed to be Mount Tsuru.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN																						
						TITLECARD			江戸城、三ヶ月後…																						
vocs_over_over_	_n04	vocs_over_over_mansion_post_n04				SHOGUN	displeased		反逆者藪に対して不注意であったな。さらなる敵の強襲を増やしただけではないか。																						
vocs_over_over_	_n05	vocs_over_over_mansion_post_n05				WARRIOR	stoic		藪大名がカゲサマかと考えました。しかし、それは間違いで、全て私の責任でございます。																						
vocs_over_over_	_n06	vocs_over_over_mansion_post_n06				SHOGUN	neutral		弟が今、幕府軍を率いて戦っておる。そなたとその部下を弟の指揮のもとに置こう。																						
vocs_over_over_	_n07	vocs_over_over_mansion_post_n07				WARRIOR	subservient		はは、仰せのままに。昇様に仕えるのは幕府への奉仕に違いありませぬ。																						
vocs_over_over_	_n08	vocs_over_over_mansion_post_n08				SHOGUN	neutral		弟を助け、この反乱を終わらせよ。まだカゲサマに損害が残っているかも知れぬ。																						
