5,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) During this mission, Aiko is introduced as the final team member.
2) Together with Mugen, she will infiltrate a monastery and rescue Takuma from captivity.
3) We learn that Mugen and Aiko are very fond of each other. This starts the buildup for when he betrays the Shogun to save Aiko.
4) We reunite with Takuma, and learn a bit about what happened to him after the war."																						
																															
BRIEFING									Mugen arrives at the monastery. A mysterious woman appears out of nowhere. It is Aiko, the fourth team member.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN																						
						TITLECARD			鶴山																						
vocs_over_over_	_n00	vocs_over_over_monastery1_briefing_n00	omuk	hambo		WARRIOR	searching	worried because he doesn't see Aiko	うーむ…私が先に着いてしまったか？もしかして連絡が届いていないのだろうか？																						
vocs_over_over_	_n01	vocs_over_over_monastery1_briefing_n01	omuk	hambo		GEISHA	elegant	comes out of nowhere	ごきげんよう、武源様。																						
vocs_over_over_	_n02	vocs_over_over_monastery1_briefing_n02	omuk	hambo		WARRIOR	pleased		おぉ、愛琥殿！この人里離れた山の中、そなたのような美女にお目にかかれるとはなんたる幸福か！																						
vocs_over_over_	_n03	vocs_over_over_monastery1_briefing_n03	omuk	hambo		GEISHA	"amused
slight teasing"	happy to see Mugen again	あら、武源様ったら！そんなこと言うためにここまでいらしたのかしら？																						
vocs_over_over_	_n04	vocs_over_over_monastery1_briefing_n04	omuk	hambo		WARRIOR	changing subjects		そうだと良かったのですが。拙者より先に来ていたようですな。何か気づいたことは？																						
vocs_over_over_	_n05	vocs_over_over_monastery1_briefing_n05	omuk	hambo		GEISHA	sly		おしゃべりな見張りがいるわ。滝の側に捕らえ人がいると。																						
vocs_over_over_	_n06	vocs_over_over_monastery1_briefing_n06	omuk	hambo		WARRIOR	I'm listening		巧磨殿に違いない！いかがしましょうか？																						
vocs_over_over_	_n07	vocs_over_over_monastery1_briefing_n07	omuk	hambo		GEISHA	this is what I do		寺に仕える女たちがいるわ。服を頂いてなりすましましょう。																						
vocs_over_over_	_n08	vocs_over_over_monastery1_briefing_n08	omuk	hambo		GEISHA	I got this		そうすれば自由に動けて、鐘を鳴らせるわ。																						
vocs_over_over_	_n09	vocs_over_over_monastery1_briefing_n09	omuk	hambo		WARRIOR	satisfied		…紛れ込む、と。なんと美しい計画。拙者が見初めたそなたの魅力のひとつだ。																						
