5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) During this mission, Aiko is introduced as the final team member.
2) Together with Mugen, she will infiltrate a monastery and rescue Takuma from captivity.
3) We learn that Mugen and Aiko are very fond of each other. This starts the buildup for when he betrays the Shogun to save Aiko.
4) We reunite with Takuma, and learn a bit about what happened to him after the war."																								
																																	
BRIEFING									Mugen arrives at the monastery. A mysterious woman appears out of nowhere. It is Aiko, the fourth team member.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Mount Tsuru		鹤山	1																					
vocs_over_over_	_n00	vocs_over_over_monastery1_briefing_n00	omuk	hambo		WARRIOR	searching	worried because he doesn't see Aiko	Hmm ... is there a chance I got here first? Did she not get my message?	16	嗯……怎么没人？难道她没收到我的消息？	1																					
vocs_over_over_	_n01	vocs_over_over_monastery1_briefing_n01	omuk	hambo		GEISHA	elegant	comes out of nowhere	Konnichiwa, Mugen-san. 	3	午安，无限大哥。 	2																					
vocs_over_over_	_n02	vocs_over_over_monastery1_briefing_n02	omuk	hambo		WARRIOR	pleased		Ah, Aiko-san. Your beauty is most welcome on this desolate mountain.	11	哦喔，爱子小姐！在这荒山野岭还能一睹您的芳容，真是三生有幸。	1																					
vocs_over_over_	_n03	vocs_over_over_monastery1_briefing_n03	omuk	hambo		GEISHA	"amused
slight teasing"	happy to see Mugen again	Mugen-san! Have we come all this way for flattery?	9	无限大哥。跑到这种荒郊野外，就为了来献殷勤的吗？	1																					
vocs_over_over_	_n04	vocs_over_over_monastery1_briefing_n04	omuk	hambo		WARRIOR	changing subjects		I wish it were so. You seem to have arrived before me. What do you gather from this place?	19	我倒希望如此。看来你比我先到。有没有探到什么情报？	1																					
vocs_over_over_	_n05	vocs_over_over_monastery1_briefing_n05	omuk	hambo		GEISHA	sly		The guards are talkative. I heard them speak of a captive held near the waterfalls.	15	这边的守卫都很健谈。我听他们在说有个俘虏关押在瀑布那边。	1																					
vocs_over_over_	_n06	vocs_over_over_monastery1_briefing_n06	omuk	hambo		WARRIOR	I'm listening		That must be Takuma-san! How shall we proceed?	8	肯定是琢磨大师！你有什么计划？	1																					
vocs_over_over_	_n07	vocs_over_over_monastery1_briefing_n07	omuk	hambo		GEISHA	this is what I do		There are a number of female temple servants. If we find a match, I can take her clothes and assume her identity.	22	寺庙里有不少女佣。如能拿到合适的衣服，我可以乔装成女佣。	1																					
