5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team discusses their attack against the Daimyo Yabu
2) Takuma urges them to take action because he wants revenge
3) Mugen decides that an attack on Yabu's mansion is justified
4) The plan is to either aprehend or kill Yabu before he escapes
5) Mugen and Aiko will report to the Shogun
6) Hayato, Yuki and Takuma will face Yabu"																								
																																	
POST									The team plans their next move in the meeting place.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Safe House	2	藏身处	1																					
vocs_over_over_	_n00	vocs_over_over_monastery1_post_n00				NINJA	impressed		So he took that cannon blast and it only cost him a leg? Got to say, I'm impressed. What is he doing now?	23	挨了一炮，只丢了条腿？真是命大啊。现在他在做什么?	1																					
vocs_over_over_	_n01	vocs_over_over_monastery1_post_n01				WARRIOR	pondering		We supplied him with tools and materials. He has been working in his chamber ever since.	16	我们给琢磨大师提供了工具和材料。之后他就一直在工作室里忙碌着。	1																					
vocs_over_over_	_n02	vocs_over_over_monastery1_post_n02				GEISHA	skeptical		He seemed willing to enter the Shogun's services. How does he plan to compensate for his … disability?	18	虽然他很热心为将军效劳。但腿部的残疾……要如何克服呢？	1																					
vocs_over_over_	_n03	vocs_over_over_monastery1_post_n03				WARRIOR	reassuring		We will know soon enough. How was your scouting mission, Hayato-san?	11	很快就知道了。隼人兄，侦察的情况如何？	1																					
vocs_over_over_	_n04	vocs_over_over_monastery1_post_n04				NINJA	it was OK	to Table	We had a look Lord Yabu's mansion. Big place, heavily guarded. It's closed off by a wall, but Yuki found a way inside.	23	我们探查了薮大名的宅邸。地方很大，重兵把守，外有围墙。但友希还是发现了进去的路。	1																					
vocs_over_over_	_n05	vocs_over_over_monastery1_post_n05				WARRIOR	planning		That sounds promising. Speaking of whom, where is Yuki-chan?	9	看来有戏。话说，友希小妹去哪了？	1																					
vocs_over_over_	_n06	vocs_over_over_monastery1_post_n06				TRAPPER	enthusiastic	enters the room	Here, master samurai!	3	我来了，武士大哥。	1																					
vocs_over_over_	_n07	vocs_over_over_monastery1_post_n07				ALCHEMIST	cheerful	Takuma and his Tanuki enter	Hehe, I must say Mugen, your young companion is full of curiosity.	12	哈哈，无限啊，你的这个小伙伴，好奇心可不小哇。	1																					
vocs_over_over_	_n08	vocs_over_over_monastery1_post_n08				NINJA	aknowledging		Good to see you, old man.	6	很高兴再见到你，老爷子。	1																					
