5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen leads Noboru to the old temple where Ryūnosuke is hidden
2) We recognize it as the place where Yabu once held Takuma captive 
3) Noboru orders Masaru to kill Ryūnosuke. Mugen has to watch.
4) After the deed is done the traitors leave Mugen with the dead heir.
5) The rest of the team are held in a hidden prison
6) They can free themselves and cut their way to Mugen.
8) Mugen is glad to see them, but he has failed the Shogun and cannot carry on.
9) To take responsibility and reclaim his honor, he commits ritual suicide.
10) Striken by the loss of their leader and friend, the team escapes the monastery."																								
																																	
INTRO									Mugen leads Noboru and Masaru onto the monastery square, where they are greeted by Ryūnosuke. Noboru breaks his promise and has Ryūnosuke killed.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Mount Tsuru		鹤山	1																					
vocs_over_over_	_n00	vocs_over_over_monastery2_intro_n00				BROGUNSON	spiteful		Remember how you told me about patience, Mugen-sensei? Let us see how patient you can be.	16	还记得曾经教过我要忍耐吗？现在倒要看看无限老师你怎么忍耐。	1																					
vocs_over_over_	_n01	vocs_over_over_monastery2_intro_n01				WARRIOR	quiet		Hrm …	2	嗯……	1																					
vocs_over_over_	_n02	vocs_over_over_monastery2_intro_n02				BROGUN	cold		Masaru, do not waste your words.  Important things are about to happen.	13	真申，别废话。马上要办大事了。	1																					
vocs_over_over_	_n03	vocs_over_over_monastery2_intro_n03				SHOGUNSON	glad	meets them on the temple square	Noboru-sama, Mugen-sensei, Masaru-san. What a pleasant surprise!	7	昇大人，无限老师，真申兄弟。你们怎么来了！	1																					
vocs_over_over_	_n04	vocs_over_over_monastery2_intro_n04				BROGUN	false delight	bows	Dear nephew, you cannot know how delighted I am to see you.	12	侄儿啊，你不知道我看到你有多高兴。	1																					
vocs_over_over_	_n05	vocs_over_over_monastery2_intro_n05				SHOGUNSON	glad		You bring good news, I hope? Has Kage-sama been defeated?	10	是有好消息了吧？影大人被打败了吗？	1																					
vocs_over_over_	_n06	vocs_over_over_monastery2_intro_n06				BROGUN	cold		I am afraid matters have changed quite drastically, nephew.	9	很遗憾，侄儿。事态恐怕和你想象的天差地别。	1																					
								Noboru's guards kill Ryūnosuke's protection		0		0																					
vocs_over_over_	_n07	vocs_over_over_monastery2_intro_n07				WARRIOR	depressed	Mugen runs to Ryūnosuke and kneels beside him	I have failed you, my lord...	6	恕属下失职，龙之介大人……	1																					
vocs_over_over_	_n08	vocs_over_over_monastery2_intro_n08				SHOGUNSON	shocked	Turns to Mugen and makes a step	What is the meaning of this? 	7	这是什么意思？ 	2																					
vocs_over_over_	_n09	vocs_over_over_monastery2_intro_n09				SHOGUNSON	shocked	turns to Noboru…	Uncle? 	2	叔父？ 	2																					
vocs_over_over_	_n10	vocs_over_over_monastery2_intro_n10				SHOGUNSON	shocked	...makes some steps forward	What are you doing?	4	你这是做什么？	1																					
vocs_over_over_	_n11	vocs_over_over_monastery2_intro_n11				BROGUN	cold		Only what must be done. 	6	做该做的事罢了。	1																					
vocs_over_over_	_n12	vocs_over_over_monastery2_intro_n12				BROGUN	cold	turns away	Masaru …	2	真申……	1																					
vocs_over_over_	_n13	vocs_over_over_monastery2_intro_n13				BROGUNSON	eager	makes step forward	Yes father.	2	遵命，父亲。	1																					
vocs_over_over_	_n14	vocs_over_over_monastery2_intro_n14				SHOGUNSON	desperate	turns back to Mugen	Mugen, please! Explain yourself!	4	无限，拜托！解释一下!	1																					
vocs_over_over_	_n15	vocs_over_over_monastery2_intro_n15				WARRIOR	struggling for words	Masaru kills Ryūnosuke	I … cannot … forgive me…	6	我……不能……请原谅……	1																					
								Masaru stabs Ryūnosuke		0		0																					
vocs_over_over_	_n16	vocs_over_over_monastery2_intro_n16				SHOGUNSON	dying	dies right in front of Mugen	… Mugen … why?	4	……无限…为什么?	1																					
vocs_over_over_	_n17	vocs_over_over_monastery2_intro_n17				WARRIOR	broken		Ryūnosuke … 	3	龙之介…… 	2																					
vocs_over_over_	_n17a	vocs_over_over_monastery2_intro_n17a				WARRIOR	broken	ALTERNATIVE	My lord …	3	少主……	1																					
								Pause		0		0																					
vocs_over_over_	_n18	vocs_over_over_monastery2_intro_n18				BROGUN	cold		It is finished. 	4	结束了。 	2																					
vocs_over_over_	_n19	vocs_over_over_monastery2_intro_n19				BROGUN	submissive		Masaru, go prepare for our departure.	6	真申，准备启程。	1																					
vocs_over_over_	_n20	vocs_over_over_monastery2_intro_n20				BROGUN	submissive		Yes, father.	2	明白了，父亲。	1																					
vocs_over_over_	_n21	vocs_over_over_monastery2_intro_n21				BROGUN	cold		Why? Why did he have to die? What madness possesses you?	11	为什么？为什么非杀他不可？你到底在发什么疯？！	1																					
vocs_over_over_	_n22	vocs_over_over_monastery2_intro_n22				BROGUN	cold		This … peace we have now, it is not our way. We are men of the sword. My brother is blind.	21	现在拥有的所谓和平，不是我想看到的。我们明明是为战而生的人。兄长他却看不到。	1																					
vocs_over_over_	_n23	vocs_over_over_monastery2_intro_n23				BROGUN	cold	turns to Mugen and makes a step	You of all people should understand. Every man choses his duty. Without duty, life has no purpose.	17	你作为武士肯定明白。武士要有使命。没有使命，生命毫无意义。	1																					
vocs_over_over_	_n24	vocs_over_over_monastery2_intro_n24				BROGUN	cold		And it is my duty to lead Japan back to her true glory.	13	我的使命即是让日本找回真正的辉煌。	1																					
vocs_over_over_	_n25	vocs_over_over_monastery2_intro_n25				BROGUN	cold	throws knife at Mugen's feet at the end	I wonder, now that you have failed in your duty … will you do, what must be done?	18	既然未能完成使命……你还有什么用？知道该怎么做吧？	1																					
vocs_over_over_	_n26	vocs_over_over_monastery2_intro_n26				BROGUN	cold	turns back and leaves	Farewell Mugen. We will not see each other again.	9	永别了，无限。我们不会再见面了。	1																					
																																	
BRIEFING									Hayato, Yuki and Takuma have been confined to separeate cages. Aiko is nowhere to be seen. They plan their escape.		Hayato, Yuki and Takuma have been confined to separeate cages. Aiko is nowhere to be seen. They plan their escape.																						
