5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen leads Noboru to the old temple where Ryūnosuke is hidden
2) We recognize it as the place where Yabu once held Takuma captive 
3) Noboru orders Masaru to kill Ryūnosuke. Mugen has to watch.
4) After the deed is done the traitors leave Mugen with the dead heir.
5) The rest of the team are held in a hidden prison
6) They can free themselves and cut their way to Mugen.
8) Mugen is glad to see them, but he has failed the Shogun and cannot carry on.
9) To take responsibility and reclaim his honor, he commits ritual suicide.
10) Striken by the loss of their leader and friend, the team escapes the monastery."
									
INTRO									Mugen leads Noboru and Masaru onto the monastery square, where they are greeted by Ryūnosuke. Noboru breaks his promise and has Ryūnosuke killed.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			鶴山
vocs_over_over_	_n00	vocs_over_over_monastery2_intro_n00				BROGUNSON	spiteful		覚えているか？忍耐がなんとやらを教えてくれたことを。武源先生の忍耐を見せてもらいますよ。
vocs_over_over_	_n01	vocs_over_over_monastery2_intro_n01				WARRIOR	quiet		うー…。
vocs_over_over_	_n02	vocs_over_over_monastery2_intro_n02				BROGUN	cold		勝、余計な事は言うな。大事なことはこれからだ。
vocs_over_over_	_n03	vocs_over_over_monastery2_intro_n03				SHOGUNSON	glad	meets them on the temple square	昇様、武源先生、勝さん。どうされたのですか？
vocs_over_over_	_n04	vocs_over_over_monastery2_intro_n04				BROGUN	false delight	bows	甥よ、余はお主と会えてどれだけ嬉しいことか。
vocs_over_over_	_n05	vocs_over_over_monastery2_intro_n05				SHOGUNSON	glad		いい知らせがあるのですね？カゲサマは倒されたのですね？
vocs_over_over_	_n06	vocs_over_over_monastery2_intro_n06				BROGUN	cold		残念だが、ことが大きく変わってしまったのだ、甥よ。
								Noboru's guards kill Ryūnosuke's protection	
