4,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Noboru convinces the Shogun that Mugen's team killed his heir.
2) The team goes into hiding, struggling to plan their next move.
3) The loss of their leader drives the group to the breaking point.
4) It is Aiko who convinces everyone that only together can they stop Noboru
5) She discovers the location of Masaru and plans to kidnap him."																								
																																	
CINEMATIC									Stylyzed render cutscene with narration.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
vocs_over_over_	_n00	vocs_over_over_monastery2_post_n00				NARRATOR			Although his prisoners had escaped, Lord Noboru reacted quickly. Using clever words he framed them for the murder of the Shogun's son and the death of Mugen.	27	虽然四人成功逃脱，但昇大名利用花言巧语将他们诬陷为杀害龙之介和无限的凶手。	1																					
vocs_over_over_	_n01	vocs_over_over_monastery2_post_n01				NARRATOR			While the Shogun sent every available man to hunt down the alleged killers, Noboru silently forged plans to assassinate his brother.	21	就在将军动用全部人马追捕所谓的凶手之际，昇大名却在暗地里策划暗杀兄长。	1																					
vocs_over_over_	_n02	vocs_over_over_monastery2_post_n02				NARRATOR			Meanwhile, Mugen's companions could do little more than hide from the wrath of the Shogun.	15	无限的同伴们则只能疲于躲避将军的搜捕。	1																					
vocs_over_over_	_n03	vocs_over_over_monastery2_post_n03				NARRATOR			Knowing the last wishes of her beloved, Aiko prepared for a final, desperate manoeuvre.	14	而如此同时，为了实现无限的遗愿，爱子准备实施一个孤注一掷的计划。	1																					
																																	
TAVERN									A hidden meeting place. Hayato, Yuki and Takuma wait for Aiko to return.		A hidden meeting place. Hayato, Yuki and Takuma wait for Aiko to return.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Two weeks later		两周后	1																					
vocs_over_over_	_n04	vocs_over_over_monastery2_post_n04				NINJA	tense		… you really think meeting here is a good idea?	10	……约在这种地方见面真的好吗？	1																					
vocs_over_over_	_n05	vocs_over_over_monastery2_post_n05				ALCHEMIST	weary	looking at shelf	The place was ransacked some time ago. Perhaps lightning will strike again, but I have my doubts.	17	此地不久前已被搜查过一次了。他们再查这里的可能性微乎其微。	1																					
vocs_over_over_	_n06	vocs_over_over_monastery2_post_n06				TRAPPER	worried	takuma turns to Yuki 	… where's Aiko-san?	3	……爱子姐在哪？	1																					
vocs_over_over_	_n07	vocs_over_over_monastery2_post_n07				ALCHEMIST	weary		I don't know, Yuki-chan. She should be here by now.	10	我不知道，友希姑娘。她应该已经到了才对。	1																					
vocs_over_over_	_n08	vocs_over_over_monastery2_post_n08				NINJA	impatient	turns to leave	This is taking too long. I'm out …	8	这来得也太晚了。我先走了……	1																					
vocs_over_over_	_n09	vocs_over_over_monastery2_post_n09				TRAPPER	desperate	steps to Hayato	No, don't leave Hayato-san! Please …	6	不，不要走！隼人师父……	1																					
vocs_over_over_	_n10	vocs_over_over_monastery2_post_n10				TRAPPER	huge relief	Hayato is at the door when Aiko enters the room	Aiko-san! You're back!	3	爱子姐！你回来啦！	1																					
vocs_over_over_	_n11	vocs_over_over_monastery2_post_n11				NINJA	reserved		… thought you wouldn't come.	5	还以为你不回来了。	1																					
vocs_over_over_	_n12	vocs_over_over_monastery2_post_n12				GEISHA	a bit tired, serious		Then I am grateful you waited for me.	8	但你还是等了这么久，谢谢。	1																					
vocs_over_over_	_n13	vocs_over_over_monastery2_post_n13				ALCHEMIST	curious	Hayato leans against the wall away from the others	Hmm, will you tell us what kept you so long?	10	嗯…那为什么会迟到这么久呢？	1																					
vocs_over_over_	_n14	vocs_over_over_monastery2_post_n14				GEISHA	determined		I learned the whereabouts of Masaru. He has a residence in this very city.	14	我打探到真申的行踪了。他现在就住在这座城里。	1																					
vocs_over_over_	_n15	vocs_over_over_monastery2_post_n15				NINJA	hard	still away from the others	Good. Let's kill him. 	5	正好。那就去杀了他。 	2																					
vocs_over_over_	_n16	vocs_over_over_monastery2_post_n16				GEISHA	patient		I feel your rage, Hayato-san, but we must capture him alive. We will question him, and afterwards we deliver him to the Shogun.	23	隼人兄，我理解你的心情，但这次必须抓活的。抓到后先审问他，然后把他交给将军。	1																					
vocs_over_over_	_n17	vocs_over_over_monastery2_post_n17				NINJA	hard	still away from the others	Hrm … not my idea of justice.	7	哼……这不是我的作风。	1																					
vocs_over_over_	_n18	vocs_over_over_monastery2_post_n18				GEISHA	determined		But the right way to honour Mugen's sacrifice. Takuma-san, will you prepare the interrogation?	14	但这样可以为无限的牺牲讨回公道。琢磨大师，你能做好审问准备吗？	1																					
vocs_over_over_	_n19	vocs_over_over_monastery2_post_n19				ALCHEMIST	submissive		There is not much to work with. A substance perhaps? I would need ingredients, but … with no money …	20	嗯，不是什么大事，准备些药就行。不过我还需要一些原料，但……手头没钱……	1																					
vocs_over_over_	_n20	vocs_over_over_monastery2_post_n20				TRAPPER	eager		Let's go together, Takuma-sensei! You show me what you need, and I can get it for you!	17	我和你一起去，琢磨师父！你只要告诉我需要什么，我都能帮你搞到！	1																					
vocs_over_over_	_n21	vocs_over_over_monastery2_post_n21				ALCHEMIST	serious		Very well. It appears we will both be occupied for a while, Aiko-san.	13	非常好。但我们俩去备药需要一段时间，爱子小姐。	1																					
vocs_over_over_	_n22	vocs_over_over_monastery2_post_n22				GEISHA	serious		That is alright. I would like your help with Masaru, Hayato-san	11	没关系。隼人兄，我需要你帮我一起去抓真申。	1																					
vocs_over_over_	_n23	vocs_over_over_monastery2_post_n23				NINJA	barely supressed anger	leaves through the door	Fine, as long as we do something …	8	好吧，但凡能做点什么就好……	1																					
vocs_over_over_	_n24	vocs_over_over_monastery2_post_n24				GEISHA	determined		We will be back soon. Please be careful, Takuma-san, Yuki-chan.	10	我们速去速回。你们要小心，琢磨大师，友希小妹。	1																					
vocs_over_over_	_n25	vocs_over_over_monastery2_post_n25				ALCHEMIST	serious	Aiko leaves	Do not worry, we will manage.	6	不要担心，我们会处理好的。	1																					
																																	
																																	
