4,2,11		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Farming village has been attacked by rebels, survivors are questioned and killed
2) Mugen has been captured, Takuma is hiding
3) Yuki arrives in time to help Takuma
4) Together they rescue Mugen and the surviving farmers
5) Yuki is the driving force behind this mission. She motivates Takuma
6) Takuma is impressed by her simple sense of justice and eagerness to help
7) Takuma considers passing on his knowledge to her and wants to connect"																								
BRIEFING									Takuma is hiding from the rebels, who are on the search for him, when suddenly Yuki enters his hidingspot.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Suganuma Village		菅沼村	1																					
vocs_over_over_	_n00	vocs_over_over_ricefields_briefing_n00	omuk	hambo		ALCHEMIST	dark		Hmm, will death take me now? Perhaps it has been long enough ... 	14	嗯…看来我气数已尽…… 这辈子也算活得够长了。	2																					
vocs_over_over_	_n01	vocs_over_over_ricefields_briefing_n01	omuk	hambo		TRAPPER	loud whispering	*sneaks beside Takuma*	Psst. Takuma-sama!	2	喂，琢磨师父！	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_briefing_n02	omuk	hambo		ALCHEMIST	startled		Ah! … Yuki-chan! … it's you child. Are you alone?	10	啊！……友希姑娘！怎么到这里来了，就你一个人吗？	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_briefing_n03	omuk	hambo		TRAPPER	tense		Yes. I followed Kuma here. The others couldn't come. What happened?	11	是的，小熊带我过来的。其他人来不了。这里发生了什么？	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_briefing_n04	omuk	hambo		ALCHEMIST	troubled		Darkness and horror. The rebels slaughtered the farmers. Most of them are dead.	13	太惨无人道了。叛军血洗了村子，大部分人都死了。	1																					
vocs_over_over_	_n05	vocs_over_over_ricefields_briefing_n05	omuk	hambo		ALCHEMIST	troubled		Mugen tried to help. Now he is a prisoner himself, being interrogated and, most likely, soon executed.	17	无限想去救他们，反而自身难保。敌人正在审问他，可能马上就要被处决。	1																					
vocs_over_over_	_n06	vocs_over_over_ricefields_briefing_n06	omuk	hambo		TRAPPER	determined		No. We'll save him …	5	怎么会…快去救他……	1																					
vocs_over_over_	_n07	vocs_over_over_ricefields_briefing_n07	omuk	hambo		ALCHEMIST	dark		It is impossible child. We are hardly a force to be reckoned with.	13	不可能的，孩子。敌我力量太过悬殊。	1																					
vocs_over_over_	_n08	vocs_over_over_ricefields_briefing_n08	omuk	hambo		TRAPPER	sincere		We have to try! He's our friend! You don't leave friends behind!	12	不试试怎么知道！他是我们的同伴啊！怎么能见死不救！	1																					
vocs_over_over_	_n09	vocs_over_over_ricefields_briefing_n09	omuk	hambo		ALCHEMIST	gives in		Such a young mind … very well, Yuki-chan. If we shall die, we might as well do so with purpose. Lead the way.	23	果然是年轻人……好吧，友希姑娘。就算死，也要死得其所。你来带路吧。	1																					
																																	
SHOOTING									A rebel has line up a group of farmers and shoots them one by one.		A rebel has line up a group of farmers and shoots them one by one.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_shooting_n00	omuk	hambo		CIVILIAN M	in terror		Ah!	1	啊！	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_shooting_n01	omuk	hambo		CIVILIAN F	in terror		No …	2	不要啊……	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_shooting_n02	omuk	hambo		CIVILIAN F	hateful		Demon! Monster! I curse you …	6	魔鬼！妖怪！你们不得好死……	1																					
vo_hint_hint_	_n03	vo_hint_hint_ricefields_shooting_n03	omuk	hambo		CIVILIAN F	in terror	*sobbing*		0		0																					
																																	
