4,2,9		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Farming village has been attacked by rebels, survivors are questioned and killed
2) Mugen has been captured, Takuma is hiding
3) Yuki arrives in time to help Takuma
4) Together they rescue Mugen and the surviving farmers
5) Yuki is the driving force behind this mission. She motivates Takuma
6) Takuma is impressed by her simple sense of justice and eagerness to help
7) Takuma considers passing on his knowledge to her and wants to connect"									
BRIEFING									Takuma is hiding from the rebels, who are on the search for him, when suddenly Yuki enters his hidingspot.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			菅沼村
vocs_over_over_	_n00	vocs_over_over_ricefields_briefing_n00	omuk	hambo		ALCHEMIST	dark		うーむ、死がワシをここへ呼び寄せるか？もう十分生きたということかの…。
vocs_over_over_	_n01	vocs_over_over_ricefields_briefing_n01	omuk	hambo		TRAPPER	loud whispering	*sneaks beside Takuma*	ねえ、巧磨先生！
vocs_over_over_	_n02	vocs_over_over_ricefields_briefing_n02	omuk	hambo		ALCHEMIST	startled		おぉ！…雪ちゃん！…お主一人か？
vocs_over_over_	_n03	vocs_over_over_ricefields_briefing_n03	omuk	hambo		TRAPPER	tense		はい、クマに着いてきたの。他の人は来られなかったけど…。何があったの？
vocs_over_over_	_n04	vocs_over_over_ricefields_briefing_n04	omuk	hambo		ALCHEMIST	troubled		暗黒と恐怖じゃ、反乱者は農民を殺傷しておる。ほとんどもう死んでしもうた。
vocs_over_over_	_n05	vocs_over_over_ricefields_briefing_n05	omuk	hambo		ALCHEMIST	troubled		武源は助けようとはしたのじゃが、投獄されてしもうた。尋問されて、おそらくすぐに処刑されるじゃろう。
vocs_over_over_	_n06	vocs_over_over_ricefields_briefing_n06	omuk	hambo		TRAPPER	determined		そんな、助けないと…。
vocs_over_over_	_n07	vocs_over_over_ricefields_briefing_n07	omuk	hambo		ALCHEMIST	dark		無理じゃよ、雪ちゃん。そのような力はありゃせん。
vocs_over_over_	_n08	vocs_over_over_ricefields_briefing_n08	omuk	hambo		TRAPPER	sincere		やってみなきゃ！だって仲間よ…。見捨てるなんてできない！
vocs_over_over_	_n09	vocs_over_over_ricefields_briefing_n09	omuk	hambo		ALCHEMIST	gives in		若い心じゃのぅ…よし、わかったわい雪ちゃん！もし助けられなければ、目的もまた死ぬ、進む他ないということじゃのぅ…。
									
SHOOTING									A rebel has line up a group of farmers and shoots them one by one.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_ricefields_shooting_n00	omuk	hambo		CIVILIAN M	in terror		ああ！
vo_hint_hint_	_n01	vo_hint_hint_ricefields_shooting_n01	omuk	hambo		CIVILIAN F	in terror		やめて…。
vo_hint_hint_	_n02	vo_hint_hint_ricefields_shooting_n02	omuk	hambo		CIVILIAN F	hateful		悪魔め！鬼め！呪ってやる…。
vo_hint_hint_	_n03	vo_hint_hint_ricefields_shooting_n03	omuk	hambo		CIVILIAN F	in terror	*sobbing*	
									
TANUKI									Takuma sets down Kuma. Yuki mentions how she met the tanuki.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_ricefields_tanuki_n00	omuk	hambo		TRAPPER	worried		どうしてクマに血が？
vocs_over_over_	_n01	vocs_over_over_ricefields_tanuki_n01	omuk	hambo		ALCHEMIST	dark		隣で農民が死んだのじゃよ。ここに戻ってきたとは驚きじゃったよ。
vocs_over_over_	_n02	vocs_over_over_ricefields_tanuki_n02	omuk	hambo		TRAPPER	nonchalant		簡単だよ。巧磨さんがやるみたいに音を出したの。
vocs_over_over_	_n03	vocs_over_over_ricefields_tanuki_n03	omuk	hambo		ALCHEMIST	slightly intrigued		うーむ…気づいておったとはの…。
vocs_over_over_	_n04	vocs_over_over_ricefields_tanuki_n04	omuk	hambo		TRAPPER	worried		きっとクマもお侍さんを助けて欲しがってるよ！
									
FIELDS									The team enters a field of rice. The high growing crops provide cover. However, rebels are searching the fields.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_ricefields_fields_n00	omuk	hambo		ALCHEMIST	intrigued	Takuma first	うむ、稲で隠れられるのぅ。
vocs_over_over_	_n01	vocs_over_over_ricefields_fields_n01	omuk	hambo		TRAPPER	cautious		あれは反乱者よ！…どうしてこの場所を探しているのかな？
