5,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) General Okkoto has successfully taken Kanazawa castle.
2) The team regroup at Noboru's warcamp. Information is exchanged.
3) Hayato and Aiko report that Okkoto has set up command in the castle
4) Mugen wants Aiko to wait out the battle in safety
5) Aiko realizes that Yuki saved her husbands live and apologizes to her."
									
POST									At Noboru's warcamp.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			次の日
vocs_over_over_	_n00	vocs_over_over_ricefields_post_n00				BROGUN	displeased		奴らは暗殺を逃れた。全力で城を攻撃すべきだ、息をする暇を与えてはならぬ。
vocs_over_over_	_n00a	vocs_over_over_ricefields_post_n00a				BROGUN	displeased		奴らは金沢城内にて防備を強化している。この勝利で休ませなどせぬ。次の一手で反抗を終わらせ、乙事を完全に止めるのだ。
vocs_over_over_	_n01	vocs_over_over_ricefields_post_n01				WARRIOR	stubborn		愛琥殿と隼人殿から知らせがあるまでは大砲を絶対使いはせぬ！
vocs_over_over_	_n01a	vocs_over_over_ricefields_post_n01a				WARRIOR	stubborn		昇様、お言葉ですが、愛琥殿と隼人殿が情報を持って帰ってくるまでは、戦いを始めるのは待つが得策かと。
vocs_over_over_	_n02	vocs_over_over_ricefields_post_n02				BROGUNSON	sharp		わきまえろ、武源！もっと早く情報が届いていれば、今日の戦闘はなかったはずだ！
vocs_over_over_	_n03	vocs_over_over_ricefields_post_n03				GEISHA	tense	enters scene with Hayato	不可解な問題があります。なぜ乙事大将は金沢城の支配を許されたのでしょう？
vocs_over_over_	_n04	vocs_over_over_ricefields_post_n04				WARRIOR	greatly relieved	loves her	愛琥殿！隼人殿！
vocs_over_over_	_n05	vocs_over_over_ricefields_post_n05				NINJA	relaxed	greeting	生きてるよ。
vocs_over_over_	_n06	vocs_over_over_ricefields_post_n06				GEISHA	perplexed		飛騨村で乙事の計画を聞いた？雪はメッセージを届けなかったの？
vocs_over_over_	_n07	vocs_over_over_ricefields_post_n07				TRAPPER	anxious		えと…その…。
vocs_over_over_	_n08	vocs_over_over_ricefields_post_n08				GEISHA	angered	goes towards Yuki	雪ちゃん。
vocs_over_over_	_n09	vocs_over_over_ricefields_post_n09				GEISHA	angered		これが、どれだけ大切か伝えたはずよ。
vocs_over_over_	_n10	vocs_over_over_ricefields_post_n10				ALCHEMIST	protective		落ち着きなされ、愛琥さんよ。雪ちゃんは悪くないんじゃ。
vocs_over_over_	_n11	vocs_over_over_ricefields_post_n11				WARRIOR	"appeasing
gentle"	loves Aiko	雪殿が任務を果たせなんだのは、窮地に陥った我らを救うべく、尽力してくれ、と申したがゆえ。
vocs_over_over_	_n12	vocs_over_over_ricefields_post_n12				BROGUN	commanding	interrupting their argument	そのようなことはいい！できることをせねばならぬ。二方は乙事の守備について何がわかったのだ？
vocs_over_over_	_n13	vocs_over_over_ricefields_post_n13				NINJA	to the point		奴とその部隊を飛騨から尾行した。戦闘でよく訓練された部隊だった。武器もよく手入れされていた。城を落とすぐらい、奴らには造作もないことだろう。
vocs_over_over_	_n14	vocs_over_over_ricefields_post_n14				GEISHA	to the point		食料や軍備は揃っておりました。数ヶ月は耐えうることでしょう。また、カゲサマからの増援がすぐにあるとの話も聞いております。
vocs_over_over_	_n15	vocs_over_over_ricefields_post_n15				BROGUN	commanding		数ヶ月も待てぬ。準備をしろ！次の攻撃には参加してもらう。情勢を優位に変えてくれることを期待する。
vocs_over_over_	_n16	vocs_over_over_ricefields_post_n16				GEISHA	professional		昇様！私には乙事の守りに関する確かな考えがあります。おそらく、今後の戦いへの助けになるかと。
vocs_over_over_	_n17	vocs_over_over_ricefields_post_n17				BROGUN	commanding	goes into the tent	もし、その知恵が作戦に欠かせぬものと言うならば、愛琥殿、余の力となってもらおう。残りは戦の準備だ。指令はすぐに伝える。
vocs_over_over_	_n18	vocs_over_over_ricefields_post_n18				GEISHA	professional	follows Noboru	仰せのままに、昇様。
