5,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) General Okkoto has successfully taken Kanazawa castle.
2) The team regroup at Noboru's warcamp. Information is exchanged.
3) Hayato and Aiko report that Okkoto has set up command in the castle
4) Mugen wants Aiko to wait out the battle in safety
5) Aiko realizes that Yuki saved her husbands live and apologizes to her."																								
																																	
POST									At Noboru's warcamp.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			The following day		第二天	1																					
vocs_over_over_	_n00	vocs_over_over_ricefields_post_n00				BROGUN	displeased		They pushed back our first assaults. We must attack the castle in full force, leave them no time to breathe.	20	他们刚挡住我军的首轮进攻。此时更应一鼓作气，全力攻城。不能给敌人喘息的机会。	1																					
vocs_over_over_	_n00a	vocs_over_over_ricefields_post_n00a				BROGUN	displeased		They fortified themselves within Kanazawa Castle. I will not let them rest on this victory. Our next move must end this rebellion and stop Okkoto once and for all.	29	他们龟缩在金泽城内增强了防御。第一轮虽然没打进去，但我不会让他们得意太久。下一轮进攻必须要了结这场叛乱，彻底铲除乙事。	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_post_n01				WARRIOR	stubborn		I will not see the use of cannons before I have news of Aiko and Hayato!	16	在收到爱子和隼人的消息之前，我是绝不会用火炮的！	1																					
vocs_over_over_	_n01a	vocs_over_over_ricefields_post_n01a				WARRIOR	stubborn		With respect, Noboru-sama, but we should wait until we have news of Aiko and Hayato before we march into battle.	20	恕属下直言，昇大人。在进军之前，应先等待爱子和隼人的情报。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_post_n02				BROGUNSON	sharp		Mind your place, Mugen. Had we heard of this attack earlier, we would not see battle today.	17	注意你的身份，无限！如能早些收到敌方攻城的消息，今日本无需一战。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_post_n03				GEISHA	tense	enters scene with Hayato	A matter I find quite puzzling myself. Why was general Okkoto allowed to take Kanazawa castle?	16	简直是不可思议。为何金泽城还是被乙事大将攻下来了？	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_post_n04				WARRIOR	greatly relieved	loves her	Aiko-san! And Hayato-san!	3	爱子小姐！隼人兄！	1																					
vocs_over_over_	_n05	vocs_over_over_ricefields_post_n05				NINJA	relaxed	greeting	In the flesh.	3	活着回来了。	1																					
