5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The Shogun's army makes camp on a snowy mountain pass.
2) The team infiltrates the camp with a tied up Masaru in tow.
3) Underway, Aiko asks Hayato because there might not be another chance.
4) Hayato tells her that Mugen made him realize why he really joined the team.
5) Hayato never was in it for the money, but because Mugen was a friend to him.
6) Through flawless teamwork the team infiltrates the Shogun's tent."																								
																																	
BRIEFING									The team have penetrated the outer layers of the camp and now face the final stretch up the pass to where the Shogun's massive tent is located.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Myōgi Pass		妙义岭	1																					
vocs_over_over_	_n00	vocs_over_over_shoguncamp_briefing_n00				TRAPPER	amazed		Wow! So many tents! It's like a city!	8	哇！这么多帐篷！连起来就像座城市！	1																					
vocs_over_over_	_n01	vocs_over_over_shoguncamp_briefing_n01				NINJA	focussed		Hmm … full of soldiers with orders to shoot us on sight.	12	嗯……到处都是士兵。他们都已收到命令，对我们要格杀勿论了吧。	1																					
vocs_over_over_	_n02	vocs_over_over_shoguncamp_briefing_n02				GEISHA	careful		Yes, giving ourselves up would be pointless. Best to not draw any attention.	13	是的，到时候我们就算投降也没有用。注意不要引起任何警觉。	1																					
vocs_over_over_	_n03	vocs_over_over_shoguncamp_briefing_n03				NINJA	smug	cam to tent	The Shogun's tent is at the very top. No surprise there.	11	不出所料，将军的营帐在最顶端。	1																					
vocs_over_over_	_n04	vocs_over_over_shoguncamp_briefing_n04				GEISHA	focussed	cam to entrances1	This entrance is heavily guarded.	5	而且入口有重兵把守。	1																					
vocs_over_over_	_n05	vocs_over_over_shoguncamp_briefing_n05				GEISHA	focussed	cam to entrances2	We need a strategy to get inside.	7	看来得有好的战略才能进得去。	1																					
vocs_over_over_	_n06	vocs_over_over_shoguncamp_briefing_n06				ALCHEMIST	pondering		The guards here seem to enjoy their sake.	8	这里的守卫似乎很喜欢喝清酒。 	2																					
vocs_over_over_	_n07	vocs_over_over_shoguncamp_briefing_n07				ALCHEMIST	humorous		I know a recipe that will help them to sleep.	10	我知道有个配方可以让他们入睡。	1																					
vocs_over_over_	_n08	vocs_over_over_shoguncamp_briefing_n08				ALCHEMIST	humorous		I still have some ingredients left. All I need is a place to brew.	14	我这儿还剩了些材料。只要有个配药台就能把安眠药造出来。	1																					
vocs_over_over_	_n09	vocs_over_over_shoguncamp_briefing_n09				GEISHA	focussed		I like the idea.	4	这个办法不错。	1																					
vocs_over_over_	_n10	vocs_over_over_shoguncamp_briefing_n10				GEISHA	focussed		I could pour your brew into the sake barrel. A disguise would help with this.	15	我可以乔装混进军营里，然后把你做的安眠药倒进酒桶里。	1																					
vocs_over_over_	_n11	vocs_over_over_shoguncamp_briefing_n11				GEISHA	focussed		There must be a kimono with the Shogun's entourage.	9	将军的随从那边肯定有和服。	1																					
vocs_over_over_	_n12	vocs_over_over_shoguncamp_briefing_n12				GEISHA	focussed		I could also look for a servant's uniform at that small temple.	12	小庙那里也有佣人的衣服。	1																					
vocs_over_over_	_n13	vocs_over_over_shoguncamp_briefing_n13				TRAPPER	sneaky	cam to wagon1	I see wagons! We could hide inside. 	8	我看见马车了！我们可以藏在里面。 	2																					
vocs_over_over_	_n14	vocs_over_over_shoguncamp_briefing_n14				TRAPPER	sneaky	cam to wagon2	Maybe they'll carry us to the Shogun. Might be fun yes?	11	也许马车就能带我们到将军那儿。好像很好玩。	1																					
vocs_over_over_	_n15	vocs_over_over_shoguncamp_briefing_n15				NINJA	smug	cam to wagon check	Indeed … if they don't find us.	7	的确……只要不被发现的话。	1																					
vocs_over_over_	_n16	vocs_over_over_shoguncamp_briefing_n16				GEISHA	summarizing		We have two options then. Either we drug the sake and put the guards to sleep, or we find a wagon that goes to the Shogun's tent.	27	也就是说，目前有两种选择。一种是把安眠药倒进酒里让士兵入睡，另一种是混入前往将军营帐的马车上。	1																					
vocs_over_over_	_n17	vocs_over_over_shoguncamp_briefing_n17				NINJA	smug		It won't be easy either way. Good thing we're up for a challenge.	13	两种办法都不简单，好在咱们向来天不怕地不怕。	1																					
vocs_over_over_	_n18	vocs_over_over_shoguncamp_briefing_n18				NINJA	smug		I'll carry our guest.	4	我负责背咱们的“客人”吧。	1																					
vocs_over_over_	_n19	vocs_over_over_shoguncamp_briefing_n19				GEISHA	leader		I agree. Let us begin.	5	好的，开始行动吧。	1																					
																																	
BRIEFING1a									Alternative for Briefing.		Alternative for Briefing.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Myōgi Pass		妙义岭	1																					
vocs_over_over_	_n00	vocs_over_over_shoguncamp_briefing1a_n00				TRAPPER	amazed		Wow! So many tents! It's like a city!	8	哇！这么多帐篷！连起来就像座城市！	1																					
vocs_over_over_	_n01	vocs_over_over_shoguncamp_briefing1a_n01				NINJA	focussed		Mhm … full of soldiers with orders to shoot us on sight.	12	嗯……到处都是士兵。他们都已收到命令，对我们要格杀勿论了吧。	1																					
vocs_over_over_	_n02	vocs_over_over_shoguncamp_briefing1a_n02				GEISHA	careful		Yes, giving ourselves up would be pointless. Best to not draw any attention.	13	是的，到时候我们就算投降也没有用。注意不要引起任何警觉。	1																					
vocs_over_over_	_n03	vocs_over_over_shoguncamp_briefing1a_n03				NINJA	smug	cam to tent	The Shogun's tent is at the very top. No surprise there then.	12	不出所料，将军的营帐在最顶端。	1																					
vocs_over_over_	_n04	vocs_over_over_shoguncamp_briefing1a_n04				GEISHA	focussed	cam to entrance1	This entrance is heavily guarded.	5	而且入口有重兵把守。	1																					
vocs_over_over_	_n05	vocs_over_over_shoguncamp_briefing1a_n05				TRAPPER	sneaky	wagon 1 through entrance1	I see wagons! 	4	我看见马车了！ 	2																					
vocs_over_over_	_n06	vocs_over_over_shoguncamp_briefing1a_n06				TRAPPER	sneaky		We could hide inside. Let them carry us through.	9	可以藏在马车里面，让马车带我们过去。	1																					
