5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The Shogun's army makes camp on a snowy mountain pass.
2) The team infiltrates the camp with a tied up Masaru in tow.
3) Underway, Aiko asks Hayato because there might not be another chance.
4) Hayato tells her that Mugen made him realize why he really joined the team.
5) Hayato never was in it for the money, but because Mugen was a friend to him.
6) Through flawless teamwork the team infiltrates the Shogun's tent."
									
BRIEFING									The team have penetrated the outer layers of the camp and now face the final stretch up the pass to where the Shogun's massive tent is located.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			妙義峠
vocs_over_over_	_n00	vocs_over_over_shoguncamp_briefing_n00				TRAPPER	amazed		わぁ！天幕がたくさん！町みたいね！
vocs_over_over_	_n01	vocs_over_over_shoguncamp_briefing_n01				NINJA	focussed		うーむ…兵ばかりだ。俺たちを見つけたら殺すように命じられてるだろう。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_briefing_n02				GEISHA	careful		ええ、身をさらしても仕方ないわね、注意を引かないようにするべきね。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_briefing_n03				NINJA	smug	cam to tent	上様の天幕は一番上か。まあ当然か。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_briefing_n04				GEISHA	focussed	cam to entrances1	入り口は警備が厳しいわ。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_briefing_n05				GEISHA	focussed	cam to entrances2	中に入る為の戦略が必要ね。
vocs_over_over_	_n06	vocs_over_over_shoguncamp_briefing_n06				ALCHEMIST	pondering		ここの護衛は酒を楽しんでるようじゃの。
vocs_over_over_	_n07	vocs_over_over_shoguncamp_briefing_n07				ALCHEMIST	humorous		奴らを眠らせる薬はあるぞい。
vocs_over_over_	_n08	vocs_over_over_shoguncamp_briefing_n08				ALCHEMIST	humorous		まだ材が残っておるはずじゃ。入れる場所があればいけるの。
vocs_over_over_	_n09	vocs_over_over_shoguncamp_briefing_n09				GEISHA	focussed		いい作戦ね。
vocs_over_over_	_n10	vocs_over_over_shoguncamp_briefing_n10				GEISHA	focussed		私がそれを酒の樽にいれるわ。変装すればうまくいくとおもうわ。
vocs_over_over_	_n11	vocs_over_over_shoguncamp_briefing_n11				GEISHA	focussed		将軍の側近の着物があるはずだわ。
vocs_over_over_	_n12	vocs_over_over_shoguncamp_briefing_n12				GEISHA	focussed		あとは使用人の服も寺で探せそうね。
vocs_over_over_	_n13	vocs_over_over_shoguncamp_briefing_n13				TRAPPER	sneaky	cam to wagon1	馬車がある！この中に隠れられそう。
vocs_over_over_	_n14	vocs_over_over_shoguncamp_briefing_n14				TRAPPER	sneaky	cam to wagon2	きっと将軍の所へ連れてってくれる。面白そうかも。
vocs_over_over_	_n15	vocs_over_over_shoguncamp_briefing_n15				NINJA	smug	cam to wagon check	確かに…これなら見つからないかもな。
vocs_over_over_	_n16	vocs_over_over_shoguncamp_briefing_n16				GEISHA	summarizing		二つの選択肢があるわね。酒に薬を入れて眠らせるか、馬車を見つけて将軍の所へ向かうかどちらかね。
vocs_over_over_	_n17	vocs_over_over_shoguncamp_briefing_n17				NINJA	smug		どちらも簡単じゃないな。だが、いつも以上に気合入ってるぜ。
vocs_over_over_	_n18	vocs_over_over_shoguncamp_briefing_n18				NINJA	smug		俺が客を連れてく。
vocs_over_over_	_n19	vocs_over_over_shoguncamp_briefing_n19				GEISHA	leader		いいわ。始めましょう。
									
BRIEFING1a									Alternative for Briefing.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			妙義峠
vocs_over_over_	_n00	vocs_over_over_shoguncamp_briefing1a_n00				TRAPPER	amazed		わぁ！天幕がたくさん！町みたいね！
vocs_over_over_	_n01	vocs_over_over_shoguncamp_briefing1a_n01				NINJA	focussed		うーむ…兵ばかりだ。俺たちを見つけたら殺すように命じられてるだろう。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_briefing1a_n02				GEISHA	careful		ええ、身をさらしても仕方ないわね、注意を引かないようにするべきね。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_briefing1a_n03				NINJA	smug	cam to tent	上様の天幕は一番上か。そこにいるのも当然か。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_briefing1a_n04				GEISHA	focussed	cam to entrance1	入り口は警備が厳しいわ。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_briefing1a_n05				TRAPPER	sneaky	wagon 1 through entrance1	馬車があるわ！ 
vocs_over_over_	_n06	vocs_over_over_shoguncamp_briefing1a_n06				TRAPPER	sneaky		その中に隠れられそう。きっと運んでもらいましょう。
vocs_over_over_	_n07	vocs_over_over_shoguncamp_briefing1a_n07				ALCHEMIST	focussed		ほっほ、賢い作戦じゃの、じゃが、もう一つ作戦はある。
vocs_over_over_	_n08	vocs_over_over_shoguncamp_briefing1a_n08				ALCHEMIST	pondering	cam to entrance2	ここの護衛は酒を楽しんでるようじゃの。
vocs_over_over_	_n09	vocs_over_over_shoguncamp_briefing1a_n09				ALCHEMIST	humorous		奴らを眠らせる薬はあるぞい。
vocs_over_over_	_n10	vocs_over_over_shoguncamp_briefing1a_n10				ALCHEMIST	planning	cam to brewing place 	まだ材が残っておるはずじゃ。あとはそれを入れる機会がじゃな。
vocs_over_over_	_n11	vocs_over_over_shoguncamp_briefing1a_n11				GEISHA	focussed		いい作戦ね。
vocs_over_over_	_n12	vocs_over_over_shoguncamp_briefing1a_n12				GEISHA	focussed	cam to disguise1	私がそれを酒の樽にいれるわ。変装すればうまくいくとおもうわ。
vocs_over_over_	_n13	vocs_over_over_shoguncamp_briefing1a_n13				GEISHA	focussed	cam to disguise2	ひとつを獲る為、複数の好機がある。
vocs_over_over_	_n14	vocs_over_over_shoguncamp_briefing1a_n14				NINJA	summarizing	cam back to start	つまり選択肢は二つあるってことか。酒に薬を入れて眠らせるか、馬車を見つけて上様の所へ運んでもらうかだな。
vocs_over_over_	_n15	vocs_over_over_shoguncamp_briefing1a_n15				ALCHEMIST	smug		そして、運命へと向かうのじゃ。
vocs_over_over_	_n16	vocs_over_over_shoguncamp_briefing1a_n16				GEISHA	leader		最後の望みね 。
vocs_over_over_	_n17	vocs_over_over_shoguncamp_briefing1a_n17				TRAPPER	anxious		将軍様はお怒りになるだろうね。
vocs_over_over_	_n17a	vocs_over_over_shoguncamp_briefing1a_n17a				TRAPPER	excited	"ALTERNATIVE
if team never met Shogun"	将軍様にお会いできるんだね…。
