4,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen works together with Yuki to get a feel for her character.
2) On the way to the target, Yuki ran ahead. Now she and Mugen are separated.
3) As they reunite, Mugen is displeased, but not angry (tough but fair).
4) We learn that Yuki grew up on the streets. She fears her origins are a problem.
5) Mugen tells her that he values peoples skill and character, not their origin.
6) They must steal documents from an official. The target is guarded by samurai.
8) Mugen causes a distraction so that Yuki can pickpockets the official.
9) The team escapes in a wagon. Mugen tells Yuki she is now part of the team."
									
BRIEFING1									Yuki has scouted too far ahead and lost sight of Mugen.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing1_n00				TRAPPER	worried, then to herself	has lost Mugen	…お侍さん。お侍さん。…駄目駄目、走るの速すぎだよ。
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing1_n01				TRAPPER	to herself	cam to Mugen	怒られる前に見つけないと。すぐによ、ばかっ。
									
BRIEFING1a									Alternative for Briefing1
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing1a_n00				TRAPPER	worried	can't find Mugen	 …お侍さん。
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing1a_n01				TRAPPER	to herself		いないわ！ここじゃないわ、ばか。
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing1a_n02				TRAPPER	to herself	cam to Mugen	怒られる前に見つけないと。
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing1a_n03				TRAPPER	to herself		すぐによ！急がないと、ばか！
									
SEPARATED									Yuki chides herself for missing Mugen.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_separated_n00				TRAPPER	to herself	afraid Mugen will kick her out	見失うなんて、ばか、ばか、ばか！
vocs_over_over_	_n00a	vocs_over_over_snowcity_separated_n00a				TRAPPER	to herself	ALTERNATIVE	やっちゃったわ、ばか、ばか！
									
FOOTPRINTS									Yuki leaves footprints in the snow. If guards see them, they investigate.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_footprints_n00				TRAPPER	to herself	Yuki first	足跡。反逆者たち。矢のようにあなたを狙う。
									
CROSSOVER									Yuki crosses over into the area where Mugen is.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_crossover_n00				TRAPPER	to herself	Yuki first	多分こっちかな？お願いだからこの道にいて…。
									
SAKE1									Yuki witnesses a wagon being loaded.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_snowcity_sake1_n00				STATIC			馬車に荷物が乗ったら市場へ向かってくれ。
vo_hint_hint_	_n01	vo_hint_hint_snowcity_sake1_n01				CIVILIAN M			はい、わかりました。
vo_hint_hint_	_n02	vo_hint_hint_snowcity_sake1_n02				STATIC			いそげ、皆よ！酒が届けられぬぞ。
									
BRIEFING2									Yuki rejoins with Mugen. They forge a plan to infiltrate the district office and steal documents from an official.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing2_n00				TRAPPER	"worried, then
to herself"	has foundMugen	お侍さん！
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing2_n01				WARRIOR	a bit displeased		ここにいたか！心配したぞ、若い娘よ。
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing2_n02				TRAPPER	anxious		ごめん…厄介ごとを持ってきちゃった？
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing2_n03				WARRIOR	neutral		さて、どうだろうな。とにかく今は任務を進めよう。
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing2_n04				WARRIOR	planning	cam to official	その男は位の高い役人だ。我らの欲しい書類を持っておる。
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing2_n05				TRAPPER	worried		うーん、まわりに侍がたくさん…。
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing2_n06				WARRIOR	planning		それは後で考えよう。まず、屋敷の中に入る必要がある。
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing2_n07				WARRIOR	planning	cam to gates	入り口は二つある。一つは北の門…。
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing2_n08				WARRIOR	planning	cam to gates	…もう一つは南だ。両方共施錠されておる。
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing2_n09				WARRIOR	instructing	cam to samurai	あの侍が鍵を持っている。中へ登って入り、奴から鍵を奪うのだ。
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing2_n10				TRAPPER	ready		はい！やります！
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing2_n11				WARRIOR	instructing		それが済んだら、門を開けて欲しい。中で落ち合い、次の計画を話そう。
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing2_n12				TRAPPER	eager		はい、お侍さん！
									
BRIEFING2a									Alternative for Briefing2
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing2a_n00				TRAPPER	"worried, then
to herself"	has foundMugen	お侍さん！
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing2a_n01				WARRIOR	a bit displeased		ここにいたか！心配したぞ、若い娘よ。
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing2a_n02				TRAPPER	anxious		ごめん…厄介ごとを持ってきちゃった？
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing2a_n03				WARRIOR	neutral		さて、どうだろうな。それで、何を見つけたんだ？
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing2a_n04				TRAPPER	planning	cam to official	あの男が書類をもってる。言ってた通り大きな家にいる。
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing2a_n05				TRAPPER	worried		大きくて卑しい侍をたくさんつれてる…。
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing2a_n06				WARRIOR	planning		後でどうにかしよう。まず、屋敷の中に入る必要がある。
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing2a_n07				TRAPPER	planning	cam to gates	はい！入るのに二箇所みつけた。一つは北の門…。
vocs_over_over_	_n08	vocs_over_over_snowcity_briefing2a_n08				TRAPPER	planning	cam to gates	…もう一つは南ね。けどどちらも鍵がかけられてる。
vocs_over_over_	_n09	vocs_over_over_snowcity_briefing2a_n09				WARRIOR	instructing		その鍵があるはず。誰が鍵をもっているかわかりそうか？
vocs_over_over_	_n10	vocs_over_over_snowcity_briefing2a_n10				TRAPPER	ready	cam to samurai	うーん…はい！そこの卑しい侍よ！あの人の鍵が盗んで欲しがってる。
vocs_over_over_	_n11	vocs_over_over_snowcity_briefing2a_n11				WARRIOR	instructing		中へ登って入り、奴から鍵を奪ったら、中に入れてくれ。そしたら中で再会してさらなる計画を話そう。
vocs_over_over_	_n12	vocs_over_over_snowcity_briefing2a_n12				TRAPPER	eager		はい、お侍さん！
									
SAMURAI									The team encounters samurai, special enemies that only Mugen can kill in melee combat.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n01	vocs_over_over_snowcity_samurai_n01				WARRIOR	measuring an opponent		決闘で一人は倒せるが、二人では拙者を上回る。距離をとるのだ、雪殿。接近して攻撃してはならぬ。
vocs_over_over_	_n02	vocs_over_over_snowcity_samurai_n02				TRAPPER	understood!		はい。
									
SHADOWS									The team encounters more and more guards.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n01	vocs_over_over_snowcity_shadows_n01				WARRIOR	measuring an opponent		カゲサマに仕える者どもと考えるか。
vocs_over_over_	_n02	vocs_over_over_snowcity_shadows_n02				TRAPPER	curious	Kage = shadow	うーん…カゲサマって誰？影なの？
vocs_over_over_	_n03	vocs_over_over_snowcity_shadows_n03				WARRIOR	serious		それが名前だ。人々を戦慄させ、上様への誠意を破壊せんとするものだ。用心してくれ、すぐに戦うことになるやもしれぬ。
vocs_over_over_	_n04	vocs_over_over_snowcity_shadows_n04				TRAPPER	a bit scared		はい、お侍さん。
									
									
INFILTRATION									The team is halfway to the district office.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_infiltration_n00				TRAPPER	sneaky	Yuki first	ここから滑り込める。
vocs_over_over_	_n01	vocs_over_over_snowcity_infiltration_n01				WARRIOR	direct, neutral	wants to know about her past	この仕事を自然にこなせるのだな。いつも盗みをしていたのか？
vocs_over_over_	_n02	vocs_over_over_snowcity_infiltration_n02				TRAPPER	shy		一人だったの…ずっとね。それで誰かが来て…物の見方を教えてくれたの。物が盗んでって言ってるんだよ。
vocs_over_over_	_n03	vocs_over_over_snowcity_infiltration_n03				TRAPPER	anxious	afraid Mugen will kick her out	…駄目かな？
vocs_over_over_	_n04	vocs_over_over_snowcity_infiltration_n04				WARRIOR	honest		どのようにそうなったかは気にはせぬ。大切なのは、その才能をどう使うかであろう。
									
WAGON									The team discoveres a wagon headed inside the compound where the target is located.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_snowcity_wagon_n00				TRAPPER	to herself	Yuki first	馬車、馬車…。
vocs_over_over_	_n01	vocs_over_over_snowcity_wagon_n01				WARRIOR	focussed		馬車が酒を北の市場へと運ぶ。
vocs_over_over_	_n02	vocs_over_over_snowcity_wagon_n02				TRAPPER	focussed		私たちの向かう場所へ行きたがってるわ。中に入ってみる？
vocs_over_over_	_n03	vocs_over_over_snowcity_wagon_n03				WARRIOR	appreciating		うーむ、いいかもしれぬな。
									
