4,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen works together with Yuki to get a feel for her character.
2) On the way to the target, Yuki ran ahead. Now she and Mugen are separated.
3) As they reunite, Mugen is displeased, but not angry (tough but fair).
4) We learn that Yuki grew up on the streets. She fears her origins are a problem.
5) Mugen tells her that he values peoples skill and character, not their origin.
6) They must steal documents from an official. The target is guarded by samurai.
8) Mugen causes a distraction so that Yuki can pickpockets the official.
9) The team escapes in a wagon. Mugen tells Yuki she is now part of the team."																										
																																			
BRIEFING1									Yuki has scouted too far ahead and lost sight of Mugen.																										
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing1_n00				TRAPPER	"worried, then
to herself"	has lost Mugen	 … Master samurai? Master samurai? … no, no, you ran too fast, stupid …	15	 ……武士大人？武士大人？……不，不，我跑得太快了，笨蛋……	2																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing1_n01				TRAPPER	to herself	cam to Mugen	Find him, before he gets angry. Now, stupid!	8	在他生气之前赶紧找到他。我真是笨啊！	1																							
																																			
BRIEFING1a									Alternative for Briefing1		Alternative for Briefing1																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing1a_n00				TRAPPER	worried	can't find Mugen	 … Master samurai?	4	 ……武士大人？	2																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing1a_n01				TRAPPER	to herself		Not here! Wrong place, stupid!	5	不是这里！找错地了，笨蛋！	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing1a_n02				TRAPPER	to herself	cam to Mugen	Find him, before he gets angry.	6	在他生气之前赶紧找到他。	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing1a_n03				TRAPPER	to herself		Now! Hurry, stupid!	3	现在！赶快，笨蛋！	1																							
																																			
SEPARATED									Yuki chides herself for missing Mugen.		Yuki chides herself for missing Mugen.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_separated_n00				TRAPPER	to herself	afraid Mugen will kick her out	You lost him, stupid, stupid, stupid!	6	我跟丢他了，笨、笨、笨啊！	1																							
vocs_over_over_	_n00a	vocs_over_over_snowcity_separated_n00a				TRAPPER	to herself	ALTERNATIVE	You messed up, stupid, stupid!	5	哦，我搞砸了，笨蛋、笨蛋！	1																							
																																			
FOOTPRINTS									Yuki leaves footprints in the snow. If guards see them, they investigate.		Yuki leaves footprints in the snow. If guards see them, they investigate.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_footprints_n00				TRAPPER	to herself	Yuki first	Footprints. Little traitors. Like arrows, pointing at you.	8	脚印会暴露行踪的。	1																							
																																			
CROSSOVER									Yuki crosses over into the area where Mugen is.		Yuki crosses over into the area where Mugen is.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_crossover_n00				TRAPPER	to herself	Yuki first	Maybe this way? Please let him be this way …	10	也许是这条路？拜托他也走了这条路……	1																							
																																			
SAKE1									Yuki witnesses a wagon being loaded.		Yuki witnesses a wagon being loaded.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vo_hint_hint_	_n00	vo_hint_hint_snowcity_sake1_n00				STATIC			Head for the market when the wagon's fully loaded.	9	马车装满酒后就前往集市。	1																							
vo_hint_hint_	_n01	vo_hint_hint_snowcity_sake1_n01				CIVILIAN M			Yes, my lord.	3	是，大人！	1																							
vo_hint_hint_	_n02	vo_hint_hint_snowcity_sake1_n02				STATIC			Make haste, all of you! The sake won't deliver itself.	10	所有人抓紧时间！清酒可不会自己送过去。	1																							
																																			
BRIEFING2									Yuki rejoins with Mugen. They forge a plan to infiltrate the district office and steal documents from an official.		Yuki rejoins with Mugen. They forge a plan to infiltrate the district office and steal documents from an official.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																							
vocs_over_over_	_n00	vocs_over_over_snowcity_briefing2_n00				TRAPPER	"worried, then
to herself"	has foundMugen	Master samurai!	2	哦，武士主人！	1																							
vocs_over_over_	_n01	vocs_over_over_snowcity_briefing2_n01				WARRIOR	a bit displeased		There you are! You had me worried there, young woman.	10	你来了！小姑娘，你真让我担心。	1																							
vocs_over_over_	_n02	vocs_over_over_snowcity_briefing2_n02				TRAPPER	anxious		Sorry … am I in trouble?	6	抱歉……是不是我有麻烦了？	1																							
vocs_over_over_	_n03	vocs_over_over_snowcity_briefing2_n03				WARRIOR	neutral		We will see. For now, let us proceed with the mission.	11	暂时没有，现在我们继续进行任务。	1																							
vocs_over_over_	_n04	vocs_over_over_snowcity_briefing2_n04				WARRIOR	planning	cam to official	That man is a high ranking official. He has the documents we need.	13	那个人是名高级官员。我们要拿的文件就在他身上。	1																							
vocs_over_over_	_n05	vocs_over_over_snowcity_briefing2_n05				TRAPPER	worried		Uhm, he has lots of samurai with him …	9	嗯，他身边全是武士……	1																							
vocs_over_over_	_n06	vocs_over_over_snowcity_briefing2_n06				WARRIOR	planning		We will worry about that later. First, we need to get inside the compound.	14	那个问题稍后再说。首先，我们得进入大院。	1																							
vocs_over_over_	_n07	vocs_over_over_snowcity_briefing2_n07				WARRIOR	planning	cam to gates	There are two side entrances. One at the north wall … 	12	大院有两个侧门。一个在北墙…… 	2																							
