5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team is split into two groups: Hayato+Mugen and Takuma+Yuki
2) Both tackle the fortress from different sides. They talk on the way.
3) Hayato and Mugen work together like old times. They talk about honor.
4) Hayato sees no point in honor, but Mugen's explanation makes him think.
5) Yuki was born in Kanazawa and lost her parents when it fell during the war.
6) She relives these memories now, Takuma stabilizes her, sealing their bond.
7) Once inside the castle, the team regroups and blows up the supply depot.
8) Eventually the team confronts Okkoto. A battle ensues.
9) Mortally wounded, Okkoto reveals new information about Kage-sama."
									
BRIEFING									Noboru instructs the team Commandos style
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			金沢の街
vocs_over_over_	_n00	vocs_over_over_uprising_briefing_n00	omuk		mo	BROGUN	commanding	Cam at start	謀反者どもは金沢城で立てこもっておる。要塞へ侵入し内側から弱らせよ。 
vocs_over_over_	_n01	vocs_over_over_uprising_briefing_n01	omuk		mo	BROGUN	commanding	Cam to 1, then 2	二手に分かれ、城を両側から攻めてもらう。
vocs_over_over_	_n02	vocs_over_over_uprising_briefing_n02	omuk		mo	BROGUN	commanding	Cam to wall with officer	我が幕府軍は乙事へ正面から向かう。そなたらが役人を討てば、部下の進入もできるだろう。
vocs_over_over_	_n03	vocs_over_over_uprising_briefing_n03	omuk		mo	BROGUN	commanding	Cam to depot	城内壁で道を見つけ、供給庫を破壊せよ。
vocs_over_over_	_n04	vocs_over_over_uprising_briefing_n04	omuk		mo	BROGUN	commanding	Cam to Okkoto	それが終われば如何様にも乙事と対峙できる。
vocs_over_over_	_n05	vocs_over_over_uprising_briefing_n05	omuk		mo	BROGUN	commanding		彼の死は反乱の終わりを意味するだろう。彼は強敵だ、覚悟してかかれ。
vocs_over_over_	_n06	vocs_over_over_uprising_briefing_n06	omuk		mo	BROGUN	commanding	Cam to player start	そなたらの行動が、戦の契機となろう。失敗は許されぬ。
									
DUTY1									Hayato and Mugen start their mission.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_duty1_n00	omuk		mo	NINJA	focussed	Hayato first	この辺りは、どうも慌ただしいな。
vocs_over_over_	_n01	vocs_over_over_uprising_duty1_n01	omuk		mo	WARRIOR	rush of battle		再び共に困難へ立ち向かうことになりましたな！
vocs_over_over_	_n02	vocs_over_over_uprising_duty1_n02	omuk		mo	NINJA	smug		あんたと働くの、割と嫌いじゃないぜ。
vocs_over_over_	_n03	vocs_over_over_uprising_duty1_n03	omuk		mo	WARRIOR	rush of battle		ぬはは！それは光栄な話だ！
									
DUTY2									Mugen and Hayato advance into enemy territory.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_duty2_n00	omuk		mo	NINJA	tense	Hayato first	っむ、近くにいるな。後ろのそこか…。
vocs_over_over_	_n01	vocs_over_over_uprising_duty2_n01	omuk		mo	WARRIOR	rush of battle		外壁はさほど遠くない。では死に臨むとするか、ぬはは。
vocs_over_over_	_n02	vocs_over_over_uprising_duty2_n02	omuk		mo	NINJA	honest question		武源、聞かせてくれ。なぜいつも死を求める？名誉の死はそれほどまでに大事なものなのか？
vocs_over_over_	_n03	vocs_over_over_uprising_duty2_n03	omuk		mo	WARRIOR	simple answer		上様に仕える者として当然のこと。隼人殿も、拙者と同じでは？
vocs_over_over_	_n04	vocs_over_over_uprising_duty2_n04	omuk		mo	NINJA	not satisfied		いや、俺はただの雇われ傭兵に過ぎん。主とは違う。
									
DUTY3									Mugen and Hayato reach the castle entrance.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_duty3_n00	omuk		mo	WARRIOR	honest	Mugen first	もうすぐ中に入れそうだ…。
vocs_over_over_	_n02	vocs_over_over_uprising_duty3_n02	omuk		mo	NINJA	stubborn		やはり分からぬ。名誉に如何ほどの価値があるというのだ、そんなものが命の代わりになど…。
vocs_over_over_	_n03	vocs_over_over_uprising_duty3_n03	omuk		mo	WARRIOR	direct		なれば問おう。貴殿はなぜこの混沌へ…拙者に着いてくる？金欲しさゆえか？
vocs_over_over_	_n04	vocs_over_over_uprising_duty3_n04	omuk		mo	NINJA	lost for words	has never thought about it	いや…俺は…。
vocs_over_over_	_n05	vocs_over_over_uprising_duty3_n05	omuk		mo	WARRIOR	honest		責務を持ち、責務に生きるが人の在るべき姿と言えよう。何も拙者の使命を理解せずとも構わぬ。だが己が使命はしかと心に抱かれよ。
									
SENSEI1									Yuki and Takuma start their mission.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_sensei1_n00	omuk		mo	TRAPPER	remembering		この場所、覚えてる！大きなお侍さんたちの家だ。
vocs_over_over_	_n01	vocs_over_over_uprising_sensei1_n01	omuk		mo	ALCHEMIST	curious		ここに住んでおったのか、雪ちゃんよ？
vocs_over_over_	_n02	vocs_over_over_uprising_sensei1_n02	omuk		mo	TRAPPER	remembering		うん、お母さんと。…長くはなかったけど。
vocs_over_over_	_n03	vocs_over_over_uprising_sensei1_n03	omuk		mo	ALCHEMIST	cautious		ほぅ、なぜここを離れた？何かあったのかの？
vocs_over_over_	_n04	vocs_over_over_uprising_sensei1_n04	omuk		mo	TRAPPER	surpressing		嫌なことがね、ずっと前に。そう…こんな感じだった。
vocs_over_over_	_n05	vocs_over_over_uprising_sensei1_n05	omuk		mo	ALCHEMIST	forget that I asked		ああ、暗澹たる記憶じゃったか。すまぬ、忘れてくれ。城へ向かおうかの。
									
SENSEI2									Yuki and Takuma come closer to the castle.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_sensei2_n00	omuk		mo	ALCHEMIST	persistent		雪ちゃんや、そこを出てからはどうしてたんじゃ？
vocs_over_over_	_n01	vocs_over_over_uprising_sensei2_n01	omuk		mo	TRAPPER	difficult	doesn't want to remember	なんで…なんで知りたいの？
vocs_over_over_	_n02	vocs_over_over_uprising_sensei2_n02	omuk		mo	ALCHEMIST	persistent		うむ…如何にしておまえさんがものを学んでいったのか気になっての。
vocs_over_over_	_n03	vocs_over_over_uprising_sensei2_n03	omuk		mo	TRAPPER	struggles a bit		まあ…人から学んだのもあるしそうじゃないのもある。もし教えてくれる人がいなかったら…。
vocs_over_over_	_n04	vocs_over_over_uprising_sensei2_n04	omuk		mo	ALCHEMIST	understands her	has learned most of what he knows the same way	…なれば自らで自らを教えればよい。見て、学び、己に問い、己で解を出す。どうじゃ？
vocs_over_over_	_n05	vocs_over_over_uprising_sensei2_n05	omuk		mo	TRAPPER	surprised		はい…。
									
SENSEI3									Yuki and Takuma reach the castle entrance.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_uprising_sensei3_n00	omuk		mo	ALCHEMIST	persistent		最後の質問じゃ、雪ちゃんよ。ワシはどうやって銃の音を消したと思う？
vocs_over_over_	_n01	vocs_over_over_uprising_sensei3_n01	omuk		mo	TRAPPER	surprised		それは…えっと…そうだなぁ、うーん、えーと…。むー！そんな難しいこと、分からないよ！
