5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team is split into two groups: Hayato+Mugen and Takuma+Yuki
2) Both tackle the fortress from different sides. They talk on the way.
3) Hayato and Mugen work together like old times. They talk about honor.
4) Hayato sees no point in honor, but Mugen's explanation makes him think.
5) Yuki was born in Kanazawa and lost her parents when it fell during the war.
6) She relives these memories now, Takuma stabilizes her, sealing their bond.
7) Once inside the castle, the team regroups and blows up the supply depot.
8) Eventually the team confronts Okkoto. A battle ensues.
9) Mortally wounded, Okkoto reveals new information about Kage-sama."																								
																																	
BRIEFING									Noboru instructs the team Commandos style																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
						TITLECARD			Kanazawa City		金泽城	1																					
vocs_over_over_	_n00	vocs_over_over_uprising_briefing_n00	omuk		mo	BROGUN	commanding	Cam at start	The rebels have fortified themselves in Kanazawa Castle. You will infiltrate the stronghold and weaken them from the inside. 	20	叛军龟缩在金泽城中。你们要潜入城内，从敌人内部削弱他们。 	2																					
vocs_over_over_	_n01	vocs_over_over_uprising_briefing_n01	omuk		mo	BROGUN	commanding	Cam to 1, then 2	You will act in two groups and attack the castle from both sides.	13	这次先分组行动，两面夹击。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_briefing_n02	omuk		mo	BROGUN	commanding	Cam to wall with officer	My forces are facing Okkoto's men head on. You killing his officers will allow the men to advance.	18	幕府军将从正面迎击叛军。你们尽力杀死敌方军官，帮助我军向前推进。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_briefing_n03	omuk		mo	BROGUN	commanding	Cam to depot	Find your way inside the castle walls and blow up the supply depot.	13	然后设法进入城内，炸毁补给仓库。	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_briefing_n04	omuk		mo	BROGUN	commanding	Cam to Okkoto	Once this is done, you are free to engage General Okkoto.	11	将其炸毁后，便可去干掉乙事。	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_briefing_n05	omuk		mo	BROGUN	commanding		His death will seal the rebels' defeat. He is a formidable foe, so be prepared before you face him.	19	只要他死了，叛军便群龙无首，必败无疑。但他也是强敌，要做好万全准备。	1																					
vocs_over_over_	_n06	vocs_over_over_uprising_briefing_n06	omuk		mo	BROGUN	commanding	Cam to player start	Your actions will be the turning point of the battle. You must not fail.	14	你们的任务是这次作战的关键，只许成功不许失败。	1																					
																																	
DUTY1									Hayato and Mugen start their mission.		Hayato and Mugen start their mission.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_duty1_n00	omuk		mo	NINJA	focussed	Hayato first	Pretty hectic around here.	4	战况还真是激烈。	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_duty1_n01	omuk		mo	WARRIOR	rush of battle		Once again we face impossible odds, you and me!	9	你我二人再一次携手挑战极限！	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_duty1_n02	omuk		mo	NINJA	smug		Got to admit, working with you doesn't get boring.	9	和你合作，倒是意外地不觉得讨厌。	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_duty1_n03	omuk		mo	WARRIOR	rush of battle		Ha! From you, I take that as a compliment.	9	哈哈哈！这话能从你口中说出来，真是我天大的荣幸。	1																					
																																	
DUTY2									Mugen and Hayato advance into enemy territory.		Mugen and Hayato advance into enemy territory.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_duty2_n00	omuk		mo	NINJA	tense	Hayato first	Close one back there …	5	刚才好险……	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_duty2_n01	omuk		mo	WARRIOR	rush of battle		The walls aren't far now. We must look death in the face, hahaha.	13	离城墙已经不远了。让我们准备好光荣战死吧，哈哈哈。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_duty2_n02	omuk		mo	NINJA	honest question		Mugen, can I ask you something? Why are you always so eager to die? Does honour really mean that much to you?	22	无限，我有个问题。你为什么总想着光荣战死？名誉对你就真的那么重要吗？	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_duty2_n03	omuk		mo	WARRIOR	simple answer		I merely serve my Shogun, as is my duty. Why are you asking, Hayato-san? Are you not here beside me?	20	作为将军大人的部下，名誉当然最重要。隼人兄不也是将军的部下吗？	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_duty2_n04	omuk		mo	NINJA	not satisfied		Oh, I'm getting paid. That's very different.	7	不，我只是拿钱办事。和你不一样…	1																					
																																	
DUTY3									Mugen and Hayato reach the castle entrance.		Mugen and Hayato reach the castle entrance.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_duty3_n00	omuk		mo	WARRIOR	honest	Mugen first	We are almost inside …	5	马上就到城内了…	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_duty3_n02	omuk		mo	NINJA	stubborn		I don't get it. Honour doesn't buy you anything. Especially when you're dead.	13	我还是不明白。名誉就这么重要吗？甚至比性命还重要？	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_duty3_n03	omuk		mo	WARRIOR	direct		Then tell me, Hayato-san. Why have you followed me into this chaos, this madness? Is money really the reason?	19	那么请告诉我。你为何要跟我一起出生入死呢？只是为了钱吗？	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_duty3_n04	omuk		mo	NINJA	lost for words	has never thought about it	That's … I …	4	不……我是……	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_duty3_n05	omuk		mo	WARRIOR	honest		Every man chooses his duty. Without duty, life has no purpose. You do not have to understand my choices, Hayato-san. But I pray that you understand your own.	28	主动背负责任，为肩负的责任而活才是人生正途。就算不理解我的使命也没关系，只要对得起自己心中的那份使命就好。	1																					
																																	
