4,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) After the battle of Kanazawa, everyone returns to Edo.
2) The Shogun and Noboru commend Mugen and his team for their achievements.
3) Mugen is ordered to move against Kage-sama and bring him back dead or alive.
4) Noboru, who IS Kage-sama, now knows how to set a trap for Mugen.
5) Mugen prepares his team for what he thinks is the final mission.
6) This is the closest our characters come to being a happy, complete team."																								
																																	
CINEMATIC									Narration with stylized render cutscene.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_post_n00				NARRATOR			With General Okkoto's death, the end of the rebellion was certain. 	12	乙事大将死后，叛军便日暮途穷。 	2																					
vocs_over_over_	_n01	vocs_over_over_uprising_post_n01				NARRATOR			Under Lord Noboru's command, the Shogunate army crushed the remaining rebels and restored the peace. Mugen and his companions had achieved an important victory. 	25	在昇大名的指挥下，幕府军肃清了叛军残党，天下重归和平。无限一行大获全胜。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_post_n02				NARRATOR			Armed with the knowledge of Kage-sama's secret hideout, they travelled to Edo, where they would await the orders of the Shogun.	21	在获知影大人的藏身秘所后，他们前往江户，等候将军的命令。	1																					
																																	
EDO									Back in Edo, Mugen, Noboru and the team present themselves to the Shogun		Back in Edo, Mugen, Noboru and the team present themselves to the Shogun																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
						TITLECARD			Edo Castle Audience Chamber		江户城谒见厅	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_post_n03				SHOGUN	pleased	everyone walks before the Shogun	Ah, Lord Noboru. I was pleased when I received news of your victory.	13	昇，听闻你获胜的消息，真是喜出望外。	1																					
vocs_over_over_	_n03a	vocs_over_over_uprising_post_n03a				SHOGUN	pleased	everyone walks before the Shogun	Your victory over the rebel Okkoto prevented this country from falling into chaos. I chose well when I entrusted you with this task, brother.	24	你消灭了乙事叛军，保卫国家不至重陷战乱。我果然没有看错人，弟弟。	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_post_n04				BROGUN			The Shogunate army brought about the end of the rebellion. However, it would bring me shame if I did not mention the involvement of Mugen-san and his comrades.	28	虽然是幕府军平息了叛乱。但无限一行也立下了汗马功劳，我不敢居功自表。	1																					
